2018-2019,Bundesliga
Rk,Club,Mp,W,D,L,Pts
﻿1,Bayern Munich,34,24,6,4,78
2,Dortmund,34,23,7,4,76
3,RB Leipzig,34,19,9,6,66
4,Leverkusen,34,18,4,12,58
5,M'Gladbach,34,16,7,11,55
6,Wolfsburg,34,16,7,11,55
7,Eint Frankfurt,34,15,9,10,54
8,Werder Bremen,34,14,11,9,53
9,Hoffenheim,34,13,12,9,51
10,Düsseldorf,34,13,5,16,44
11,Hertha BSC,34,11,10,13,43
12,Mainz 05,34,12,7,15,43
13,Freiburg,34,8,12,14,36
14,Schalke 04,34,8,9,17,33
15,Augsburg,34,8,8,18,32
16,Stuttgart,34,7,7,20,28
17,Hannover 96,34,5,6,23,21
18,Nürnberg,34,3,10,21,19
