2009-2010,La-Liga
Rk,Club,Mp,W,D,L,Pts
﻿1,Barcelona,38,31,6,1,99
2,Real Madrid,38,31,3,4,96
3,Valencia,38,21,8,9,71
4,Sevilla,38,19,6,13,63
5,Mallorca,38,18,8,12,62
6,Getafe,38,17,7,14,58
7,Villarreal,38,16,8,14,56
8,Athletic Club,38,15,9,14,54
9,Atlético Madrid,38,13,8,17,47
10,La Coruña,38,13,8,17,47
11,Espanyol,38,11,11,16,44
12,Osasuna,38,11,10,17,43
13,Almería,38,10,12,16,42
14,Zaragoza,38,10,11,17,41
15,Sporting Gijón,38,9,13,16,40
16,Racing Sant,38,9,12,17,39
17,Málaga,38,7,16,15,37
18,Valladolid,38,7,15,16,36
19,Tenerife,38,9,9,20,36
20,Xerez,38,8,10,20,34
