2003-2004,Ligue-1
Rk,Club,Mp,W,D,L,Pts
﻿1,Lyon,38,24,7,7,79
2,Paris S-G,38,22,10,6,76
3,Monaco,38,21,12,5,75
4,Auxerre,38,19,8,11,65
5,Sochaux,38,18,9,11,63
6,Nantes,38,17,9,12,60
7,Marseille,38,17,6,15,57
8,Lens,38,15,8,15,53
9,Rennes,38,14,10,14,52
10,Lille,38,14,9,15,51
11,Nice,38,11,17,10,50
12,Bordeaux,38,13,11,14,50
13,Strasbourg,38,10,13,15,43
14,Metz,38,11,9,18,42
15,Ajaccio,38,10,10,18,40
16,Toulouse,38,9,12,17,39
17,Bastia,38,9,12,17,39
18,Guingamp,38,10,8,20,38
19,Le Mans,38,9,11,18,38
20,Montpellier,38,8,7,23,31
