2006-2007,Premier-League
Rk,Club,Mp,W,D,L,Pts
﻿1,Manchester Utd,38,28,5,5,89
2,Chelsea,38,24,11,3,83
3,Liverpool,38,20,8,10,68
4,Arsenal,38,19,11,8,68
5,Tottenham,38,17,9,12,60
6,Everton,38,15,13,10,58
7,Bolton,38,16,8,14,56
8,Reading,38,16,7,15,55
9,Portsmouth,38,14,12,12,54
10,Blackburn,38,15,7,16,52
11,Aston Villa,38,11,17,10,50
12,Middlesbrough,38,12,10,16,46
13,Newcastle Utd,38,11,10,17,43
14,Manchester City,38,11,9,18,42
15,West Ham,38,12,5,21,41
16,Fulham,38,8,15,15,39
17,Wigan Athletic,38,10,8,20,38
18,Sheffield Utd,38,10,8,20,38
19,Charlton Ath,38,8,10,20,34
20,Watford,38,5,13,20,28
