2002-2003,Serie-A
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Juventus,34,21,9,4,72,squads/e0652b02/Juventus-Stats,e0652b02,Juventus
2,Inter,34,19,8,7,65,squads/d609edc0/Internazionale-Stats,d609edc0,Internazionale
3,Milan,34,18,7,9,61,squads/dc56fe14/Milan-Stats,dc56fe14,Milan
4,Lazio,34,15,15,4,60,squads/7213da33/Lazio-Stats,7213da33,Lazio
5,Parma,34,15,11,8,56,squads/eab4234c/Parma-Stats,eab4234c,Parma
6,Udinese,34,16,8,10,56,squads/04eea015/Udinese-Stats,04eea015,Udinese
7,Chievo,34,16,7,11,55,squads/cc919b35/Chievo-Stats,cc919b35,Chievo
8,Roma,34,13,10,11,49,squads/cf74a709/Roma-Stats,cf74a709,Roma
9,Brescia,34,9,15,10,42,squads/4ef57aeb/Brescia-Stats,4ef57aeb,Brescia
10,Perugia,34,10,12,12,42,squads/37cba288/Perugia-Stats,37cba288,Perugia
11,Bologna,34,10,11,13,41,squads/1d8099f8/Bologna-Stats,1d8099f8,Bologna
12,Modena,34,9,11,14,38,squads/71a3700b/Modena-Stats,71a3700b,Modena
13,Empoli,34,9,11,14,38,squads/a3d88bd8/Empoli-Stats,a3d88bd8,Empoli
14,Reggina,34,10,8,16,38,squads/46f8c29f/Reggina-Stats,46f8c29f,Reggina
15,Atalanta,34,8,14,12,38,squads/922493f3/Atalanta-Stats,922493f3,Atalanta
16,Piacenza,34,8,6,20,30,squads/81e923a1/Piacenza-Stats,81e923a1,Piacenza
17,Como,34,4,12,18,24,squads/28c9c3cd/Como-Stats,28c9c3cd,Como
18,Torino,34,4,9,21,21,squads/105360fe/Torino-Stats,105360fe,Torino
﻿2003-2004,Serie-A
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Milan,34,25,7,2,82,squads/dc56fe14/Milan-Stats,dc56fe14,Milan
2,Roma,34,21,8,5,71,squads/cf74a709/Roma-Stats,cf74a709,Roma
3,Juventus,34,21,6,7,69,squads/e0652b02/Juventus-Stats,e0652b02,Juventus
4,Inter,34,17,8,9,59,squads/d609edc0/Internazionale-Stats,d609edc0,Internazionale
5,Parma,34,16,10,8,58,squads/eab4234c/Parma-Stats,eab4234c,Parma
6,Lazio,34,16,8,10,56,squads/7213da33/Lazio-Stats,7213da33,Lazio
7,Udinese,34,13,11,10,50,squads/04eea015/Udinese-Stats,04eea015,Udinese
8,Sampdoria,34,11,13,10,46,squads/8ff9e3b3/Sampdoria-Stats,8ff9e3b3,Sampdoria
9,Chievo,34,11,11,12,44,squads/cc919b35/Chievo-Stats,cc919b35,Chievo
10,Lecce,34,11,8,15,41,squads/ffcbe334/Lecce-Stats,ffcbe334,Lecce
11,Brescia,34,9,13,12,40,squads/4ef57aeb/Brescia-Stats,4ef57aeb,Brescia
12,Bologna,34,10,9,15,39,squads/1d8099f8/Bologna-Stats,1d8099f8,Bologna
13,Reggina,34,6,16,12,34,squads/46f8c29f/Reggina-Stats,46f8c29f,Reggina
14,Siena,34,8,10,16,34,squads/45a2f824/Siena-Stats,45a2f824,Siena
15,Perugia,34,6,14,14,32,squads/37cba288/Perugia-Stats,37cba288,Perugia
16,Modena,34,6,12,16,30,squads/71a3700b/Modena-Stats,71a3700b,Modena
17,Empoli,34,7,9,18,30,squads/a3d88bd8/Empoli-Stats,a3d88bd8,Empoli
18,Ancona,34,2,7,25,13,squads/1d2f81d0/Ancona-Stats,1d2f81d0,Ancona
﻿2004-2005,Serie-A
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Juventus,38,26,8,4,86,squads/e0652b02/Juventus-Stats,e0652b02,Juventus
2,Milan,38,23,10,5,79,squads/dc56fe14/Milan-Stats,dc56fe14,Milan
3,Inter,38,18,18,2,72,squads/d609edc0/Internazionale-Stats,d609edc0,Internazionale
