,Club,Link,Club_id,Club_name
0,Juventus,squads/e0652b02/Juventus-Stats,e0652b02,Juventus
1,Inter,squads/d609edc0/Internazionale-Stats,d609edc0,Internazionale
2,Milan,squads/dc56fe14/Milan-Stats,dc56fe14,Milan
3,Lazio,squads/7213da33/Lazio-Stats,7213da33,Lazio
4,Parma,squads/eab4234c/Parma-Stats,eab4234c,Parma
5,Udinese,squads/04eea015/Udinese-Stats,04eea015,Udinese
6,Chievo,squads/cc919b35/Chievo-Stats,cc919b35,Chievo
7,Roma,squads/cf74a709/Roma-Stats,cf74a709,Roma
8,Brescia,squads/4ef57aeb/Brescia-Stats,4ef57aeb,Brescia
9,Perugia,squads/37cba288/Perugia-Stats,37cba288,Perugia
10,Bologna,squads/1d8099f8/Bologna-Stats,1d8099f8,Bologna
11,Modena,squads/71a3700b/Modena-Stats,71a3700b,Modena
12,Empoli,squads/a3d88bd8/Empoli-Stats,a3d88bd8,Empoli
13,Reggina,squads/46f8c29f/Reggina-Stats,46f8c29f,Reggina
14,Atalanta,squads/922493f3/Atalanta-Stats,922493f3,Atalanta
15,Piacenza,squads/81e923a1/Piacenza-Stats,81e923a1,Piacenza
16,Como,squads/28c9c3cd/Como-Stats,28c9c3cd,Como
17,Torino,squads/105360fe/Torino-Stats,105360fe,Torino
19,Sampdoria,squads/8ff9e3b3/Sampdoria-Stats,8ff9e3b3,Sampdoria
20,Lecce,squads/ffcbe334/Lecce-Stats,ffcbe334,Lecce
21,Siena,squads/45a2f824/Siena-Stats,45a2f824,Siena
22,Ancona,squads/1d2f81d0/Ancona-Stats,1d2f81d0,Ancona
23,Palermo,squads/ee058a17/Palermo-Stats,ee058a17,Palermo
24,Messina,squads/fe2dc36d/Messina-Stats,fe2dc36d,Messina
25,Livorno,squads/939201df/Livorno-Stats,939201df,Livorno
26,Cagliari,squads/c4260e09/Cagliari-Stats,c4260e09,Cagliari
27,Fiorentina,squads/421387cf/Fiorentina-Stats,421387cf,Fiorentina
28,Ascoli,squads/72c031e3/Ascoli-Stats,72c031e3,Ascoli
29,Treviso,squads/f71ec3ae/Treviso-Stats,f71ec3ae,Treviso
30,Catania,squads/7b046f08/Catania-Stats,7b046f08,Catania
31,Napoli,squads/d48ad4ff/Napoli-Stats,d48ad4ff,Napoli
32,Genoa,squads/658bf2de/Genoa-Stats,658bf2de,Genoa
33,Bari,squads/01baa639/Bari-Stats,01baa639,Bari
34,Cesena,squads/283f2557/Cesena-Stats,283f2557,Cesena
35,Novara,squads/6c37111f/Novara-Stats,6c37111f,Novara
36,Pescara,squads/b985784c/Pescara-Stats,b985784c,Pescara
37,Hellas Verona,squads/0e72edf2/Hellas-Verona-Stats,0e72edf2,Hellas-Verona
38,Sassuolo,squads/e2befd26/Sassuolo-Stats,e2befd26,Sassuolo
39,Carpi,squads/71f07916/Carpi-Stats,71f07916,Carpi
40,Frosinone,squads/6a7ad59d/Frosinone-Stats,6a7ad59d,Frosinone
41,Crotone,squads/3074d7b1/Crotone-Stats,3074d7b1,Crotone
42,SPAL,squads/1d2fe027/SPAL-Stats,1d2fe027,SPAL
43,Benevento,squads/4fcb34fd/Benevento-Stats,4fcb34fd,Benevento
44,Spezia,squads/68449f6d/Spezia-Stats,68449f6d,Spezia
45,Salernitana,squads/c5577084/Salernitana-Stats,c5577084,Salernitana
46,Venezia,squads/af5d5982/Venezia-Stats,af5d5982,Venezia
