,Player,Link,Player_id,Player_name,Nationality,Position
0,﻿Simon Jentzsch,/en/players/2f1318de/Simon-Jentzsch,2f1318de,Simon-Jentzsch,de GER,GK
1,Markus Schroth,/en/players/495af691/Markus-Schroth,495af691,Markus-Schroth,de GER,FW
2,Harald Cerny,/en/players/e41db53c/Harald-Cerny,41db53c,Harald-C,at AUT,MF
3,Benjamin Lauth,/en/players/a3876c87/Benjamin-Lauth,3876c87,Benjamin-Lauth,de GER,FW
4,Rodrigo Costa,/en/players/401574dc/Rodrigo-Costa,401574dc,Rodrigo-Cost,br BRA,DF
5,Torben Hoffmann,/en/players/967a7889/Torben-Hoffmann,967a7889,Torben-Hoffm,de GER,DF
6,Rémo Meyer,/en/players/3d107df4/Remo-Meyer,3d107df4,Remo-M,ch SUI,DF
7,Marco Kurz,/en/players/ebd284a2/Marco-Kurz,bd284a2,Marco-Kurz,de GER,DF
8,Markus Weissenberger,/en/players/870a35d4/Markus-Weissenberger,870a35d4,Markus-Weissenberg,at AUT,MF
9,Tomáš Votava,/en/players/ddc220fc/Tomas-Votava,ddc220fc,Tomas-Votav,cz CZE,DF
10,Martin Stranzl,/en/players/4786c8d5/Martin-Stranzl,4786c8d5,Martin-Stranz,at AUT,"DF,MF"
11,Thomas Häßler,/en/players/97ff665a/Thomas-Hassler,97ff665a,Thomas-H,de GER,MF
12,Daniel Borimirov,/en/players/97bc39d3/Daniel-Borimirov,97bc39d3,Daniel-Borimirov,bg BUL,MF
13,Michael Wiesinger,/en/players/6aa7c6bd/Michael-Wiesinger,6aa7c6bd,Michael-Wiesing,de GER,MF
14,Martin Max,/en/players/b8733b6c/Martin-Max,b8733b6c,Martin-Max,de GER,FW
15,Marcus Pürk,/en/players/fde7b101/Marcus-Purk,fde7b101,Marcus-Purk,at AUT,"FW,MF"
16,Uwe Ehlers,/en/players/e6c8e278/Uwe-Ehlers,6c8e278,Uwe-Eh,de GER,DF
17,Roman Týce,/en/players/9b56e7b9/Roman-Tyce,9b56e7b9,Roman-Tyc,cz CZE,"DF,MF"
18,Davor Šuker,/en/players/f3580cae/Davor-Suker,f3580cae,Davor-Suk,hr CRO,FW
19,Rafael,/en/players/f4187224/Rafael,f4187224,Raf,br BRA,DF
20,Danny Schwarz,/en/players/f4e968e9/Danny-Schwarz,f4e968e9,Danny-Schwarz,de GER,MF
21,Shao Jiayi,/en/players/2969d5da/Shao-Jiayi,2969d5da,Shao-Jiayi,cn CHN,MF
22,Paul Agostino,/en/players/56d4e66a/Paul-Agostino,56d4e66a,Paul-Agostino,au AUS,FW
23,Michael Hofmann,/en/players/11cd8973/Michael-Hofmann,11cd8973,Michael-Hofm,de GER,GK
24,Vidar Riseth,/en/players/815b6e14/Vidar-Riseth,815b6e14,Vidar-Riseth,no NOR,"DF,MF"
25,Achim Pfuderer,/en/players/05a30e73/Achim-Pfuderer,05a30e73,Achim-Pfud,de GER,DF
26,Andreas Görlitz,/en/players/75338390/Andreas-Gorlitz,75338390,Andreas-Gorlitz,de GER,"DF,MF"
28,Janne Saarinen,/en/players/7c992ac6/Janne-Saarinen,7c992ac6,Janne-Saari,fi FIN,"DF,MF"
29,Matthias Lehmann,/en/players/abb42ce6/Matthias-Lehmann,bb42ce6,Matthias-Lehm,de GER,MF
30,Francis Kioyo,/en/players/3cade212/Francis-Kioyo,3cade212,Francis-Kioyo,cm CMR,FW
31,Fernando Santos,/en/players/69b67721/Fernando-Santos,69b67721,Fernando-Santo,br BRA,DF
32,Lance Davids,/en/players/449146e5/Lance-Davids,449146e5,Lance-David,za RSA,MF
33,Daniel Baier,/en/players/f261abcb/Daniel-Baier,f261abcb,Daniel-Bai,de GER,MF
