Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB
,﻿Simon Jentzsch,de GER,GK,32,32,0.0,0.0,2002-2003,2f1318de,1860-Munich,"2,880",32.0,3.0,0.0,10.0,13.0,
,Markus Schroth,de GER,FW,32,32,4.0,14.0,2002-2003,495af691,1860-Munich,"2,851",31.7,2.0,0.0,10.0,13.0,
,Harald Cerny,at AUT,MF,31,31,5.0,1.0,2002-2003,41db53c,1860-Munich,"2,776",30.8,6.0,0.0,10.0,24.0,
,Benjamin Lauth,de GER,FW,32,28,6.0,13.0,2002-2003,3876c87,1860-Munich,"2,414",26.8,3.0,0.0,10.0,13.0,
,Rodrigo Costa,br BRA,DF,26,26,0.0,1.0,2002-2003,401574dc,1860-Munich,"2,296",25.5,7.0,1.0,10.0,2.0,
,Torben Hoffmann,de GER,DF,26,25,0.0,0.0,2002-2003,967a7889,1860-Munich,"2,255",25.1,4.0,0.0,10.0,13.0,
,Rémo Meyer,ch SUI,DF,28,24,3.0,0.0,2002-2003,3d107df4,1860-Munich,"2,162",24.0,6.0,0.0,10.0,39.0,
,Marco Kurz,de GER,DF,26,24,0.0,0.0,2002-2003,bd284a2,1860-Munich,"1,929",21.4,8.0,2.0,10.0,13.0,
,Markus Weissenberger,at AUT,MF,26,22,4.0,1.0,2002-2003,870a35d4,1860-Munich,"1,803",20.0,1.0,0.0,10.0,24.0,
,Tomáš Votava,cz CZE,DF,21,19,0.0,0.0,2002-2003,ddc220fc,1860-Munich,"1,648",18.3,2.0,0.0,10.0,84.0,
,Martin Stranzl,at AUT,"DF,MF",19,18,2.0,2.0,2002-2003,4786c8d5,1860-Munich,"1,534",17.0,6.0,1.0,10.0,24.0,
,Thomas Häßler,de GER,MF,21,18,4.0,0.0,2002-2003,97ff665a,1860-Munich,"1,416",15.7,1.0,0.0,10.0,13.0,
,Daniel Borimirov,bg BUL,MF,26,13,1.0,2.0,2002-2003,97bc39d3,1860-Munich,"1,456",16.2,2.0,0.0,10.0,65.0,
,Michael Wiesinger,de GER,MF,16,11,1.0,1.0,2002-2003,6aa7c6bd,1860-Munich,"1,013",11.3,3.0,0.0,10.0,13.0,
,Martin Max,de GER,FW,21,8,1.0,6.0,2002-2003,b8733b6c,1860-Munich,951,10.6,3.0,0.0,10.0,13.0,
,Marcus Pürk,at AUT,"FW,MF",10,8,1.0,0.0,2002-2003,fde7b101,1860-Munich,688,7.6,2.0,0.0,10.0,24.0,
,Uwe Ehlers,de GER,DF,12,7,0.0,0.0,2002-2003,6c8e278,1860-Munich,660,7.3,1.0,0.0,10.0,13.0,
,Roman Týce,cz CZE,"DF,MF",7,7,0.0,0.0,2002-2003,9b56e7b9,1860-Munich,610,6.8,2.0,0.0,10.0,84.0,
,Davor Šuker,hr CRO,FW,11,5,0.0,1.0,2002-2003,f3580cae,1860-Munich,470,5.2,2.0,0.0,10.0,16.0,
,Rafael,br BRA,DF,5,4,0.0,0.0,2002-2003,f4187224,1860-Munich,302,3.4,2.0,0.0,10.0,2.0,
,Danny Schwarz,de GER,MF,8,4,0.0,0.0,2002-2003,f4e968e9,1860-Munich,247,2.7,0.0,0.0,10.0,13.0,
,Shao Jiayi,cn CHN,MF,11,3,0.0,1.0,2002-2003,2969d5da,1860-Munich,397,4.4,1.0,0.0,10.0,101.0,
,Paul Agostino,au AUS,FW,11,2,0.0,0.0,2002-2003,56d4e66a,1860-Munich,357,4.0,0.0,0.0,10.0,42.0,
,Michael Hofmann,de GER,GK,2,2,0.0,0.0,2002-2003,11cd8973,1860-Munich,180,2.0,0.0,0.0,10.0,13.0,
,Vidar Riseth,no NOR,"DF,MF",3,1,0.0,0.0,2002-2003,815b6e14,1860-Munich,135,1.5,2.0,0.0,10.0,21.0,
,Achim Pfuderer,de GER,DF,4,0,1.0,0.0,2002-2003,05a30e73,1860-Munich,88,1.0,0.0,0.0,10.0,13.0,
,Andreas Görlitz,de GER,"DF,MF",2,0,0.0,0.0,2002-2003,75338390,1860-Munich,17,0.2,0.0,0.0,10.0,13.0,
,﻿Michael Hofmann,de GER,GK,32,32,0.0,0.0,2003-2004,11cd8973,1860-Munich,"2,851",31.7,5.0,0.0,10.0,13.0,
,Rodrigo Costa,br BRA,DF,30,30,0.0,1.0,2003-2004,401574dc,1860-Munich,"2,700",30.0,12.0,0.0,10.0,2.0,
,Torben Hoffmann,de GER,DF,30,29,1.0,1.0,2003-2004,967a7889,1860-Munich,"2,641",29.3,7.0,0.0,10.0,13.0,
,Andreas Görlitz,de GER,"DF,MF",32,28,2.0,1.0,2003-2004,75338390,1860-Munich,"2,563",28.5,4.0,1.0,10.0,13.0,
,Benjamin Lauth,de GER,FW,28,26,2.0,9.0,2003-2004,3876c87,1860-Munich,"2,151",23.9,3.0,1.0,10.0,13.0,
,Markus Schroth,de GER,FW,29,25,5.0,6.0,2003-2004,495af691,1860-Munich,"2,333",25.9,1.0,0.0,10.0,13.0,
,Roman Týce,cz CZE,"DF,MF",29,23,0.0,0.0,2003-2004,9b56e7b9,1860-Munich,"2,190",24.3,10.0,1.0,10.0,84.0,
,Martin Stranzl,at AUT,"DF,MF",23,22,1.0,0.0,2003-2004,4786c8d5,1860-Munich,"1,816",20.2,7.0,1.0,10.0,24.0,
,Harald Cerny,at AUT,MF,24,21,3.0,0.0,2003-2004,41db53c,1860-Munich,"1,827",20.3,6.0,0.0,10.0,24.0,
,Markus Weissenberger,at AUT,MF,21,18,5.0,3.0,2003-2004,870a35d4,1860-Munich,"1,485",16.5,2.0,0.0,10.0,24.0,
,Danny Schwarz,de GER,MF,18,18,0.0,3.0,2003-2004,f4e968e9,1860-Munich,"1,465",16.3,4.0,0.0,10.0,13.0,
,Janne Saarinen,fi FIN,"DF,MF",17,16,0.0,0.0,2003-2004,7c992ac6,1860-Munich,"1,354",15.0,6.0,0.0,10.0,83.0,
,Matthias Lehmann,de GER,MF,17,16,0.0,1.0,2003-2004,bb42ce6,1860-Munich,"1,288",14.3,1.0,0.0,10.0,13.0,
,Marco Kurz,de GER,DF,16,11,0.0,0.0,2003-2004,bd284a2,1860-Munich,885,9.8,3.0,0.0,10.0,13.0,
,Paul Agostino,au AUS,FW,22,9,0.0,5.0,2003-2004,56d4e66a,1860-Munich,"1,028",11.4,1.0,0.0,10.0,42.0,
,Francis Kioyo,cm CMR,FW,25,9,0.0,2.0,2003-2004,3cade212,1860-Munich,960,10.7,0.0,0.0,10.0,36.0,
,Rémo Meyer,ch SUI,DF,14,9,1.0,0.0,2003-2004,3d107df4,1860-Munich,848,9.4,2.0,1.0,10.0,39.0,
,Fernando Santos,br BRA,DF,10,7,,0.0,2003-2004,69b67721,1860-Munich,669,7.4,2.0,1.0,10.0,2.0,
,Marcus Pürk,at AUT,"FW,MF",9,7,0.0,0.0,2003-2004,fde7b101,1860-Munich,550,6.1,1.0,0.0,10.0,24.0,
,Lance Davids,za RSA,MF,12,6,1.0,0.0,2003-2004,449146e5,1860-Munich,500,5.6,3.0,0.0,10.0,60.0,
,Daniel Baier,de GER,MF,11,4,0.0,0.0,2003-2004,f261abcb,1860-Munich,487,5.4,2.0,0.0,10.0,13.0,
,Gerhard Poschner,de GER,MF,4,4,,0.0,2003-2004,da48d522,1860-Munich,303,3.4,0.0,0.0,10.0,13.0,
,André Lenz,de GER,GK,3,2,0.0,0.0,2003-2004,7a8a36d2,1860-Munich,209,2.3,0.0,0.0,10.0,13.0,
,Daniel Borimirov,bg BUL,MF,5,1,0.0,0.0,2003-2004,97bc39d3,1860-Munich,123,1.4,1.0,1.0,10.0,65.0,
,Michael Wiesinger,de GER,MF,2,1,0.0,0.0,2003-2004,6aa7c6bd,1860-Munich,70,0.8,0.0,0.0,10.0,13.0,
,Shao Jiayi,cn CHN,MF,5,0,1.0,0.0,2003-2004,2969d5da,1860-Munich,122,1.4,0.0,0.0,10.0,101.0,
,Christophe Lepoint,be BEL,"DF,MF",1,0,0.0,0.0,2003-2004,67901273,1860-Munich,18,0.2,0.0,0.0,10.0,27.0,
,Marcel Schäfer,de GER,"DF,MF",1,0,0.0,0.0,2003-2004,11b349cf,1860-Munich,1,0.0,0.0,0.0,10.0,13.0,
,﻿Rodrigo Costa,br BRA,DF,31,31,0.0,1.0,2004-2005,401574dc,1860-Munich,"2,759",30.7,11.0,2.0,10.0,2.0,
,Matthias Lehmann,de GER,MF,32,31,3.0,6.0,2004-2005,bb42ce6,1860-Munich,"2,736",30.4,7.0,1.0,10.0,13.0,
,Michal Kolomazník,cz CZE,FW,34,29,3.0,15.0,2004-2005,758927bf,1860-Munich,"2,393",26.6,2.0,0.0,10.0,84.0,
,Daniel Baier,de GER,MF,30,26,4.0,1.0,2004-2005,f261abcb,1860-Munich,"2,253",25.0,4.0,0.0,10.0,13.0,
,Marcel Schäfer,de GER,"DF,MF",27,24,6.0,2.0,2004-2005,11b349cf,1860-Munich,"2,249",25.0,3.0,0.0,10.0,13.0,
,Roman Týce,cz CZE,"DF,MF",24,24,4.0,3.0,2004-2005,9b56e7b9,1860-Munich,"1,895",21.1,11.0,1.0,10.0,84.0,
,Paul Agostino,au AUS,FW,31,21,2.0,7.0,2004-2005,56d4e66a,1860-Munich,"2,037",22.6,3.0,0.0,10.0,42.0,
,Michael Hofmann,de GER,GK,20,20,0.0,0.0,2004-2005,11cd8973,1860-Munich,"1,800",20.0,0.0,0.0,10.0,13.0,
,Slobodan Komljenović,rs SRB,DF,26,20,0.0,0.0,2004-2005,8e80766,1860-Munich,"1,772",19.7,3.0,0.0,10.0,28.0,
,Marco Gebhardt,de GER,"DF,MF",27,19,1.0,2.0,2004-2005,832b7808,1860-Munich,"1,706",19.0,3.0,0.0,10.0,13.0,
,Łukasz Szukała,pl POL,DF,18,17,1.0,0.0,2004-2005,4d8724,1860-Munich,"1,525",16.9,2.0,0.0,10.0,14.0,
,Quido Lanzaat,nl NED,DF,16,15,2.0,0.0,2004-2005,2078488c,1860-Munich,"1,381",15.3,2.0,0.0,10.0,11.0,
,Rémo Meyer,ch SUI,DF,19,14,1.0,1.0,2004-2005,3d107df4,1860-Munich,"1,402",15.6,7.0,0.0,10.0,39.0,
,Timo Ochs,de GER,GK,14,14,0.0,0.0,2004-2005,35660a28,1860-Munich,"1,260",14.0,1.0,0.0,10.0,13.0,
,Harald Cerny,at AUT,MF,15,10,2.0,0.0,2004-2005,41db53c,1860-Munich,936,10.4,2.0,0.0,10.0,24.0,
,Patrick Milchraum,de GER,"DF,MF",16,10,3.0,4.0,2004-2005,4119b1e4,1860-Munich,786,8.7,2.0,0.0,10.0,13.0,
,Shao Jiayi,cn CHN,MF,16,9,2.0,3.0,2004-2005,2969d5da,1860-Munich,864,9.6,4.0,0.0,10.0,101.0,
,Erol Bulut,tr TUR,"DF,MF",10,8,0.0,1.0,2004-2005,2f01e2c4,1860-Munich,673,7.5,1.0,0.0,10.0,15.0,
,Christophe Lepoint,be BEL,"DF,MF",8,8,0.0,0.0,2004-2005,67901273,1860-Munich,642,7.1,1.0,0.0,10.0,27.0,
,Emmanuel Krontiris,de GER,FW,17,7,1.0,3.0,2004-2005,4c240ac,1860-Munich,763,8.5,2.0,0.0,10.0,13.0,
,Karlheinz Pflipsen,de GER,MF,9,6,1.0,1.0,2004-2005,f80cd8e8,1860-Munich,580,6.4,2.0,0.0,10.0,13.0,
,Stefan Frühbeis,de GER,,7,6,0.0,0.0,2004-2005,feeca826,1860-Munich,450,5.0,1.0,0.0,10.0,13.0,
,Nemanja Vučićević,rs SRB,"FW,MF",10,5,2.0,1.0,2004-2005,6bd29aba,1860-Munich,517,5.7,2.0,0.0,10.0,28.0,
