2016-2017,Alaves
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Fernando Pacheco,es ESP,GK,36,36,0,0,"3,240",36.0,1,0,/en/players/97852360/Fernando-Pacheco,97852360,Fernando-Pacheco
Marcos Llorente,es ESP,MF,32,31,2,0,"2,806",31.2,5,0,/en/players/02c15616/Marcos-Llorente,02c15616,Marcos-Llorent
Theo Hernández,fr FRA,DF,32,30,3,1,"2,725",30.3,12,1,/en/players/d4c9725f/Theo-Hernandez,d4c9725f,Theo-Hernandez
Deyverson,br BRA,FW,32,29,1,7,"2,580",28.7,14,0,/en/players/2e5e846d/Deyverson,2e5e846d,Deyverso
Kiko Femenía,es ESP,DF,31,28,2,0,"2,500",27.8,5,0,/en/players/e5d01ecf/Kiko-Femenia,5d01ecf,Kiko-Femeni
Víctor Camarasa,es ESP,MF,31,28,1,3,"2,495",27.7,4,0,/en/players/b2d03887/Victor-Camarasa,b2d03887,Victor-Cam
Zouhair Feddal,ma MAR,DF,27,27,1,2,"2,242",24.9,8,2,/en/players/89151b16/Zouhair-Feddal,89151b16,Zouhair-Fedd
Víctor Laguardia,es ESP,DF,26,24,1,2,"2,149",23.9,6,0,/en/players/b7c99b9b/Victor-Laguardia,b7c99b9b,Victor-Laguardi
Manu García,es ESP,MF,25,23,1,3,"2,011",22.3,8,0,/en/players/05a4465d/Manu-Garcia,05a4465d,Manu-Garci
Ibai Gómez,es ESP,MF,29,23,2,5,"1,815",20.2,2,0,/en/players/9d2a3d5f/Ibai-Gomez,9d2a3d5f,Ibai-Gomez
Alexis,es ESP,DF,24,19,1,2,"1,819",20.2,10,1,/en/players/db0cd1ae/Alexis,db0cd1ae,Alexi
Édgar Méndez,es ESP,"MF,FW",27,18,1,4,"1,612",17.9,6,0,/en/players/aed746df/Edgar-Mendez,d746df,Edgar-Mendez
Daniel Torres,co COL,MF,21,17,0,0,"1,436",16.0,7,0,/en/players/87882adc/Daniel-Torres,87882adc,Daniel-To
Gaizka Toquero,es ESP,"MF,FW",23,15,1,1,"1,222",13.6,4,0,/en/players/b78144a6/Gaizka-Toquero,b78144a6,Gaizka-Toquero
Raúl García,es ESP,DF,18,14,0,0,"1,270",14.1,6,0,/en/players/1a317a1b/Raul-Garcia,1a317a1b,Raul-Garci
Carlos Vigaray,es ESP,DF,19,10,3,0,949,10.5,1,0,/en/players/f69d934e/Carlos-Vigaray,f69d934e,Carlos-Vig
Nenad Krstičić,rs SRB,MF,14,9,0,2,745,8.3,3,0,/en/players/5631b735/Nenad-Krsticic,5631b735,Nenad-Krsticic
Christian Santos,ve VEN,FW,21,8,1,3,837,9.3,2,0,/en/players/4efd29bb/Christian-Santos,4efd29bb,Christian-Santo
Rodrigo Ely,br BRA,DF,10,8,0,1,789,8.8,4,0,/en/players/fd47b4f2/Rodrigo-Ely,fd47b4f2,Rodrigo-E
Aleksandar Katai,rs SRB,"MF,FW",20,8,3,3,775,8.6,3,1,/en/players/d5127c3f/Aleksandar-Katai,d5127c3f,Aleksandar-Katai
Rubén Sobrino,es ESP,MF,11,5,1,2,503,5.6,1,0,/en/players/19b776e9/Ruben-Sobrino,19b776e9,Ruben-Sobrino
Óscar Romero,py PAR,MF,13,4,1,0,535,5.9,3,0,/en/players/4bc5f2b4/Oscar-Romero,4bc5f2b4,Oscar-Romero
Adrián Ortolá,es ESP,GK,2,2,0,0,180,2.0,0,0,/en/players/6a22fe38/Adrian-Ortola,6a22fe38,Adrian-Orto
Cristian Espinoza,ar ARG,MF,6,1,0,0,163,1.8,1,0,/en/players/9c794a80/Cristian-Espinoza,9c794a80,Cristian-Espinoz
Aleksandar Pantić,rs SRB,DF,2,1,1,0,155,1.7,1,0,/en/players/70e5566a/Aleksandar-Pantic,70e5566a,Aleksandar-Pantic
Martin Agirregabiria,es ESP,DF,0,0,,,,,,,/en/players/355c883a/Martin-Agirregabiria,355c883a,Martin-Agirregabiri
Manu Barreiro,es ESP,FW,0,0,,,,,,,/en/players/028608d9/Manu-Barreiro,028608d9,Manu-Barreiro
Manu García,es ESP,"FW,MF",0,0,,,,,,,/en/players/6ed1a2a2/Manu-Garcia,6ed1a2a2,Manu-Garci
