Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
0,﻿Carlos Llorens,/en/players/cc1c44b3/Carlos-Llorens,cc1c44b3,Carlos-Llo,es ESP,DF,Alaves
1,Richard Dutruel,/en/players/b51c1e29/Richard-Dutruel,b51c1e29,Richard-Dutru,fr FRA,GK,Alaves
2,Antonio Karmona,/en/players/a6bf6531/Antonio-Karmona,6bf6531,Antonio-Karmo,es ESP,DF,Alaves
3,Abelardo Fernández,/en/players/fd6cdf88/Abelardo-Fernandez,fd6cdf88,Abelardo-Fernandez,es ESP,DF,Alaves
4,Martín Astudillo,/en/players/fda30cfc/Martin-Astudillo,fda30cfc,Martin-Astudillo,ar ARG,MF,Alaves
5,Delfí Geli,/en/players/6b058d9b/Delfi-Geli,6b058d9b,Delfi-Geli,es ESP,DF,Alaves
6,Óscar Téllez,/en/players/c4b1fe41/Oscar-Tellez,c4b1fe41,Oscar-Tellez,es ESP,DF,Alaves
7,Rubén Navarro,/en/players/59cc2821/Ruben-Navarro,59cc2821,Ruben-Navarro,es ESP,FW,Alaves
8,Iván Alonso,/en/players/80084c87/Ivan-Alonso,80084c87,Ivan-Alonso,uy URU,FW,Alaves
9,Ibon Begoña,/en/players/301f6f65/Ibon-Begona,301f6f65,Ibon-Bego,es ESP,DF,Alaves
10,Pablo Gómez,/en/players/0a9e2033/Pablo-Gomez,0a9e2033,Pablo-Gomez,es ESP,MF,Alaves
11,Jordi Cruyff,/en/players/7ebf561b/Jordi-Cruyff,7ebf561b,Jordi-Cruyff,nl NED,"FW,MF",Alaves
12,Luis Helguera,/en/players/873ff2a7/Luis-Helguera,873ff2a7,Luis-Helgu,es ESP,MF,Alaves
13,Magno Mocelin,/en/players/a5d58ff0/Magno-Mocelin,5d58ff0,Magno-Moceli,br BRA,FW,Alaves
14,Edu Alonso,/en/players/911e7b8d/Edu-Alonso,911e7b8d,Edu-Alonso,es ESP,MF,Alaves
15,Jesús Turiel,/en/players/7c737496/Jesus-Turiel,7c737496,Jesus-Turi,es ESP,MF,Alaves
16,Hermes Desio,/en/players/1c0c23ed/Hermes-Desio,1c0c23ed,Hermes-Desio,ar ARG,MF,Alaves
17,Adrian Ilie,/en/players/5ec3ec8d/Adrian-Ilie,5ec3ec8d,Adrian-Ili,ro ROU,"FW,MF",Alaves
18,Ivan Tomić,/en/players/dff4f3f2/Ivan-Tomic,dff4f3f2,Ivan-Tomic,rs SRB,MF,Alaves
19,Juan Pablo Colinas,/en/players/b2cab8f4/Juan-Pablo-Colinas,b2cab8f4,Juan-Pablo-Coli,es ESP,GK,Alaves
20,Bogdan Mara,/en/players/5b649d53/Bogdan-Mara,5b649d53,Bogdan-M,ro ROU,"FW,MF",Alaves
21,Juan Cruz Ochoa,/en/players/301ff22a/Juan-Cruz-Ochoa,301ff22a,Juan-Cruz-Ocho,es ESP,DF,Alaves
22,Nacho,/en/players/dadfcbb3/Nacho,dadfcbb3,Nacho,es ESP,"DF,MF",Alaves
23,Ronny Gaspercic,/en/players/bbeaf9c2/Ronny-Gaspercic,bbeaf9c2,Ronny-Gaspercic,be BEL,GK,Alaves
24,Enrique de Lucas,/en/players/ae61cc61/Enrique-de-Lucas,61cc61,Enrique-de-Luc,es ESP,"FW,MF",Alaves
25,Jesús Galván,/en/players/5f605a71/Jesus-Galvan,5f605a71,Jesus-Galv,es ESP,DF,Alaves
26,Ángel,/en/players/4c3f3098/Angel,4c3f3098,Ang,es ESP,DF,Alaves
27,Diego Trotta,/en/players/e7ec1faf/Diego-Trotta,7ec1faf,Diego-Trott,ar ARG,DF,Alaves
28,Josu Sarriegi,/en/players/cca08d01/Josu-Sarriegi,cca08d01,Josu-Sarriegi,es ESP,DF,Alaves
29,Pablo Coira,/en/players/7099e844/Pablo-Coira,7099e844,Pablo-Coi,es ESP,DF,Alaves
31,Martín Palermo,/en/players/02aa1dbe/Martin-Palermo,02aa1dbe,Martin-Palermo,ar ARG,FW,Alaves
32,Sietes,/en/players/bae8225f/Sietes,bae8225f,Siet,es ESP,DF,Alaves
33,Jurica Vučko,/en/players/d12b2233/Jurica-Vucko,d12b2233,Jurica-Vucko,hr CRO,FW,Alaves
34,Eneko Romo,/en/players/5c5c6fa7/Eneko-Romo,5c5c6fa7,Eneko-Romo,es ESP,MF,Alaves
35,Nenê,/en/players/265ebd37/Nene,265ebd37,N,br BRA,"FW,MF",Alaves
36,Rodolfo Bodipo,/en/players/6cf2bc0e/Rodolfo-Bodipo,6cf2bc0e,Rodolfo-Bodipo,gq EQG,FW,Alaves
37,Roberto Bonano,/en/players/7b2d75ba/Roberto-Bonano,7b2d75ba,Roberto-Bonano,ar ARG,GK,Alaves
38,Santiago Carpintero,/en/players/139b88a8/Santiago-Carpintero,139b88a8,Santiago-Carpintero,es ESP,MF,Alaves
39,David Coromina,/en/players/bb603172/David-Coromina,bb603172,David-Coromi,es ESP,DF,Alaves
40,Lluís Carreras,/en/players/4e1b59cf/Lluis-Carreras,4e1b59cf,Lluis-C,es ESP,DF,Alaves
41,Juvenal,/en/players/b26bf947/Juvenal,b26bf947,Juv,gq EQG,MF,Alaves
42,Pape Sarr,/en/players/7be00da6/Pape-Sarr,7be00da6,Pape-S,sn SEN,MF,Alaves
43,Sergio Santamaría,/en/players/4795800e/Sergio-Santamaria,4795800e,Sergio-Santamari,es ESP,"FW,MF",Alaves
44,David Sánchez,/en/players/bb05af1a/David-Sanchez,bb05af1a,David-Sanchez,es ESP,MF,Alaves
45,Abel Valenzuela,/en/players/53db52e9/Abel-Valenzuela,53db52e9,Abel-Valenzu,es ESP,DF,Alaves
46,Pape Thiaw,/en/players/a38f40e6/Pape-Thiaw,38f40e6,Pape-Thiaw,sn SEN,FW,Alaves
47,Nicolas Ardouin,/en/players/be679fa0/Nicolas-Ardouin,be679fa0,Nicolas-Ardoui,fr FRA,GK,Alaves
48,Maximiliano Flotta,/en/players/34bd3bd4/Maximiliano-Flotta,34bd3bd4,Maximiliano-Flott,ar ARG,"DF,MF",Alaves
49,Álex Lombardero,/en/players/0253cbcf/Alex-Lombardero,0253cbcf,Alex-Lombardero,es ESP,MF,Alaves
50,Aleksandr Mostovoi,/en/players/6d215bed/Aleksandr-Mostovoi,6d215bed,Aleksandr-Mostovoi,ru RUS,MF,Alaves
51,Juanito,/en/players/47176127/Juanito,47176127,Juanito,es ESP,"DF,MF",Alaves
52,Franco Costanzo,/en/players/56dde780/Franco-Costanzo,56dde780,Franco-Costanzo,ar ARG,GK,Alaves
53,John Aloisi,/en/players/747e3a0d/John-Aloisi,747e3a0d,John-Aloisi,au AUS,FW,Alaves
54,Gaspar,/en/players/75e5329b/Gaspar,75e5329b,G,es ESP,DF,Alaves
55,Jandro,/en/players/453a1fcd/Jandro,453a1fcd,Jandro,es ESP,MF,Alaves
56,Mauricio Pellegrino,/en/players/8b3d6528/Mauricio-Pellegrino,8b3d6528,Mauricio-Pellegrino,ar ARG,DF,Alaves
57,Mehdi Lacen,/en/players/a3a306f6/Mehdi-Lacen,3a306f6,Mehdi-Lac,dz ALG,MF,Alaves
58,Wesley,/en/players/35b1bd33/Wesley,35b1bd33,W,br BRA,"FW,MF",Alaves
59,José María Mena,/en/players/bc2150cb/Jose-Maria-Mena,bc2150cb,Jose-Maria-M,es ESP,FW,Alaves
60,Blagoy Georgiev,/en/players/d2722647/Blagoy-Georgiev,d2722647,Blagoy-Georgiev,bg BUL,MF,Alaves
61,Arthuro,/en/players/af5bfaa6/Arthuro,f5bfaa6,Arthuro,br BRA,FW,Alaves
62,Élton Giovanni,/en/players/8c8170c0/Elton-Giovanni,8c8170c0,Elton-Giovanni,br BRA,MF,Alaves
63,Henri Antchouet,/en/players/5e54551e/Henri-Antchouet,5e54551e,Henri-Antchouet,ga GAB,FW,Alaves
64,José Manuel Mateo,/en/players/d7458f0a/Jose-Manuel-Mateo,d7458f0a,Jose-Manuel-Mateo,es ESP,DF,Alaves
