2014-2015,Albacete
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Portu,es ESP,"FW,MF",36,33,2,6,"2,945",32.7,7,0,/en/players/1bda5842/Portu,1bda5842,Portu
Antoñito,es ESP,"DF,MF",33,33,3,0,"2,828",31.4,10,0,/en/players/dbe519cf/Antonito,dbe519cf,Antonito
Edu Ramos,es ESP,MF,32,31,1,0,"2,590",28.8,6,1,/en/players/e6793b40/Edu-Ramos,6793b40,Edu-Ramo
Keko,es ESP,"FW,MF",33,29,4,6,"2,531",28.1,3,0,/en/players/1512328c/Keko,1512328c,Keko
Gonzalo,es ESP,DF,29,29,0,1,"2,473",27.5,6,0,/en/players/deeda5ab/Gonzalo,deeda5ab,Gonzalo
Mario Ortiz Ruiz,es ESP,MF,31,28,0,0,"2,506",27.8,8,0,/en/players/82661dc4/Mario-Ortiz-Ruiz,82661dc4,Mario-Ortiz-Ruiz
Miguel Núñez,,MF,27,27,1,1,"2,371",26.3,10,0,/en/players/24da7a90/Miguel-Nunez,24da7a90,Miguel-Nunez
Francisco Dorronsoro,es ESP,GK,25,25,0,0,"2,205",24.5,2,0,/en/players/d4442eb9/Francisco-Dorronsoro,d4442eb9,Francisco-Dorronsoro
Rubén Cruz Gil,es ESP,MF,37,22,4,10,"2,141",23.8,5,0,/en/players/365d25bb/Ruben-Cruz-Gil,365d25bb,Ruben-Cruz-Gi
Javier Paredes,es ESP,DF,21,21,2,0,"1,869",20.8,10,1,/en/players/488a9ade/Javier-Paredes,488a9ade,Javier-Pared
César Díaz,es ESP,FW,33,20,1,6,"1,850",20.6,4,0,/en/players/7717b1b5/Cesar-Diaz,7717b1b5,Cesar-Diaz
Jorge Pulido,es ESP,DF,19,19,0,3,"1,710",19.0,5,0,/en/players/978cd030/Jorge-Pulido,978cd030,Jorge-Pulido
Jorge Diaz,uy URU,"FW,MF",32,18,0,5,"1,750",19.4,5,0,/en/players/d3248912/Jorge-Diaz,d3248912,Jorge-Diaz
Samu Delgado,es ESP,MF,34,18,5,4,"1,682",18.7,5,0,/en/players/3b233353/Samu-Delgado,3b233353,Samu-Delgado
Diego Benito Rey,es ESP,MF,17,14,0,0,"1,083",12.0,1,0,/en/players/049c2adb/Diego-Benito-Rey,049c2adb,Diego-Benito-R
Chumbi,,,33,13,0,6,"1,401",15.6,3,0,/en/players/0119a54c/Chumbi,0119a54c,Chumbi
Francisco Noguerol,es ESP,DF,12,12,0,0,"1,035",11.5,4,0,/en/players/73bdd0b1/Francisco-Noguerol,73bdd0b1,Francisco-Noguero
Sergio Cidoncha,es ESP,MF,27,11,5,3,"1,168",13.0,2,0,/en/players/05837e63/Sergio-Cidoncha,05837e63,Sergio-Cidonch
Carlos Moreno,es ESP,DF,14,10,0,0,984,10.9,2,0,/en/players/beae2a31/Carlos-Moreno,beae2a31,Carlos-Moreno
Alberto Domínguez,es ESP,GK,10,10,0,0,900,10.0,0,0,/en/players/c5ada735/Alberto-Dominguez,c5ada735,Alberto-Dominguez
Thierry Moutinho,pt POR,MF,16,7,1,2,699,7.8,1,0,/en/players/8e928063/Thierry-Moutinho,8e928063,Thierry-Moutinho
Diego Rivas Rego,es ESP,GK,8,7,0,0,675,7.5,0,0,/en/players/c3a6fb7d/Diego-Rivas-Rego,c3a6fb7d,Diego-Rivas-Rego
José Rojas,es ESP,DF,6,6,0,0,522,5.8,3,0,/en/players/5854c775/Jose-Rojas,5854c775,Jose-Roj
Fran García,es ESP,DF,6,6,0,0,447,5.0,2,1,/en/players/e5616927/Fran-Garcia,5616927,Fran-Garci
Pol Bueso,es ESP,DF,7,5,0,0,534,5.9,0,0,/en/players/7fd2c75e/Pol-Bueso,7fd2c75e,Pol-Bueso
Carlos Indiano,es ESP,MF,6,4,0,0,255,2.8,2,0,/en/players/521c811e/Carlos-Indiano,521c811e,Carlos-Indiano
Juanra,es ESP,DF,3,3,0,0,270,3.0,1,0,/en/players/883c7798/Juanra,883c7798,Ju
Manuel Miquel,es ESP,MF,1,1,0,0,90,1.0,0,0,/en/players/97e5daab/Manuel-Miquel,97e5daab,Manuel-Miqu
José Manuel Ruiz Carrasco,es ESP,MF,0,0,,,,,,,/en/players/84aa61bf/Jose-Manuel-Ruiz-Carrasco,84aa61bf,Jose-Manuel-Ruiz-Carrasco
Chumbi,es ESP,FW,0,0,,,,,,,/en/players/ac903501/Chumbi,c903501,Chumbi
Iván Cifuentes,es ESP,FW,0,0,,,,,,,/en/players/5448d40e/Ivan-Cifuentes,5448d40e,Ivan-Cifuent
Miguel Núñez,es ESP,MF,0,0,,,,,,,/en/players/e6c70f2f/Miguel-Nunez,6c70f2f,Miguel-Nunez
Héctor Pizana,es ESP,GK,0,0,,,,,,,/en/players/75e2b34a/Hector-Pizana,75e2b34a,Hector-Piz
