2005-2006,Alemannia-Aachen
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Kristian Nicht,de GER,GK,31,31,0,0,"2,790",31.0,2,0,/en/players/817cb190/Kristian-Nicht,817cb190,Kristian-Nicht
Sascha Rösler,de GER,"FW,MF",32,30,8,8,"2,591",28.8,8,0,/en/players/502699c8/Sascha-Rosler,502699c8,Sascha-Ro
Sérgio Pinto,pt POR,"FW,MF",31,29,9,4,"2,459",27.3,10,0,/en/players/85ecb7ea/Sergio-Pinto,85ecb7ea,Sergio-Pinto
Alexander Klitzpera,de GER,DF,29,28,1,3,"2,558",28.4,3,0,/en/players/e9483414/Alexander-Klitzpera,9483414,Alexander-Klitz
Reiner Plaßhenrich,de GER,MF,28,28,4,1,"2,426",27.0,5,0,/en/players/4c625b9e/Reiner-Plasshenrich,4c625b9e,Reiner-Plasshenrich
Jan Schlaudraff,de GER,"FW,MF",29,28,5,11,"2,381",26.5,6,1,/en/players/d6028d5e/Jan-Schlaudraff,d6028d5e,Jan-Schlaudraff
Cristian Fiél,de GER,MF,26,24,2,1,"1,906",21.2,4,1,/en/players/c26e065c/Cristian-Fiel,c26e065c,Cristian-Fi
Emil Noll,de GER,DF,27,22,1,2,"2,020",22.4,5,0,/en/players/5307b4a6/Emil-Noll,5307b4a6,Emil-No
Moses Sichone,zm ZAM,DF,22,22,0,0,"1,850",20.6,7,0,/en/players/c0271a1b/Moses-Sichone,c0271a1b,Moses-Sicho
Mirko Casper,de GER,DF,26,20,0,0,"1,895",21.1,5,0,/en/players/c8cf6716/Mirko-Casper,c8cf6716,Mirko-C
Marius Ebbers,de GER,FW,28,20,3,13,"1,856",20.6,4,0,/en/players/c56ab2cd/Marius-Ebbers,c56ab2cd,Marius-Ebb
Erik Meijer,nl NED,FW,27,20,2,5,"1,840",20.4,4,0,/en/players/150df2bb/Erik-Meijer,150df2bb,Erik-Meij
Laurențiu Reghecampf,ro ROU,MF,25,19,6,6,"1,678",18.6,2,1,/en/players/346cebbd/Laurentiu-Reghecampf,346cebbd,Laurentiu-Reghecampf
Thomas Stehle,de GER,DF,16,13,0,2,"1,104",12.3,5,0,/en/players/4f4321c9/Thomas-Stehle,4f4321c9,Thomas-Steh
Goran Šukalo,si SVN,MF,24,9,2,2,"1,111",12.3,2,0,/en/players/9881c8d5/Goran-Sukalo,9881c8d5,Goran-Sukalo
Matthias Heidrich,de GER,MF,13,7,0,0,652,7.2,4,1,/en/players/313279bc/Matthias-Heidrich,313279bc,Matthias-Heidrich
Erwin Koen,nl NED,FW,18,6,2,1,663,7.4,3,0,/en/players/f83cd175/Erwin-Koen,f83cd175,Erwin-Ko
Willi Landgraf,de GER,DF,12,6,0,0,535,5.9,2,0,/en/players/c54d0726/Willi-Landgraf,c54d0726,Willi-Landgraf
Sascha Dum,de GER,"DF,MF",6,4,0,0,397,4.4,4,0,/en/players/a67c9d5e/Sascha-Dum,67c9d5e,Sascha-Dum
Bernd Rauw,be BEL,DF,6,4,0,0,263,2.9,3,0,/en/players/44414d70/Bernd-Rauw,44414d70,Bernd-Rauw
Stephan Straub,de GER,GK,3,3,0,0,270,3.0,0,0,/en/players/71953531/Stephan-Straub,71953531,Stephan-Straub
Florian Bruns,de GER,MF,14,1,0,1,305,3.4,0,0,/en/players/df41ad24/Florian-Bruns,df41ad24,Florian-Bru
