Id,Player,Link,Player_name,Player_id,Nationality,Position,club
1,﻿Iker Casillas,/en/players/1ddbb0da/Iker-Casillas,Iker-Casi,1ddbb0da,es ESP,GK,Real-Madrid
29,César Sánchez,/en/players/c6e6e5d6/Cesar-Sanchez,Cesar-Sanchez,c6e6e5d6,es ESP,GK,Real-Madrid
47,Diego López,/en/players/73683fa9/Diego-Lopez,Diego-Lopez,73683fa9,es ESP,GK,Real-Madrid
68,Jordi Codina,/en/players/812088cd/Jordi-Codina,Jordi-Codi,812088cd,es ESP,GK,Real-Madrid
69,Jerzy Dudek,/en/players/1064659d/Jerzy-Dudek,Jerzy-Dudek,1064659d,pl POL,GK,Real-Madrid
94,Antonio Adán,/en/players/65d62814/Antonio-Adan,Antonio-Ad,65d62814,es ESP,GK,Real-Madrid
97,Jesús,/en/players/fba3c8c1/Jesus,Jesu,fba3c8c1,es ESP,GK,Real-Madrid
99,Tomás Mejías,/en/players/dc0c0fd9/Tomas-Mejias,Tomas-Meji,dc0c0fd9,es ESP,GK,Real-Madrid
130,Fernando Pacheco,/en/players/97852360/Fernando-Pacheco,Fernando-Pacheco,97852360,es ESP,GK,Real-Madrid
132,Keylor Navas,/en/players/ecada4fc/Keylor-Navas,Keylor-Nav,cada4fc,cr CRC,GK,Real-Madrid
136,Kiko Casilla,/en/players/58bc7d18/Kiko-Casilla,Kiko-Casi,58bc7d18,es ESP,GK,Real-Madrid
142,Rubén Yáñez,/en/players/039ae103/Ruben-Yanez,Ruben-Yanez,039ae103,es ESP,GK,Real-Madrid
149,Luca Zidane,/en/players/c818c4d9/Luca-Zidane,Luca-Zid,c818c4d9,fr FRA,GK,Real-Madrid
151,Moha,/en/players/97ceacc3/Moha,Moh,97ceacc3,es ESP,GK,Real-Madrid
154,Thibaut Courtois,/en/players/1840e36d/Thibaut-Courtois,Thibaut-Courtoi,1840e36d,be BEL,GK,Real-Madrid
167,Alphonse Areola,/en/players/2f965a72/Alphonse-Areola,Alphonse-Areo,2f965a72,fr FRA,GK,Real-Madrid
