2007-2008,Almeria
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Mané,es ESP,"DF,MF",36,36,4,2,"3,144",34.9,9,0,/en/players/6b015a27/Mane,6b015a27,M
Carlos García,es ESP,DF,35,35,0,0,"3,150",35.0,11,0,/en/players/2f21a57c/Carlos-Garcia,2f21a57c,Carlos-Garci
Bruno,es ESP,DF,34,34,1,0,"2,901",32.2,11,0,/en/players/78803d03/Bruno,78803d03,Bruno
Álvaro Negredo,es ESP,FW,36,34,3,12,"2,843",31.6,3,0,/en/players/63b0ca6b/Alvaro-Negredo,63b0ca6b,Alvaro-Negredo
Juan Manuel Ortiz,es ESP,"DF,MF",35,32,1,3,"2,498",27.8,10,0,/en/players/77513881/Juan-Manuel-Ortiz,77513881,Juan-Manuel-Ortiz
Albert Crusat,es ESP,"FW,MF",34,31,3,3,"2,687",29.9,9,2,/en/players/ba027002/Albert-Crusat,ba027002,Albert-Crusat
Felipe Melo,br BRA,"DF,MF",34,30,0,7,"2,590",28.8,13,0,/en/players/b14d84d3/Felipe-Melo,b14d84d3,Felipe-Melo
Juanito,es ESP,"DF,MF",31,28,0,1,"2,229",24.8,9,1,/en/players/47176127/Juanito,47176127,Juanito
Fernando Soriano,es ESP,MF,34,26,1,2,"2,209",24.5,10,0,/en/players/1aa72854/Fernando-Soriano,1aa72854,Fernando-Soriano
Rubén Pulido,es ESP,DF,26,24,0,3,"2,147",23.9,10,1,/en/players/3a8be98c/Ruben-Pulido,3a8be98c,Ruben-Pulido
Diego Alves,br BRA,GK,22,21,0,0,"1,957",21.7,3,0,/en/players/12421a7c/Diego-Alves,12421a7c,Diego-Alv
Corona,es ESP,MF,32,21,4,1,"1,942",21.6,5,0,/en/players/4798bc33/Corona,4798bc33,Coro
David Cobeño,es ESP,GK,17,17,0,0,"1,463",16.3,3,1,/en/players/df7b0840/David-Cobeno,df7b0840,David-Cobeno
Santiago Acasiete,pe PER,DF,20,17,0,2,"1,373",15.3,3,1,/en/players/39168d69/Santiago-Acasiete,39168d69,Santiago-Acasiet
Kalu Uche,ng NGA,"FW,MF",30,10,1,3,"1,091",12.1,1,0,/en/players/6cc97b1d/Kalu-Uche,6cc97b1d,Kalu-Uch
Domingo Cisma,es ESP,DF,11,9,0,0,764,8.5,3,1,/en/players/4d85b73c/Domingo-Cisma,4d85b73c,Domingo-Cism
López Rekarte,es ESP,DF,10,4,0,0,584,6.5,2,0,/en/players/346b3104/Lopez-Rekarte,346b3104,Lopez-Rekart
José Ortiz Bernal,es ESP,"FW,MF",21,3,1,0,624,6.9,0,0,/en/players/60393076/Jose-Ortiz-Bernal,60393076,Jose-Ortiz-B
Natalio,es ESP,FW,13,2,0,0,424,4.7,0,0,/en/players/239425b9/Natalio,239425b9,Natalio
Iriney,br BRA,MF,8,2,0,0,286,3.2,0,0,/en/players/09296fcc/Iriney,09296fcc,Iri
Veljko Paunović,es ESP,"FW,MF",7,1,0,2,202,2.2,1,1,/en/players/7d0ae66f/Veljko-Paunovic,7d0ae66f,Veljko-Paunovic
José Cabrera,es ESP,MF,3,1,0,0,115,1.3,0,0,/en/players/c7bf7830/Jose-Cabrera,c7bf7830,Jose-Cab
Guilherme Santos,br BRA,"DF,MF",2,0,0,0,34,0.4,0,0,/en/players/ffd78d3d/Guilherme-Santos,ffd78d3d,Guilherme-Santo
