Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Francisco,es ESP,FW,41,38,3.0,15.0,2002-2003,20ba95,Almeria,"3,302",36.7,7.0,0.0,65.0,1.0,,Almeria
,Olivares,es ESP,DF,38,37,0.0,4.0,2002-2003,438fb313,Almeria,"3,346",37.2,13.0,1.0,65.0,1.0,4568.0,Almeria
,Juan Cervián,es ESP,DF,35,34,6.0,2.0,2002-2003,5cc15685,Almeria,"3,031",33.7,9.0,1.0,65.0,1.0,4569.0,Almeria
,Juan Carlos Ramos,es ESP,MF,36,31,0.0,1.0,2002-2003,3386ca6c,Almeria,"2,683",29.8,10.0,0.0,65.0,1.0,4570.0,Almeria
,Emmanuel Dorado,fr FRA,DF,32,31,0.0,0.0,2002-2003,bf4ced65,Almeria,"2,561",28.5,10.0,0.0,65.0,4.0,4571.0,Almeria
,Esteban,es ESP,MF,35,30,2.0,0.0,2002-2003,17d532aa,Almeria,"2,570",28.6,7.0,2.0,65.0,1.0,4572.0,Almeria
,Jose Barbero,,,29,29,0.0,0.0,2002-2003,,Almeria,"2,610",29.0,2.0,0.0,65.0,,,Almeria
,Joaquín Sorribas,es ESP,MF,33,28,0.0,0.0,2002-2003,d3b37f79,Almeria,"2,306",25.6,15.0,1.0,65.0,1.0,4573.0,Almeria
,César Jiménez,es ESP,DF,29,27,2.0,1.0,2002-2003,fc6342b,Almeria,"2,331",25.9,6.0,2.0,65.0,1.0,,Almeria
,Mate Bilić,hr CRO,FW,31,25,1.0,9.0,2002-2003,37e6a4eb,Almeria,"2,173",24.1,5.0,1.0,65.0,16.0,4574.0,Almeria
,Juanlu,es ESP,MF,31,25,2.0,6.0,2002-2003,94b88487,Almeria,"1,993",22.1,7.0,1.0,65.0,1.0,,Almeria
,Ortega,es ESP,DF,22,22,0.0,0.0,2002-2003,f535d7c6,Almeria,"1,911",21.2,11.0,2.0,65.0,1.0,4575.0,Almeria
,José Ortiz Bernal,es ESP,"FW,MF",31,17,1.0,5.0,2002-2003,60393076,Almeria,"1,558",17.3,3.0,1.0,65.0,1.0,4576.0,Almeria
,Armindo Rubio,,,26,16,1.0,0.0,2002-2003,,Almeria,"1,564",17.4,9.0,0.0,65.0,,,Almeria
,Luna,es ESP,FW,16,15,3.0,6.0,2002-2003,73d5190d,Almeria,"1,308",14.5,7.0,1.0,65.0,1.0,4577.0,Almeria
,Juan Jesús Cabrera Rubio,es ESP,MF,23,14,1.0,2.0,2002-2003,325095d8,Almeria,"1,211",13.5,4.0,0.0,65.0,1.0,4578.0,Almeria
,José Ángel Ferrera,es ESP,,11,9,0.0,0.0,2002-2003,2d9e5d0d,Almeria,823,9.1,4.0,0.0,65.0,1.0,,Almeria
,Rubén Falcón,es ESP,GK,8,8,0.0,0.0,2002-2003,bf651b09,Almeria,720,8.0,0.0,0.0,65.0,1.0,,Almeria
,Jorge Pérez Sáenz,es ESP,MF,23,7,1.0,0.0,2002-2003,70355cf3,Almeria,915,10.2,0.0,0.0,65.0,1.0,4579.0,Almeria
,Javi Peña,es ESP,FW,14,6,0.0,1.0,2002-2003,6c3c4e78,Almeria,510,5.7,1.0,0.0,65.0,1.0,4580.0,Almeria
,Javi Ruiz,es ESP,GK,5,5,0.0,0.0,2002-2003,d0f6344a,Almeria,450,5.0,1.0,0.0,65.0,1.0,4581.0,Almeria
,Honorio Gallego,,,17,4,0.0,0.0,2002-2003,,Almeria,650,7.2,0.0,0.0,65.0,,,Almeria
,Jose Larrosa,,,9,3,0.0,0.0,2002-2003,,Almeria,476,5.3,3.0,0.0,65.0,,,Almeria
,Patri,es ESP,MF,5,2,1.0,1.0,2002-2003,5281c162,Almeria,187,2.1,0.0,0.0,65.0,1.0,4582.0,Almeria
,Derteano Aiert,,,1,0,0.0,0.0,2002-2003,,Almeria,18,0.2,0.0,0.0,65.0,,,Almeria
,Pedro Benitez,,,1,0,0.0,0.0,2002-2003,,Almeria,11,0.1,1.0,0.0,65.0,,,Almeria
,﻿Francisco,es ESP,FW,39,39,2.0,16.0,2003-2004,20ba95,Almeria,"3,375",37.5,3.0,0.0,65.0,1.0,,Almeria
,Jaime Ramos,es ESP,MF,36,36,1.0,0.0,2003-2004,0efbd49c,Almeria,"3,006",33.4,15.0,2.0,65.0,1.0,,Almeria
,César Jiménez,es ESP,DF,30,30,2.0,3.0,2003-2004,fc6342b,Almeria,"2,685",29.8,5.0,1.0,65.0,1.0,,Almeria
,Carlos David Cano,es ESP,GK,29,29,0.0,0.0,2003-2004,c7f63f13,Almeria,"2,610",29.0,2.0,0.0,65.0,1.0,,Almeria
,Jorge Pérez Sáenz,es ESP,MF,40,29,2.0,4.0,2003-2004,70355cf3,Almeria,"2,543",28.3,4.0,0.0,65.0,1.0,4579.0,Almeria
,Stéphane Pignol,fr FRA,DF,29,25,2.0,1.0,2003-2004,ca3ae27c,Almeria,"2,369",26.3,7.0,1.0,65.0,4.0,,Almeria
,Constantin Gâlcă,ro ROU,MF,24,24,3.0,0.0,2003-2004,624ddea0,Almeria,"2,048",22.8,4.0,0.0,65.0,51.0,,Almeria
,José Ángel Ferrera,es ESP,,25,24,1.0,0.0,2003-2004,2d9e5d0d,Almeria,"1,949",21.7,3.0,0.0,65.0,1.0,,Almeria
,P Ortiz,,,27,22,1.0,1.0,2003-2004,,Almeria,"1,910",21.2,6.0,0.0,65.0,,,Almeria
,Luna,es ESP,FW,28,21,5.0,5.0,2003-2004,73d5190d,Almeria,"1,933",21.5,8.0,1.0,65.0,1.0,4577.0,Almeria
,Juan Cervián,es ESP,DF,25,21,1.0,1.0,2003-2004,5cc15685,Almeria,"1,919",21.3,5.0,0.0,65.0,1.0,4569.0,Almeria
,Ortega,es ESP,DF,20,18,0.0,0.0,2003-2004,f535d7c6,Almeria,"1,628",18.1,3.0,0.0,65.0,1.0,4575.0,Almeria
,Víctor Salas,es ESP,MF,20,18,0.0,3.0,2003-2004,67c31cb7,Almeria,"1,579",17.5,5.0,0.0,65.0,1.0,,Almeria
,José Ortiz Bernal,es ESP,"FW,MF",35,16,3.0,3.0,2003-2004,60393076,Almeria,"1,717",19.1,6.0,0.0,65.0,1.0,4576.0,Almeria
,Juan Lago,,,17,16,0.0,1.0,2003-2004,,Almeria,"1,408",15.6,7.0,1.0,65.0,,,Almeria
,Esteban,es ESP,MF,19,16,0.0,1.0,2003-2004,17d532aa,Almeria,"1,313",14.6,4.0,0.0,65.0,1.0,4572.0,Almeria
,Raúl Lozano Marcos,es ESP,MF,25,15,1.0,1.0,2003-2004,4cb14b26,Almeria,"1,215",13.5,6.0,0.0,65.0,1.0,4583.0,Almeria
,Joaquín Valerio,es ESP,GK,13,13,0.0,0.0,2003-2004,5969d90a,Almeria,"1,170",13.0,1.0,0.0,65.0,1.0,4584.0,Almeria
,Nicolas Sahnoun,fr FRA,MF,15,11,2.0,1.0,2003-2004,f1742e9a,Almeria,904,10.0,5.0,0.0,65.0,4.0,4585.0,Almeria
,Bravo,es ESP,DF,8,7,0.0,0.0,2003-2004,2fcd97a4,Almeria,635,7.1,1.0,0.0,65.0,1.0,,Almeria
,Juan Jesús Cabrera Rubio,es ESP,MF,9,6,0.0,1.0,2003-2004,325095d8,Almeria,417,4.6,0.0,1.0,65.0,1.0,4578.0,Almeria
,Miguel Ángel Benítez,py PAR,FW,9,5,1.0,1.0,2003-2004,292572b,Almeria,506,5.6,2.0,1.0,65.0,43.0,4586.0,Almeria
,Joaquín Sorribas,es ESP,MF,14,4,0.0,0.0,2003-2004,d3b37f79,Almeria,543,6.0,2.0,0.0,65.0,1.0,4573.0,Almeria
,Renato,br BRA,DF,6,4,0.0,0.0,2003-2004,6738f4c1,Almeria,445,4.9,0.0,0.0,65.0,2.0,4587.0,Almeria
,Gallego Honorio,,,14,3,1.0,0.0,2003-2004,,Almeria,509,5.7,5.0,0.0,65.0,,,Almeria
,Jean-Louis Valois,fr FRA,MF,8,3,0.0,0.0,2003-2004,c1905b04,Almeria,240,2.7,4.0,1.0,65.0,4.0,4588.0,Almeria
,Juanlu,es ESP,MF,7,2,0.0,1.0,2003-2004,94b88487,Almeria,258,2.9,0.0,0.0,65.0,1.0,,Almeria
,Olivares,es ESP,DF,3,2,0.0,0.0,2003-2004,438fb313,Almeria,144,1.6,1.0,0.0,65.0,1.0,4568.0,Almeria
,Marcelinho Paulista,br BRA,MF,3,2,0.0,1.0,2003-2004,099068ab,Almeria,137,1.5,1.0,1.0,65.0,2.0,4589.0,Almeria
,Ferenc Horváth,hu HUN,FW,5,1,0.0,0.0,2003-2004,2df4b5c5,Almeria,150,1.7,0.0,0.0,65.0,87.0,4590.0,Almeria
,Jose Sorroche,,,1,0,0.0,0.0,2003-2004,,Almeria,17,0.2,0.0,0.0,65.0,,,Almeria
,Jesus Francis,,,1,0,0.0,0.0,2003-2004,,Almeria,10,0.1,0.0,0.0,65.0,,,Almeria
,﻿Joaquín Valerio,es ESP,GK,37,36,0.0,0.0,2004-2005,5969d90a,Almeria,"3,229",35.9,1.0,1.0,65.0,1.0,4584.0,Almeria
,Constantin Gâlcă,ro ROU,MF,34,33,6.0,2.0,2004-2005,624ddea0,Almeria,"2,904",32.3,10.0,2.0,65.0,51.0,,Almeria
,Ibán Espadas,es ESP,FW,37,32,5.0,5.0,2004-2005,1e764654,Almeria,"2,641",29.3,4.0,0.0,65.0,1.0,,Almeria
,Miguel Ángel Soria,es ESP,DF,31,30,1.0,1.0,2004-2005,22ab6697,Almeria,"2,651",29.5,4.0,0.0,65.0,1.0,4591.0,Almeria
