2021-2022,Amiens
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Régis Gurtner,fr FRA,GK,38,38,0,0,"3,375",37.5,0,0,/en/players/bc270726/Regis-Gurtner,bc270726,Regis-Gurt
Arnaud Lusamba,cd COD,MF,36,32,4,3,"2,803",31.1,6,0,/en/players/54131505/Arnaud-Lusamba,54131505,Arnaud-Lusamb
Formose Mendy,sn SEN,DF,31,30,0,1,"2,652",29.5,3,0,/en/players/c21983bf/Formose-Mendy,c21983bf,Formose-Mend
Mamadou Fofana,ml MLI,DF,32,29,1,0,"2,612",29.0,3,0,/en/players/4c4ffacc/Mamadou-Fofana,4c4ffacc,Mamadou-Fof
Mateo Pavlović,ba BIH,DF,25,24,0,2,"2,160",24.0,9,0,/en/players/450e277f/Mateo-Pavlovic,450e277f,Mateo-Pavlovic
Aliou Badji,sn SEN,FW,26,23,3,13,"1,812",20.1,5,0,/en/players/6ddb0c15/Aliou-Badji,6ddb0c15,Aliou-Badji
Emmanuel Lomotey,gh GHA,"MF,DF",29,22,0,0,"1,958",21.8,10,2,/en/players/184ea16a/Emmanuel-Lomotey,184ea16a,Emmanuel-Lomot
Abdoul Kader Bamba,fr FRA,"MF,FW",28,22,7,2,"1,805",20.1,5,1,/en/players/32f3d97e/Abdoul-Kader-Bamba,32f3d97e,Abdoul-Kader-Bamb
Jessy Bénet,fr FRA,MF,30,21,2,0,"1,850",20.6,2,0,/en/players/6278e149/Jessy-Benet,6278e149,Jessy-Benet
Toluwalas Arokodare,ng NGA,FW,35,20,2,8,"1,883",20.9,2,1,/en/players/a42760bc/Toluwalas-Arokodare,42760bc,Toluwalas-Arokod
Harouna Sy,fr FRA,"MF,DF",24,20,1,0,"1,727",19.2,2,0,/en/players/f5860baf/Harouna-Sy,f5860baf,Harouna-S
Owen Géne,fr FRA,MF,20,18,2,0,"1,544",17.2,5,1,/en/players/bfff2337/Owen-Gene,bfff2337,Owen-G
Chadrac Akolo,cd COD,"FW,MF",33,17,0,6,"1,602",17.8,2,0,/en/players/debc2f28/Chadrac-Akolo,debc2f28,Chadrac-Akolo
Matthéo Xantippe,fr FRA,"MF,DF",20,16,4,0,"1,447",16.1,3,0,/en/players/22e77212/Mattheo-Xantippe,22e77212,Mattheo-Xanti
Mathis Lachuer,fr FRA,"MF,DF",30,16,1,0,"1,419",15.8,4,0,/en/players/8ee3cdec/Mathis-Lachuer,8ee3cdec,Mathis-Lachu
Mickaël Alphonse,gp GLP,"DF,MF",16,15,1,1,"1,355",15.1,2,0,/en/players/0a63446f/Mickael-Alphonse,0a63446f,Mickael-Alpho
Bongani Zungu,za RSA,"MF,DF",13,10,0,0,856,9.5,6,2,/en/players/a8797cf1/Bongani-Zungu,8797cf1,Bongani-Zungu
Eddy Gnahoré,fr FRA,MF,14,10,1,2,821,9.1,0,0,/en/players/a0434482/Eddy-Gnahore,0434482,Eddy-Gnaho
Iron Gomis,fr FRA,MF,19,5,0,0,521,5.8,1,0,/en/players/1d50130f/Iron-Gomis,1d50130f,Iron-Gomi
Jack Lahne,se SWE,FW,10,5,0,2,413,4.6,0,0,/en/players/07f73a4f/Jack-Lahne,07f73a4f,Jack-Lah
Adama Diakhaby,fr FRA,"FW,MF",12,4,0,0,475,5.3,1,0,/en/players/65585e3a/Adama-Diakhaby,65585e3a,Adama-Diakhab
Nicholas Opoku,gh GHA,DF,8,4,0,0,415,4.6,0,0,/en/players/b871bf55/Nicholas-Opoku,b871bf55,Nicholas-Opoku
Mathieu Dossevi,tg TOG,MF,8,4,0,0,299,3.3,0,0,/en/players/6421dd73/Mathieu-Dossevi,6421dd73,Mathieu-Dossevi
Jayson Papeau,fr FRA,MF,5,3,0,1,242,2.7,1,0,/en/players/98537eda/Jayson-Papeau,98537eda,Jayson-Papeau
Mamadou Fofana,fr FRA,MF,16,2,0,0,360,4.0,1,0,/en/players/8a26baed/Mamadou-Fofana,8a26baed,Mamadou-Fof
Amadou Ciss,sn SEN,MF,9,2,2,0,281,3.1,0,0,/en/players/531a4839/Amadou-Ciss,531a4839,Amadou-Ci
Ahmed Mandefu,fr FRA,MF,2,2,0,0,180,2.0,1,0,/en/players/01e29b61/Ahmed-Mandefu,01e29b61,Ahmed-Mandefu
Nathan Monzango,fr FRA,DF,2,2,0,0,180,2.0,0,0,/en/players/a040ed6f/Nathan-Monzango,040ed6f,Nathan-Monzango
Gaoussou Traoré,ml MLI,MF,4,1,1,0,96,1.1,0,0,/en/players/42e8eba2/Gaoussou-Traore,42e8eba2,Gaoussou-Trao
Valentin Gendrey,fr FRA,DF,1,1,0,0,90,1.0,0,0,/en/players/822ed0ec/Valentin-Gendrey,822ed0ec,Valentin-Gend
Charbel Gomez,bj BEN,FW,5,0,0,0,112,1.2,0,0,/en/players/8f5d873a/Charbel-Gomez,8f5d873a,Charbel-Gomez
Yohann Thuram-Ulien,fr FRA,GK,1,0,0,0,45,0.5,0,0,/en/players/d3e78488/Yohann-Thuram-Ulien,d3e78488,Yohann-Thuram-Uli
Mustapha Sangaré,sn SEN,FW,5,0,0,1,32,0.4,1,0,/en/players/65b93cce/Mustapha-Sangare,65b93cce,Mustapha-Sang
Youssouf Assogba,bj BEN,DF,0,0,,,,,,,/en/players/1ac639e8/Youssouf-Assogba,1ac639e8,Youssouf-Assogb
Ibrahima Keita,gn GUI,FW,0,0,,,,,,,/en/players/5ba717d6/Ibrahima-Keita,5ba717d6,Ibrahima-Keit
Matthieu Rongier,fr FRA,GK,0,0,,,,,,,/en/players/040c8d7b/Matthieu-Rongier,040c8d7b,Matthieu-Rongi
