2008-2009,Ancona
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Simone Rizzato,it ITA,MF,41,41,1,1,"3,690",41.0,6,0,/en/players/7111521e/Simone-Rizzato,7111521e,Simone-Rizzato
Salvatore Mastronunzio,it ITA,FW,41,41,4,17,"3,538",39.3,5,0,/en/players/c1af9e89/Salvatore-Mastronunzio,c1af9e89,Salvatore-Mastronunzio
Edoardo Catinali,it ITA,MF,38,38,1,0,"3,233",35.9,7,1,/en/players/220249d0/Edoardo-Catinali,220249d0,Edoardo-Catinali
Andrea De Falco,it ITA,MF,35,31,3,3,"2,857",31.7,8,0,/en/players/631ff021/Andrea-De-Falco,631ff021,Andrea-De-Falco
Alberto Comazzi,it ITA,DF,30,30,0,0,"2,629",29.2,11,0,/en/players/0e99149a/Alberto-Comazzi,0e99149a,Alberto-Comazzi
Marco Turati,it ITA,DF,29,28,0,5,"2,299",25.5,2,1,/en/players/ee60cb4e/Marco-Turati,60cb4e,Marco-Turati
Angelo da Costa Júnior,br BRA,GK,27,27,0,0,"2,430",27.0,3,0,/en/players/18736214/Angelo-da-Costa-Junior,18736214,Angelo-da-Costa-Junio
Richard Vanigli,it ITA,DF,25,25,0,1,"2,130",23.7,2,1,/en/players/9a8a1615/Richard-Vanigli,9a8a1615,Richard-Vanigli
Juan Surraco,uy URU,MF,33,21,3,2,"1,824",20.3,3,0,/en/players/220870f9/Juan-Surraco,220870f9,Juan-Surraco
Maurizio Nassi,it ITA,FW,22,20,3,10,"1,762",19.6,3,0,/en/players/5f8d75b5/Maurizio-Nassi,5f8d75b5,Maurizio-Nassi
Matías Miramontes,ar ARG,MF,31,20,4,3,"1,688",18.8,4,0,/en/players/ed998d0c/Matias-Miramontes,d998d0c,Matias-Miramont
Rincón,br BRA,DF,27,16,0,1,"1,691",18.8,5,2,/en/players/5d668fb7/Rincon,5d668fb7,Rinco
Cristiano Camillucci,it ITA,MF,20,16,0,0,"1,406",15.6,5,1,/en/players/d0e00ece/Cristiano-Camillucci,d0e00ece,Cristiano-Camillucci
Salvatore Sirigu,it ITA,GK,15,15,0,0,"1,350",15.0,0,0,/en/players/10dc46f0/Salvatore-Sirigu,10dc46f0,Salvatore-Sirigu
Stefano Olivieri,it ITA,DF,16,15,0,2,"1,292",14.4,4,0,/en/players/6df1cf82/Stefano-Olivieri,6df1cf82,Stefano-Olivieri
Danilo Soddimo,it ITA,MF,26,14,1,3,"1,413",15.7,5,0,/en/players/098139eb/Danilo-Soddimo,098139eb,Danilo-Soddimo
Pasquale Schiattarella,it ITA,MF,22,14,2,0,"1,153",12.8,3,1,/en/players/bd84fc61/Pasquale-Schiattarella,bd84fc61,Pasquale-Schiatt
Guilherme Siqueira,br BRA,"DF,MF",24,13,1,1,"1,149",12.8,3,0,/en/players/3770a135/Guilherme-Siqueira,3770a135,Guilherme-Siquei
Roberto Colacone,it ITA,FW,27,9,2,2,"1,029",11.4,5,0,/en/players/ad8829ad/Roberto-Colacone,d8829ad,Roberto-Colaco
Giovanni Langella,,,11,8,0,0,799,8.9,3,0,No detected,,
Fabio Di,,,12,8,0,0,734,8.2,0,0,No detected,,
Maurizio Anastasi,it ITA,MF,8,6,0,0,478,5.3,3,0,/en/players/90d38410/Maurizio-Anastasi,90d38410,Maurizio-Anastasi
Anderson,br BRA,MF,6,3,0,0,297,3.3,2,0,/en/players/d8a9c776/Anderson,d8a9c776,Anderso
Mirko Guadalupi,it ITA,MF,4,2,0,0,138,1.5,0,0,/en/players/26cabbb3/Mirko-Guadalupi,26cabbb3,Mirko-Guadalupi
Matías Masiero,uy URU,MF,3,1,0,0,184,2.0,0,0,/en/players/95413ecd/Matias-Masiero,95413ecd,Matias-Masiero
Umberto Eusepi,it ITA,FW,12,0,0,1,244,2.7,0,0,/en/players/210cc9c3/Umberto-Eusepi,210cc9c3,Umberto-Eusepi
Ivan Piccoli,it ITA,MF,1,0,0,0,45,0.5,0,0,/en/players/504654f9/Ivan-Piccoli,504654f9,Ivan-Piccoli
Dario Arcuri,,,1,0,0,0,28,0.3,0,0,No detected,,
