2010-2011,Arles-Avignon
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Camel Meriem,fr FRA,MF,32,31,5,2,"2,476",27.5,1,0,/en/players/ebef883d/Camel-Meriem,bef883d,Camel-Meriem
Franck Dja Djédjé,ci CIV,"FW,MF",34,30,1,4,"2,469",27.4,2,0,/en/players/59feef54/Franck-Dja-Djedje,59feef54,Franck-Dja-Djedj
Francisco Pavón,es ESP,DF,26,26,0,0,"2,293",25.5,3,0,/en/players/a222a596/Francisco-Pavon,222a596,Francisco-Pavo
Fabien Laurenti,fr FRA,DF,26,26,0,0,"2,095",23.3,3,1,/en/players/787dfe87/Fabien-Laurenti,787dfe87,Fabien-Laurenti
Deme N'Diaye,sn SEN,"FW,MF",33,25,1,2,"2,331",25.9,2,0,/en/players/688f28e5/Deme-NDiaye,688f28e5,Deme-NDi
Bakary Soro,bf BFA,DF,28,24,0,0,"2,232",24.8,5,1,/en/players/a01aa12f/Bakary-Soro,01aa12f,Bakary-Soro
Jamel Aït Ben Idir,ma MAR,MF,25,21,0,0,"1,849",20.5,3,1,/en/players/ef242ad4/Jamel-Ait-Ben-Idir,f242ad4,Jamel-Ait-Ben-Idi
Yann Kermorgant,fr FRA,FW,26,20,2,3,"1,909",21.2,6,0,/en/players/0172d6cc/Yann-Kermorgant,0172d6cc,Yann-Kermorgant
Thomas Ayasse,fr FRA,MF,23,19,1,0,"1,683",18.7,3,0,/en/players/aca9ef32/Thomas-Ayasse,ca9ef32,Thomas-A
Cyrille Merville,fr FRA,GK,19,19,0,0,"1,681",18.7,0,0,/en/players/5e398b4b/Cyrille-Merville,5e398b4b,Cyrille-Mervi
Vincent Planté,fr FRA,GK,18,17,0,0,"1,559",17.3,2,0,/en/players/0108f81e/Vincent-Plante,0108f81e,Vincent-Plant
Gaël Germany,mq MTQ,"DF,MF",19,16,1,1,"1,530",17.0,2,0,/en/players/b30697be/Gael-Germany,b30697be,Gael-Germ
Jean-Alain Fanchone,fr FRA,DF,21,16,0,0,"1,421",15.8,4,0,/en/players/e462b2e1/Jean-Alain-Fanchone,462b2e1,Jean-Alain-Fancho
Sébastien Piocelle,fr FRA,MF,19,15,0,0,"1,297",14.4,4,1,/en/players/58aea39f/Sebastien-Piocelle,58aea39f,Sebastien-Pioc
Romain Rocchi,fr FRA,MF,17,13,0,0,"1,251",13.9,2,0,/en/players/62f07cc1/Romain-Rocchi,62f07cc1,Romain-Rocchi
Bobo Baldé,gn GUI,DF,13,13,0,0,"1,035",11.5,6,2,/en/players/60c76531/Bobo-Balde,60c76531,Bobo-Bald
Álvaro Mejía,es ESP,DF,12,12,0,0,"1,014",11.3,2,0,/en/players/dd3f6a54/Alvaro-Mejia,dd3f6a54,Alvaro-Meji
Grégory Lorenzi,fr FRA,DF,12,12,0,0,992,11.0,2,1,/en/players/29e1675d/Gregory-Lorenzi,29e1675d,Gregory-Lorenzi
Kamel Ghilas,dz ALG,FW,19,11,2,2,946,10.5,2,0,/en/players/7b144fc2/Kamel-Ghilas,7b144fc2,Kamel-Ghi
Kaba Diawara,gn GUI,FW,20,10,1,3,942,10.5,1,0,/en/players/7bafc1d6/Kaba-Diawara,7bafc1d6,Kaba-Diaw
Loïc Abenzoar,fr FRA,DF,12,10,0,0,732,8.1,2,0,/en/players/d5246edc/Loic-Abenzoar,d5246edc,Loic-Abenzo
Amin Erbati,ma MAR,"DF,MF",8,8,1,0,687,7.6,3,0,/en/players/caa384b1/Amin-Erbati,caa384b1,Amin-Erbati
Rémy Cabella,fr FRA,"FW,MF",17,5,0,3,681,7.6,2,0,/en/players/148e136f/Remy-Cabella,148e136f,Remy-Cab
Emmanuel Corrèze,fr FRA,"DF,MF",8,4,0,0,396,4.4,3,1,/en/players/1e29bc5c/Emmanuel-Correze,1e29bc5c,Emmanuel-Correz
Benjamin Psaume,fr FRA,"FW,MF",14,3,1,0,497,5.5,2,0,/en/players/5c4db221/Benjamin-Psaume,5c4db221,Benjamin-Psaum
Hameur Bouazza,dz ALG,"FW,MF",9,3,1,1,352,3.9,1,0,/en/players/baca4d08/Hameur-Bouazza,baca4d08,Hameur-Bouazz
Angelos Charisteas,gr GRE,FW,6,3,0,0,326,3.6,0,0,/en/players/676f422b/Angelos-Charisteas,676f422b,Angelos-Charist
Angelos Basinas,gr GRE,MF,4,3,0,0,206,2.3,0,0,/en/players/0d9168da/Angelos-Basinas,0d9168da,Angelos-Basi
Naby Yattara,gn GUI,GK,2,2,0,0,180,2.0,1,0,/en/players/a0e59bc0/Naby-Yattara,0e59bc0,Naby-Yatt
Chafik Najih,fr FRA,"FW,MF",2,1,0,0,97,1.1,0,0,/en/players/8689b67a/Chafik-Najih,8689b67a,Chafik-Najih
Johnathan,br BRA,FW,3,0,0,0,32,0.4,1,0,/en/players/ee7f06e8/Johnathan,7f06e8,Johnath
Clément Martinez,fr FRA,MF,1,0,0,0,17,0.2,0,0,/en/players/6579c79c/Clement-Martinez,6579c79c,Clement-Martinez
Rachid Aliaoui,fr FRA,MF,1,0,0,0,6,0.1,0,0,/en/players/599c10fe/Rachid-Aliaoui,599c10fe,Rachid-Aliaoui
Anthony Guise,fr FRA,FW,1,0,0,0,6,0.1,0,0,/en/players/6da2fc35/Anthony-Guise,6da2fc35,Anthony-Gui
