Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
0,﻿Cyrille Merville,/en/players/5e398b4b/Cyrille-Merville,5e398b4b,Cyrille-Mervi,fr FRA,GK,Arles-Avignon
1,Romain Reynaud,/en/players/1ea417ce/Romain-Reynaud,1ea417ce,Romain-Reynaud,fr FRA,DF,Arles-Avignon
2,Thomas Ayasse,/en/players/aca9ef32/Thomas-Ayasse,ca9ef32,Thomas-A,fr FRA,MF,Arles-Avignon
3,Sébastien Piocelle,/en/players/58aea39f/Sebastien-Piocelle,58aea39f,Sebastien-Pioc,fr FRA,MF,Arles-Avignon
4,Romain Élie,/en/players/4db46f11/Romain-Elie,4db46f11,Romain-Eli,fr FRA,DF,Arles-Avignon
5,Deme N'Diaye,/en/players/688f28e5/Deme-NDiaye,688f28e5,Deme-NDi,sn SEN,"FW,MF",Arles-Avignon
6,Marvin Esor,/en/players/79648a4e/Marvin-Esor,79648a4e,Marvin-Eso,fr FRA,DF,Arles-Avignon
7,Maurice Dalé,/en/players/7e916030/Maurice-Dale,7e916030,Maurice-D,fr FRA,FW,Arles-Avignon
8,André Ayew,/en/players/5dbefa9d/Andre-Ayew,5dbefa9d,Andre-Ayew,gh GHA,"FW,MF",Arles-Avignon
9,Jean-Christophe Vergerolle,/en/players/91cab2fa/Jean-Christophe-Vergerolle,91cab2fa,Jean-Christophe-Vergero,fr FRA,DF,Arles-Avignon
10,Bakary Soro,/en/players/a01aa12f/Bakary-Soro,01aa12f,Bakary-Soro,bf BFA,DF,Arles-Avignon
11,Kaba Diawara,/en/players/7bafc1d6/Kaba-Diawara,7bafc1d6,Kaba-Diaw,gn GUI,FW,Arles-Avignon
12,Emmanuel Corrèze,/en/players/1e29bc5c/Emmanuel-Correze,1e29bc5c,Emmanuel-Correz,fr FRA,"DF,MF",Arles-Avignon
13,Ali Mathlouthi,/en/players/73c7afb4/Ali-Mathlouthi,73c7afb4,Ali-Mathlouthi,tn TUN,FW,Arles-Avignon
14,Jean-Charles Cirilli,/en/players/8ab27f35/Jean-Charles-Cirilli,8ab27f35,Jean-Charles-Cirilli,fr FRA,DF,Arles-Avignon
15,Kali,/en/players/9c3724e0/Kali,9c3724e0,Kali,ao ANG,DF,Arles-Avignon
16,Abdelmalek Cherrad,/en/players/f9905b7a/Abdelmalek-Cherrad,f9905b7a,Abdelmalek-Cherrad,dz ALG,FW,Arles-Avignon
17,Gaël Germany,/en/players/b30697be/Gael-Germany,b30697be,Gael-Germ,mq MTQ,"DF,MF",Arles-Avignon
18,Ludovic Liron,/en/players/79bef70b/Ludovic-Liron,79bef70b,Ludovic-Liro,fr FRA,DF,Arles-Avignon
19,Driss Himmes,/en/players/87ac288f/Driss-Himmes,87ac288f,Driss-Himm,fr FRA,MF,Arles-Avignon
