2015-2016,Arminia
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Wolfgang Hesl,de GER,GK,33,33,0,0,"2,970",33.0,0,0,/en/players/3e36e512/Wolfgang-Hesl,3e36e512,Wolfgang-H
Julian Börner,de GER,DF,31,31,0,2,"2,790",31.0,3,0,/en/players/a354cc49/Julian-Borner,354cc49,Julian-Bo
Florian Dick,de GER,DF,32,31,3,2,"2,709",30.1,5,0,/en/players/d012eb0c/Florian-Dick,d012eb0c,Florian-Dick
Fabian Klos,de GER,FW,32,30,5,12,"2,727",30.3,6,0,/en/players/e21042ae/Fabian-Klos,21042ae,Fabian-Klo
Sebastian Schuppan,de GER,DF,33,29,0,0,"2,549",28.3,4,0,/en/players/928efff0/Sebastian-Schuppan,928efff0,Sebastian-Schu
Christopher Nöthe,de GER,"MF,FW",30,29,5,7,"2,517",28.0,3,0,/en/players/33289d50/Christopher-Nothe,33289d50,Christopher-Noth
Brian Behrendt,de GER,"MF,DF",28,28,1,2,"2,421",26.9,8,2,/en/players/b1a21aca/Brian-Behrendt,b1a21aca,Brian-Behrendt
Stephan Salger,de GER,"DF,MF",26,26,0,1,"2,245",24.9,9,0,/en/players/c19c335b/Stephan-Salger,c19c335b,Stephan-Salg
Christoph Hemlein,de GER,MF,30,25,2,1,"2,127",23.6,4,0,/en/players/83aea392/Christoph-Hemlein,83aea392,Christoph-Hemlei
Manuel Junglas,de GER,MF,26,23,1,0,"2,073",23.0,5,0,/en/players/446afd10/Manuel-Junglas,446afd10,Manuel-Jung
Tom Schütz,de GER,MF,24,21,0,1,"1,882",20.9,3,1,/en/players/bfef3f30/Tom-Schutz,bfef3f30,Tom-Schutz
David Ulm,fr FRA,MF,27,14,2,5,"1,336",14.8,1,0,/en/players/d7247a69/David-Ulm,d7247a69,David-Ulm
Michael Görlitz,de GER,"MF,DF",23,10,1,3,"1,057",11.7,1,0,/en/players/34f57c65/Michael-Gorlitz,34f57c65,Michael-Gorlitz
Felix Burmeister,de GER,"DF,MF",14,10,0,1,982,10.9,3,0,/en/players/351a7dad/Felix-Burmeister,351a7dad,Felix-Burmeist
Francisco Rodríguez Araya,ch SUI,MF,9,8,1,0,562,6.2,1,0,/en/players/ebca86ca/Francisco-Rodriguez-Araya,bca86ca,Francisco-Rodriguez-A
Ryu Seung-woo,kr KOR,"MF,FW",10,6,1,0,517,5.7,0,0,/en/players/7e4d311a/Ryu-Seung-woo,7e4d311a,Ryu-Seung-woo
Manuel Hornig,de GER,DF,10,6,0,0,516,5.7,2,1,/en/players/0f3e8075/Manuel-Hornig,0f3e8075,Manuel-Hornig
Christian Müller,de GER,"MF,FW",8,6,1,0,500,5.6,1,0,/en/players/4d7e4ee3/Christian-Muller,4d7e4ee3,Christian-Mu
Andreas Voglsammer,de GER,"FW,MF",9,3,2,0,269,3.0,0,0,/en/players/daa78200/Andreas-Voglsammer,daa78200,Andreas-Voglsamm
Dennis Mast,de GER,MF,9,2,0,0,256,2.8,1,0,/en/players/a0f03cec/Dennis-Mast,0f03cec,Dennis-Mast
Björn Jopek,de GER,MF,4,1,0,0,166,1.8,1,0,/en/players/bd98b32d/Bjorn-Jopek,bd98b32d,Bjorn-Jopek
Daniel Davari,ir IRN,GK,1,1,0,0,90,1.0,0,0,/en/players/5a7cfc96/Daniel-Davari,5a7cfc96,Daniel-Davari
Steven Lang,ch SUI,MF,1,1,0,0,45,0.5,0,0,/en/players/01840001/Steven-Lang,01840001,Steven-Lang
Amin Affane,se SWE,MF,8,0,0,0,190,2.1,0,0,/en/players/a20c0e11/Amin-Affane,20c0e11,Amin-Aff
Koen van der Biezen,nl NED,FW,7,0,0,0,61,0.7,1,0,/en/players/30fad459/Koen-van-der-Biezen,30fad459,Koen-van-der-Biez
Keanu Staude,de GER,MF,1,0,1,0,18,0.2,0,0,/en/players/cdaa73ee/Keanu-Staude,cdaa73ee,Keanu-Staud
Marco Hober,de GER,MF,0,0,,,,,,,/en/players/3badec47/Marco-Hober,3badec47,Marco-Hob
Steffen Lang,de GER,DF,0,0,,,,,,,/en/players/05eaf72c/Steffen-Lang,05eaf72c,Steffen-Lang
Nikolai Rehnen,de GER,GK,0,0,,,,,,,/en/players/055d99e1/Nikolai-Rehnen,055d99e1,Nikolai-Reh
Jonas Strifler,de GER,"DF,MF",0,0,,,,,,,/en/players/356b0382/Jonas-Strifler,356b0382,Jonas-Strif
