2010-2011,Arsenal
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Gaël Clichy,fr FRA,DF,33,33,1,0,"2,970",33.0,3,0,/en/players/450ad405/Gael-Clichy,450ad405,Gael-Clich
Bacary Sagna,fr FRA,DF,33,33,3,1,"2,970",33.0,3,1,/en/players/6ef56efd/Bacary-Sagna,6ef56efd,Bacary-Sag
Jack Wilshere,eng ENG,MF,35,31,3,1,"2,639",29.3,7,1,/en/players/9c318325/Jack-Wilshere,9c318325,Jack-Wilsh
Laurent Koscielny,fr FRA,DF,30,30,0,2,"2,617",29.1,6,2,/en/players/f5efb153/Laurent-Koscielny,f5efb153,Laurent-Kosci
Alex Song,cm CMR,"DF,MF",31,30,2,4,"2,593",28.8,8,1,/en/players/1c32281d/Alex-Song,1c32281d,Alex-Song
Samir Nasri,fr FRA,"FW,MF",30,28,1,10,"2,383",26.5,4,0,/en/players/165bed61/Samir-Nasri,165bed61,Samir-Nasri
Andrey Arshavin,ru RUS,"FW,MF",37,25,11,6,"2,187",24.3,1,0,/en/players/8fd1ea1f/Andrey-Arshavin,8fd1ea1f,Andrey-Arshavi
Cesc Fàbregas,es ESP,"FW,MF",25,22,11,3,"1,880",20.9,5,0,/en/players/33508c78/Cesc-Fabregas,33508c78,Cesc-Fabreg
Sébastien Squillaci,fr FRA,DF,22,20,0,1,"1,820",20.2,1,0,/en/players/f7ec06db/Sebastien-Squillaci,f7ec06db,Sebastien-Squillaci
Johan Djourou,ch SUI,DF,22,20,0,1,"1,794",19.9,3,0,/en/players/b8673e18/Johan-Djourou,b8673e18,Johan-Djourou
Robin van Persie,nl NED,FW,25,19,7,18,"1,770",19.7,4,0,/en/players/3fcab3a8/Robin-van-Persie,3fcab3a8,Robin-van-Persi
Theo Walcott,eng ENG,"FW,MF",28,19,7,9,"1,691",18.8,0,0,/en/players/1ecb65be/Theo-Walcott,1ecb65be,Theo-Walcott
Marouane Chamakh,ma MAR,FW,29,18,4,7,"1,845",20.5,5,0,/en/players/790ca5f3/Marouane-Chamakh,790ca5f3,Marouane-Chamakh
Wojciech Szczęsny,pl POL,GK,15,15,0,0,"1,350",15.0,1,0,/en/players/01b8a2b2/Wojciech-Szczesny,01b8a2b2,Wojciech-Szcz
Łukasz Fabiański,pl POL,GK,14,14,1,0,"1,260",14.0,0,0,/en/players/9328b835/Lukasz-Fabianski,9328b835,Lukasz-Fabianski
Abou Diaby,fr FRA,MF,16,13,3,2,954,10.6,1,1,/en/players/8c8b5071/Abou-Diaby,8c8b5071,Abou-Diab
Tomáš Rosický,cz CZE,MF,21,8,1,0,938,10.4,3,0,/en/players/dbb688e3/Tomas-Rosicky,dbb688e3,Tomas-Rosick
Manuel Almunia,es ESP,GK,8,8,0,0,720,8.0,1,0,/en/players/9f6b2f8c/Manuel-Almunia,9f6b2f8c,Manuel-Almuni
Emmanuel Eboué,ci CIV,"DF,MF",13,8,0,1,707,7.9,4,0,/en/players/1bfae04c/Emmanuel-Eboue,1bfae04c,Emmanuel-Ebou
Denílson,br BRA,MF,16,6,0,0,629,7.0,4,0,/en/players/2f07dee0/Denilson,2f07dee0,Denilso
Thomas Vermaelen,be BEL,DF,5,5,1,0,450,5.0,0,0,/en/players/d0d79694/Thomas-Vermaelen,d0d79694,Thomas-Verm
Aaron Ramsey,wls WAL,MF,7,5,0,1,354,3.9,1,0,/en/players/ef619b0b/Aaron-Ramsey,f619b0b,Aaron-Ram
Kieran Gibbs,eng ENG,"DF,MF",7,4,0,0,348,3.9,1,0,/en/players/46ee5234/Kieran-Gibbs,46ee5234,Kieran-Gibb
Nicklas Bendtner,dk DEN,FW,17,3,1,2,511,5.7,2,0,/en/players/9f9c57f0/Nicklas-Bendtner,9f9c57f0,Nicklas-Bendt
Jens Lehmann,de GER,GK,1,1,0,0,90,1.0,0,0,/en/players/d1ca1129/Jens-Lehmann,d1ca1129,Jens-Lehm
Carlos Vela,mx MEX,"FW,MF",4,0,0,1,65,0.7,0,0,/en/players/e0cd04e0/Carlos-Vela,0cd04e0,Carlos-V
Jay Emmanuel-Thomas,eng ENG,"FW,MF",1,0,0,0,10,0.1,0,0,/en/players/b5f1c3c8/Jay-Emmanuel-Thomas,b5f1c3c8,Jay-Emmanuel-Thom
