2007-2008,Ascoli
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Andrea Soncin,it ITA,FW,40,36,3,18,"3,216",35.7,6,0,/en/players/ad7aef53/Andrea-Soncin,d7aef53,Andrea-Sonci
Marco Bernacci,it ITA,FW,38,36,6,16,"3,135",34.8,11,0,/en/players/065c8dea/Marco-Bernacci,065c8dea,Marco-Bernacci
Stefano Guberti,it ITA,MF,40,34,8,7,"3,036",33.7,2,0,/en/players/0b7287ef/Stefano-Guberti,0b7287ef,Stefano-Guberti
Daniele Di Donato,it ITA,MF,37,34,1,0,"2,983",33.1,8,0,/en/players/1a73f962/Daniele-Di-Donato,1a73f962,Daniele-Di-Donato
Massimo Taibi,it ITA,GK,34,34,0,0,"2,976",33.1,2,2,/en/players/ee9ba025/Massimo-Taibi,9ba025,Massimo-Taibi
Vittorio Micolucci,it ITA,DF,33,32,0,0,"2,889",32.1,6,1,/en/players/65b4dec6/Vittorio-Micolucci,65b4dec6,Vittorio-Micolucci
Simone Pesce,it ITA,MF,35,28,1,4,"2,495",27.7,9,2,/en/players/6b2a7ca3/Simone-Pesce,6b2a7ca3,Simone-Pesc
Antonio Aquilanti,it ITA,DF,27,26,0,0,"2,309",25.7,8,0,/en/players/0077dc9e/Antonio-Aquilanti,0077dc9e,Antonio-Aquilanti
Massimo Melucci,it ITA,,27,26,0,0,"2,275",25.3,6,1,/en/players/67d6babe/Massimo-Melucci,67d6babe,Massimo-Melucci
Andrea Luci,it ITA,MF,33,26,1,0,"2,248",25.0,5,0,/en/players/b050aa68/Andrea-Luci,b050aa68,Andrea-Luci
Thomas Job,cm CMR,MF,33,24,2,3,"2,010",22.3,6,1,/en/players/70142b75/Thomas-Job,70142b75,Thomas-Job
Gabriele Cioffi,it ITA,DF,22,20,1,2,"1,849",20.5,6,1,/en/players/9c9e6d56/Gabriele-Cioffi,9c9e6d56,Gabriele-Cioffi
Vaggelis Nastos,gr GRE,DF,20,18,0,1,"1,663",18.5,2,0,/en/players/f929aced/Vaggelis-Nastos,f929aced,Vaggelis-Nasto
Andrea Giallombardo,it ITA,DF,23,18,0,0,"1,639",18.2,10,0,/en/players/0ae51fb4/Andrea-Giallombardo,0ae51fb4,Andrea-Giallombardo
Luca Belingheri,it ITA,MF,29,15,2,3,"1,462",16.2,4,0,/en/players/55add253/Luca-Belingheri,55add253,Luca-Belingheri
Vincenzo Sommese,it ITA,MF,17,13,5,3,"1,003",11.1,1,1,/en/players/857110b0/Vincenzo-Sommese,857110b0,Vincenzo-Somm
Davide Saverino,it ITA,MF,14,7,2,4,730,8.1,5,0,/en/players/bc63de12/Davide-Saverino,bc63de12,Davide-Saverino
Marco Paoloni,it ITA,GK,9,7,0,0,672,7.5,0,0,/en/players/19e37dd8/Marco-Paoloni,19e37dd8,Marco-Paoloni
Riccardo Maniero,it ITA,FW,20,7,1,1,642,7.1,1,0,/en/players/d231ad99/Riccardo-Maniero,d231ad99,Riccardo-Maniero
Angelo Siniscalchi,it ITA,DF,7,6,0,0,580,6.4,0,0,/en/players/d20f4bc3/Angelo-Siniscalchi,d20f4bc3,Angelo-Siniscalchi
Luis Fernando Centi,it ITA,"FW,MF",8,6,0,0,456,5.1,2,0,/en/players/85347797/Luis-Fernando-Centi,85347797,Luis-Fernando-Centi
Giampietro Perrulli,it ITA,MF,14,2,0,2,301,3.3,2,1,/en/players/f1713560/Giampietro-Perrulli,f1713560,Giampietro-Perrulli
Paolo Foglio,it ITA,DF,2,2,0,0,173,1.9,0,1,/en/players/b49855ab/Paolo-Foglio,b49855ab,Paolo-Foglio
Michelangelo Minieri,it ITA,DF,5,2,0,0,166,1.8,0,0,/en/players/9d0f4262/Michelangelo-Minieri,9d0f4262,Michelangelo-Minieri
Antonio Gaeta,it ITA,FW,8,1,2,0,162,1.8,2,0,/en/players/c2f20938/Antonio-Gaeta,c2f20938,Antonio-Gaet
Nicolás Bremec,uy URU,GK,3,1,0,0,123,1.4,0,0,/en/players/db9613d7/Nicolas-Bremec,db9613d7,Nicolas-Bremec
Giuseppe Bellusci,it ITA,DF,2,1,0,0,104,1.2,0,0,/en/players/7f1c3bca/Giuseppe-Bellusci,7f1c3bca,Giuseppe-Bellusci
Luigi Giorgi,it ITA,MF,3,1,0,0,83,0.9,2,0,/en/players/c2aa89f5/Luigi-Giorgi,c2aa89f5,Luigi-Giorgi
Davide Raffaello,it ITA,MF,1,0,0,0,1,0.0,0,0,/en/players/02810811/Davide-Raffaello,02810811,Davide-Raffaello
