Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Sebastián Cejas,ar ARG,GK,35,35,0.0,1.0,2002-2003,/en/players/ea140a66/Sebastian-Cejas,140a66,Ascoli,"3,150",35.0,5.0,0.0,186,5.0,21327,Ascoli
,Mirko Savini,it ITA,DF,31,31,0.0,0.0,2002-2003,/en/players/c0ce99db/Mirko-Savini,c0ce99db,Ascoli,"2,676",29.7,15.0,0.0,186,9.0,22690,Ascoli
,Salvatore Bruno,it ITA,FW,33,30,3.0,10.0,2002-2003,/en/players/397033b8/Salvatore-Bruno,397033b8,Ascoli,"2,572",28.6,6.0,0.0,186,9.0,20411,Ascoli
,Salvatore Aronica,it ITA,DF,31,28,2.0,0.0,2002-2003,/en/players/a060cd8e/Salvatore-Aronica,060cd8e,Ascoli,"2,505",27.8,9.0,0.0,186,9.0,21497,Ascoli
,Gaetano Fontana,it ITA,MF,29,28,5.0,8.0,2002-2003,/en/players/772a345c/Gaetano-Fontana,772a345c,Ascoli,"2,498",27.8,6.0,0.0,186,9.0,22689,Ascoli
,Cataldo Montesanto,it ITA,MF,28,26,0.0,1.0,2002-2003,/en/players/7cd036ad/Cataldo-Montesanto,7cd036ad,Ascoli,"2,281",25.3,10.0,0.0,186,9.0,22754,Ascoli
,Fabio Di Venanzio,it ITA,,30,25,1.0,0.0,2002-2003,/en/players/5d2f1bb8/Fabio-Di-Venanzio,5d2f1bb8,Ascoli,"2,168",24.1,6.0,1.0,186,9.0,90697,Ascoli
,Massimiliano Tangorra,it ITA,DF,25,24,0.0,2.0,2002-2003,/en/players/b5e3dd7a/Massimiliano-Tangorra,b5e3dd7a,Ascoli,"2,147",23.9,7.0,0.0,186,9.0,22755,Ascoli
,Franco Brienza,it ITA,"FW,MF",30,24,2.0,7.0,2002-2003,/en/players/aff058a4/Franco-Brienza,ff058a4,Ascoli,"2,044",22.7,3.0,0.0,186,9.0,20875,Ascoli
,Davide Tentoni,it ITA,MF,26,23,0.0,1.0,2002-2003,/en/players/50265844/Davide-Tentoni,50265844,Ascoli,"2,109",23.4,2.0,0.0,186,9.0,22756,Ascoli
