2013-2014,Aston-Villa
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Brad Guzan,us USA,GK,38,38,1,0,"3,420",38.0,1,0,/en/players/d899e3bf/Brad-Guzan,d899e3bf,Brad-Guz
Ashley Westwood,eng ENG,MF,35,35,2,3,"3,077",34.2,7,0,/en/players/495945ef/Ashley-Westwood,495945ef,Ashley-Westwood
Fabian Delph,eng ENG,"DF,MF",34,33,2,3,"3,004",33.4,7,0,/en/players/111c3236/Fabian-Delph,111c3236,Fabian-Delph
Ron Vlaar,nl NED,DF,32,32,1,0,"2,803",31.1,4,0,/en/players/366f6f12/Ron-Vlaar,366f6f12,Ron-V
Andreas Weimann,at AUT,"FW,MF",37,31,4,5,"2,649",29.4,1,0,/en/players/5996ffd9/Andreas-Weimann,5996ffd9,Andreas-Weim
Nathan Baker,eng ENG,DF,30,29,0,0,"2,477",27.5,6,0,/en/players/b18af9e3/Nathan-Baker,b18af9e3,Nathan-Bak
Gabby Agbonlahor,eng ENG,"FW,MF",30,29,5,4,"2,441",27.1,7,0,/en/players/db80f5f1/Gabby-Agbonlahor,db80f5f1,Gabby-Agbonlaho
Leandro Bacuna,cw CUW,"DF,MF",35,28,1,5,"2,599",28.9,6,0,/en/players/9dc69d38/Leandro-Bacuna,9dc69d38,Leandro-Bacu
Karim El Ahmadi,ma MAR,MF,31,26,1,2,"2,177",24.2,7,0,/en/players/0ff9eabc/Karim-El-Ahmadi,0ff9eabc,Karim-El-Ahmadi
Christian Benteke,be BEL,FW,26,24,2,10,"2,126",23.6,4,0,/en/players/ab070c55/Christian-Benteke,b070c55,Christian-Bentek
Ciaran Clark,ie IRL,"DF,MF",27,23,0,0,"2,203",24.5,8,0,/en/players/2b91cf8e/Ciaran-Clark,2b91cf8e,Ciaran-Clark
Matthew Lowton,eng ENG,DF,23,18,3,0,"1,663",18.5,4,0,/en/players/9a9c05db/Matthew-Lowton,9a9c05db,Matthew-Lowto
Ryan Bertrand,eng ENG,"DF,MF",16,16,0,0,"1,386",15.4,3,0,/en/players/01226327/Ryan-Bertrand,01226327,Ryan-Bertrand
Antonio Luna,es ESP,DF,17,16,0,1,"1,381",15.3,2,0,/en/players/ed239245/Antonio-Luna,d239245,Antonio-Lu
Marc Albrighton,eng ENG,"DF,MF",19,9,4,0,973,10.8,4,0,/en/players/b827d5b3/Marc-Albrighton,b827d5b3,Marc-Albrighto
Libor Kozák,cz CZE,FW,14,8,0,4,782,8.7,1,0,/en/players/979d0640/Libor-Kozak,979d0640,Libor-Kozak
Aleksandar Tonev,bg BUL,MF,17,6,0,0,601,6.7,0,0,/en/players/c15d1af9/Aleksandar-Tonev,c15d1af9,Aleksandar-Tonev
Yacouba Sylla,ml MLI,MF,11,5,0,0,552,6.1,1,0,/en/players/f121f4b7/Yacouba-Sylla,f121f4b7,Yacouba-S
Grant Holt,eng ENG,FW,10,3,0,1,382,4.2,1,0,/en/players/1b64c1b2/Grant-Holt,1b64c1b2,Grant-Holt
Joe Bennett,eng ENG,"DF,MF",5,3,0,0,243,2.7,2,0,/en/players/dc936144/Joe-Bennett,dc936144,Joe-Bennett
Jordan Bowery,eng ENG,FW,9,2,1,0,239,2.7,0,0,/en/players/8f5a4e15/Jordan-Bowery,8f5a4e15,Jordan-Bow
Chris Herd,au AUS,"DF,MF",2,2,0,0,170,1.9,2,0,/en/players/3d5db1eb/Chris-Herd,3d5db1eb,Chris-Herd
Jores Okore,dk DEN,DF,3,2,0,0,167,1.9,0,0,/en/players/bd7138e5/Jores-Okore,bd7138e5,Jores-Oko
Nicklas Helenius,dk DEN,FW,3,0,0,0,52,0.6,0,0,/en/players/ae3d2f47/Nicklas-Helenius,3d2f47,Nicklas-Heleniu
Callum Robinson,ie IRL,"FW,MF",4,0,0,0,50,0.6,0,0,/en/players/e75750a3/Callum-Robinson,75750a3,Callum-Robinso
Jack Grealish,eng ENG,"FW,MF",1,0,0,0,3,0.0,0,0,/en/players/b0b4fd3e/Jack-Grealish,b0b4fd3e,Jack-Grealish
