2017-2018,Atalanta
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Remo Freuler,ch SUI,MF,35,33,2,5,"3,006",33.4,4,1,/en/players/98d2c2c4/Remo-Freuler,98d2c2c4,Remo-Freu
Bryan Cristante,it ITA,MF,36,33,2,9,"2,824",31.4,4,0,/en/players/16657b95/Bryan-Cristante,16657b95,Bryan-Cristant
Etrit Berisha,al ALB,GK,31,31,0,0,"2,790",31.0,0,0,/en/players/ee833569/Etrit-Berisha,833569,Etrit-Berish
Papu Gómez,ar ARG,"MF,FW",33,31,8,6,"2,750",30.6,2,0,/en/players/6e4df551/Papu-Gomez,6e4df551,Papu-Gomez
Andrea Masiello,it ITA,DF,31,30,0,4,"2,707",30.1,5,0,/en/players/e0314d87/Andrea-Masiello,0314d87,Andrea-Masiello
Marten de Roon,nl NED,MF,34,29,3,3,"2,571",28.6,9,2,/en/players/2a1beb34/Marten-de-Roon,2a1beb34,Marten-de-Roo
Rafael Tolói,it ITA,DF,31,29,2,1,"2,445",27.2,7,2,/en/players/c56dc39e/Rafael-Toloi,c56dc39e,Rafael-Toloi
Hans Hateboer,nl NED,DF,33,26,1,0,"2,398",26.6,3,0,/en/players/3b333ac3/Hans-Hateboer,3b333ac3,Hans-Hatebo
Mattia Caldara,it ITA,DF,24,24,1,3,"2,160",24.0,5,0,/en/players/ac7e640b/Mattia-Caldara,c7e640b,Mattia-Cald
José Luis Palomino,ar ARG,DF,26,22,0,1,"1,979",22.0,3,0,/en/players/921f6058/Jose-Luis-Palomino,921f6058,Jose-Luis-Palomino
Andrea Petagna,it ITA,FW,29,22,5,4,"1,618",18.0,6,0,/en/players/03f946ed/Andrea-Petagna,03f946ed,Andrea-Petag
Josip Iličić,si SVN,"MF,FW",31,21,6,11,"2,002",22.2,3,0,/en/players/68252d6d/Josip-Ilicic,68252d6d,Josip-Ilicic
Leonardo Spinazzola,it ITA,DF,18,17,3,0,"1,503",16.7,1,0,/en/players/3626daea/Leonardo-Spinazzola,3626daea,Leonardo-Spinazzo
Timothy Castagne,be BEL,DF,20,17,1,0,"1,500",16.7,4,0,/en/players/197640fd/Timothy-Castagne,197640fd,Timothy-Castag
Robin Gosens,de GER,DF,21,17,2,1,"1,451",16.1,1,0,/en/players/2d970560/Robin-Gosens,2d970560,Robin-Go
Andreas Cornelius,dk DEN,FW,23,8,1,3,934,10.4,0,0,/en/players/c693347d/Andreas-Cornelius,c693347d,Andreas-Corneliu
Gianluca Mancini,it ITA,DF,11,8,0,1,684,7.6,5,2,/en/players/5aa53281/Gianluca-Mancini,5aa53281,Gianluca-Mancini
Jasmin Kurtić,si SVN,MF,14,7,0,2,662,7.4,2,0,/en/players/144607cc/Jasmin-Kurtic,144607cc,Jasmin-Kurtic
Pierluigi Gollini,it ITA,GK,7,7,0,0,622,6.9,0,0,/en/players/f0f7f62f/Pierluigi-Gollini,f0f7f62f,Pierluigi-Gollini
Musa Barrow,gm GAM,"FW,MF",12,5,1,3,443,4.9,0,0,/en/players/e5bf73f3/Musa-Barrow,5bf73f3,Musa-Barrow
Nicolas Haas,ch SUI,MF,9,1,0,0,171,1.9,0,0,/en/players/fa449bba/Nicolas-Haas,fa449bba,Nicolas-H
Riccardo Orsolini,it ITA,MF,8,0,0,0,125,1.4,0,0,/en/players/e14ec482/Riccardo-Orsolini,14ec482,Riccardo-Orsolini
Alessandro Bastoni,it ITA,DF,4,0,0,0,91,1.0,0,0,/en/players/75b86fb3/Alessandro-Bastoni,75b86fb3,Alessandro-Bastoni
Luca Vido,it ITA,"FW,MF",4,0,0,0,74,0.8,0,0,/en/players/eb0d77a4/Luca-Vido,b0d77a4,Luca-Vido
Francesco Rossi,it ITA,GK,1,0,0,0,8,0.1,0,0,/en/players/7b5f516f/Francesco-Rossi,7b5f516f,Francesco-Rossi
Thomas Bolis,it ITA,MF,0,0,,,,,,,/en/players/4feea41c/Thomas-Bolis,4feea41c,Thomas-Boli
Andrea Colpani,it ITA,MF,0,0,,,,,,,/en/players/6499048c/Andrea-Colpani,6499048c,Andrea-Colpani
Enrico Del Prato,it ITA,"DF,MF",0,0,,,,,,,/en/players/4c6f9258/Enrico-Del-Prato,4c6f9258,Enrico-Del-Prato
Salvatore Elia,it ITA,FW,0,0,,,,,,,/en/players/e9ca1b91/Salvatore-Elia,9ca1b91,Salvatore-Eli
Dejan Kulusevski,se SWE,"FW,MF",0,0,,,,,,,/en/players/df3cda47/Dejan-Kulusevski,df3cda47,Dejan-Kulusevski
Emmanuel Latte Lath,ci CIV,FW,0,0,,,,,,,/en/players/1c9cfad4/Emmanuel-Latte-Lath,1c9cfad4,Emmanuel-Latte-Lath
Filippo Melegoni,it ITA,MF,0,0,,,,,,,/en/players/6604165d/Filippo-Melegoni,6604165d,Filippo-Melegoni
Luca Rizzo,it ITA,MF,0,0,,,,,,,/en/players/a3e4b724/Luca-Rizzo,3e4b724,Luca-Rizzo
João Schmidt,br BRA,MF,0,0,,,,,,,/en/players/3630db1a/Joao-Schmidt,3630db1a,Joao-Schmidt
