Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
0,﻿Massimo Taibi,/en/players/ee9ba025/Massimo-Taibi,9ba025,Massimo-Taibi,it ITA,GK,Atalanta
1,Luciano Zauri,/en/players/96947b99/Luciano-Zauri,96947b99,Luciano-Zauri,it ITA,DF,Atalanta
2,Luigi Sala,/en/players/d447541e/Luigi-Sala,d447541e,Luigi-S,it ITA,DF,Atalanta
3,Damiano Zenoni,/en/players/1ecfa5c5/Damiano-Zenoni,1ecfa5c5,Damiano-Zenoni,it ITA,"DF,MF",Atalanta
4,Ousmane Dabo,/en/players/9af295a5/Ousmane-Dabo,9af295a5,Ousmane-Dabo,fr FRA,MF,Atalanta
5,Daniele Berretta,/en/players/3250af95/Daniele-Berretta,3250af95,Daniele-Berrett,it ITA,MF,Atalanta
6,Cesare Natali,/en/players/fcfbceaf/Cesare-Natali,fcfbceaf,Cesare-Natali,it ITA,DF,Atalanta
7,Cristiano Doni,/en/players/4b6a7e60/Cristiano-Doni,4b6a7e60,Cristiano-Doni,it ITA,MF,Atalanta
8,Fausto Rossini,/en/players/e775840f/Fausto-Rossini,775840f,Fausto-Rossini,it ITA,FW,Atalanta
9,Sebastiano Siviglia,/en/players/d8c086d3/Sebastiano-Siviglia,d8c086d3,Sebastiano-Sivigli,it ITA,DF,Atalanta
10,Paolo Foglio,/en/players/b49855ab/Paolo-Foglio,b49855ab,Paolo-Foglio,it ITA,DF,Atalanta
11,Carmine Gautieri,/en/players/2520e15a/Carmine-Gautieri,2520e15a,Carmine-Gautieri,it ITA,"FW,MF",Atalanta
12,Massimo Carrera,/en/players/8e09a712/Massimo-Carrera,8e09a712,Massimo-C,it ITA,DF,Atalanta
13,Alex Pinardi,/en/players/ddc72e72/Alex-Pinardi,ddc72e72,Alex-Pinardi,it ITA,MF,Atalanta
14,Gianpaolo Bellini,/en/players/77b818ea/Gianpaolo-Bellini,77b818ea,Gianpaolo-Bellini,it ITA,DF,Atalanta
15,Gianni Comandini,/en/players/39a10c25/Gianni-Comandini,39a10c25,Gianni-Comandini,it ITA,FW,Atalanta
16,Paolo Tramezzani,/en/players/4656ccac/Paolo-Tramezzani,4656ccac,Paolo-Tramezzani,it ITA,DF,Atalanta
17,Piá,/en/players/b10cb9ec/Pia,b10cb9ec,Pi,br BRA,"FW,MF",Atalanta
18,Rolando Bianchi,/en/players/11fcbfe7/Rolando-Bianchi,11fcbfe7,Rolando-Bianchi,it ITA,FW,Atalanta
19,Davor Vugrinec,/en/players/9c68e4d2/Davor-Vugrinec,9c68e4d2,Davor-Vugrinec,hr CRO,"FW,MF",Atalanta
20,Fabio Rustico,/en/players/2487b2dd/Fabio-Rustico,2487b2dd,Fabio-Rustico,it ITA,DF,Atalanta
21,Alex Calderoni,/en/players/4449156f/Alex-Calderoni,4449156f,Alex-Calderoni,it ITA,GK,Atalanta
22,Julien Rantier,/en/players/9b5695be/Julien-Rantier,9b5695be,Julien-Ranti,fr FRA,"FW,MF",Atalanta
23,Apostolos Liolidis,/en/players/ba3b418a/Apostolos-Liolidis,ba3b418a,Apostolos-Liolidi,gr GRE,FW,Atalanta
25,Vinicio Espinal,/en/players/2fa8aa4d/Vinicio-Espinal,2fa8aa4d,Vinicio-Espi,do DOM,MF,Atalanta
26,Natale Gonnella,/en/players/0654d766/Natale-Gonnella,0654d766,Natale-Go,it ITA,DF,Atalanta
27,Danilo Zini,/en/players/93a609a8/Danilo-Zini,93a609a8,Danilo-Zini,it ITA,DF,Atalanta
29,Michele Marcolini,/en/players/fefecf08/Michele-Marcolini,fefecf08,Michele-Marcolini,it ITA,MF,Atalanta
30,Stefano Lorenzi,/en/players/68c13467/Stefano-Lorenzi,68c13467,Stefano-Lorenzi,it ITA,DF,Atalanta
31,Antonino Bernardini,/en/players/4da92d8c/Antonino-Bernardini,4da92d8c,Antonino-Bernardini,it ITA,MF,Atalanta
32,Duccio Innocenti,/en/players/0ee3b2d9/Duccio-Innocenti,0ee3b2d9,Duccio-Innocenti,it ITA,DF,Atalanta
33,Riccardo Montolivo,/en/players/b746d309/Riccardo-Montolivo,b746d309,Riccardo-Montolivo,it ITA,MF,Atalanta
34,Vlado Šmit,/en/players/dfb597c4/Vlado-Smit,dfb597c4,Vlado-Smit,rs SRB,DF,Atalanta
