2007-2008,Atletico-Madrid
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Diego Forlán,uy URU,"FW,MF",36,35,1,16,"2,996",33.3,2,0,/en/players/d87d0dfc/Diego-Forlan,d87d0dfc,Diego-Fo
Sergio Agüero,ar ARG,FW,37,35,6,20,"2,933",32.6,9,2,/en/players/4d034881/Sergio-Aguero,4d034881,Sergio-Aguero
Raúl García,es ESP,"FW,MF",35,35,2,3,"2,899",32.2,10,1,/en/players/b418dbd4/Raul-Garcia,b418dbd4,Raul-Garci
Pablo Ibáñez,es ESP,DF,34,34,0,1,"3,060",34.0,13,0,/en/players/23ca89f2/Pablo-Ibanez,23ca89f2,Pablo-Ibanez
Maxi Rodríguez,ar ARG,"FW,MF",35,32,6,8,"2,859",31.8,9,0,/en/players/4f06b1e0/Maxi-Rodriguez,4f06b1e0,Maxi-Rodriguez
Luis Amaranto Perea,co COL,DF,30,30,0,0,"2,605",28.9,15,0,/en/players/ff1988a5/Luis-Amaranto-Perea,ff1988a5,Luis-Amaranto-P
Mariano Pernía,es ESP,DF,29,28,1,1,"2,382",26.5,13,1,/en/players/5f28a2f7/Mariano-Pernia,5f28a2f7,Mariano-Perni
Simão Sabrosa,pt POR,MF,30,25,4,7,"1,870",20.8,2,0,/en/players/76a65612/Simao-Sabrosa,76a65612,Simao-Sabro
Antonio López,es ESP,"DF,MF",24,23,3,1,"2,102",23.4,9,0,/en/players/e55190d5/Antonio-Lopez,55190d5,Antonio-Lopez
Christian Abbiati,it ITA,GK,21,20,0,0,"1,804",20.0,1,0,/en/players/322421c2/Christian-Abbiati,322421c2,Christian-Abbiati
Leo Franco,ar ARG,GK,18,18,0,0,"1,616",18.0,1,0,/en/players/c39a5c6b/Leo-Franco,c39a5c6b,Leo-Franco
Maniche,pt POR,MF,15,15,1,2,"1,335",14.8,5,0,/en/players/0355c8b5/Maniche,0355c8b5,Manich
Fabiano Eller,br BRA,DF,18,14,0,0,"1,282",14.2,4,0,/en/players/ae7246f1/Fabiano-Eller,7246f1,Fabiano-E
Luis García,es ESP,MF,30,12,3,2,"1,270",14.1,1,0,/en/players/a5c8d2b7/Luis-Garcia,5c8d2b7,Luis-Garci
Giourkas Seitaridis,gr GRE,DF,14,12,1,0,"1,112",12.4,5,0,/en/players/2dd41560/Giourkas-Seitaridis,2dd41560,Giourkas-Seitaridi
Cléber Santana,br BRA,MF,23,11,0,0,"1,149",12.8,2,0,/en/players/bed73c6e/Cleber-Santana,bed73c6e,Cleber-Sant
José Antonio Reyes,es ESP,MF,26,10,2,0,"1,146",12.7,5,2,/en/players/19058f02/Jose-Antonio-Reyes,19058f02,Jose-Antonio-R
Ignacio Camacho,es ESP,MF,9,9,0,2,737,8.2,5,0,/en/players/8ed9b33a/Ignacio-Camacho,8ed9b33a,Ignacio-Camacho
Zé Castro,pt POR,DF,8,6,0,0,552,6.1,0,0,/en/players/ea2434db/Ze-Castro,2434db,Ze-Castro
Juan Valera Espín,es ESP,"DF,MF",8,5,0,0,452,5.0,2,1,/en/players/947fa33c/Juan-Valera-Espin,947fa33c,Juan-Valera-Espi
José Manuel Jurado,es ESP,MF,16,3,0,2,427,4.7,0,0,/en/players/71d4e271/Jose-Manuel-Jurado,71d4e271,Jose-Manuel-Jurado
Thiago Motta,it ITA,MF,6,3,0,0,311,3.5,3,0,/en/players/57ef0d97/Thiago-Motta,57ef0d97,Thiago-Mott
Mista,es ESP,FW,6,2,0,0,177,2.0,0,0,/en/players/257c27e2/Mista,257c27e2,Mist
Miguel de las Cuevas,es ESP,MF,12,1,0,0,265,2.9,1,0,/en/players/2e1cf3d2/Miguel-de-las-Cuevas,2e1cf3d2,Miguel-de-las-Cuev
Joshua Zapata,es ESP,MF,1,0,,0,17,0.2,0,0,/en/players/2f1ba921/Joshua-Zapata,2f1ba921,Joshua-Zapat
