Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿José Mari,es ESP,FW,31,29,1.0,6.0,2002-2003,/en/players/b56835b1/Jose-Mari,b56835b1,Atletico-Madrid,"2,402",26.7,13.0,1.0,48,1.0,1404,Atletico-Madrid
,Fernando Torres,es ESP,FW,29,28,2.0,13.0,2002-2003,/en/players/bdf7b97d/Fernando-Torres,bdf7b97d,Atletico-Madrid,"2,357",26.2,6.0,1.0,48,1.0,2122,Atletico-Madrid
,Cosmin Contra,ro ROU,"DF,MF",31,27,7.0,0.0,2002-2003,/en/players/9bdc0e80/Cosmin-Contra,9bdc0e80,Atletico-Madrid,"2,463",27.4,13.0,1.0,48,51.0,2123,Atletico-Madrid
,Fabricio Coloccini,ar ARG,"DF,MF",27,27,1.0,0.0,2002-2003,/en/players/78b3399f/Fabricio-Coloccini,78b3399f,Atletico-Madrid,"2,430",27.0,8.0,0.0,48,5.0,394,Atletico-Madrid
,Sergi Barjuán,es ESP,DF,27,27,0.0,0.0,2002-2003,/en/players/906a398c/Sergi-Barjuan,906a398c,Atletico-Madrid,"2,404",26.7,11.0,0.0,48,1.0,2124,Atletico-Madrid
,Demetrio Albertini,it ITA,"FW,MF",28,26,6.0,2.0,2002-2003,/en/players/91a9535a/Demetrio-Albertini,91a9535a,Atletico-Madrid,"2,253",25.0,10.0,1.0,48,9.0,1093,Atletico-Madrid
,Emerson,br BRA,MF,29,26,3.0,2.0,2002-2003,/en/players/7b167dbb/Emerson,7b167dbb,Atletico-Madrid,"2,096",23.3,10.0,1.0,48,2.0,2125,Atletico-Madrid
,Luis García,es ESP,MF,30,26,3.0,9.0,2002-2003,/en/players/a5c8d2b7/Luis-Garcia,5c8d2b7,Atletico-Madrid,"1,907",21.2,3.0,1.0,48,1.0,1076,Atletico-Madrid
,Mirsad Hibić,ba BIH,DF,28,25,0.0,1.0,2002-2003,/en/players/35bfc1b5/Mirsad-Hibic,35bfc1b5,Atletico-Madrid,"2,344",26.0,7.0,0.0,48,49.0,2126,Atletico-Madrid
,Esteban,es ESP,GK,23,23,0.0,0.0,2002-2003,/en/players/e4fc2638/Esteban,4fc2638,Atletico-Madrid,"2,041",22.7,0.0,1.0,48,1.0,673,Atletico-Madrid
,José García Calvo,es ESP,DF,22,21,0.0,2.0,2002-2003,/en/players/c79150ab/Jose-Garcia-Calvo,c79150ab,Atletico-Madrid,"1,817",20.2,3.0,1.0,48,1.0,2127,Atletico-Madrid
,Carlos Aguilera,es ESP,DF,28,19,0.0,1.0,2002-2003,/en/players/1bb900d7/Carlos-Aguilera,1bb900d7,Atletico-Madrid,"1,673",18.6,6.0,0.0,48,1.0,2128,Atletico-Madrid
,José María Movilla,es ESP,MF,33,17,2.0,1.0,2002-2003,/en/players/1ac170a8/Jose-Maria-Movilla,1ac170a8,Atletico-Madrid,"1,841",20.5,4.0,0.0,48,1.0,2129,Atletico-Madrid
,Jorge Otero,es ESP,DF,16,15,0.0,1.0,2002-2003,/en/players/b2f887d4/Jorge-Otero,b2f887d4,Atletico-Madrid,"1,098",12.2,4.0,1.0,48,1.0,2130,Atletico-Madrid
,Germán Burgos,ar ARG,GK,14,13,0.0,0.0,2002-2003,/en/players/53028dd9/German-Burgos,53028dd9,Atletico-Madrid,"1,199",13.3,1.0,0.0,48,5.0,2131,Atletico-Madrid
,Txomin Nagore,es ESP,MF,15,13,1.0,0.0,2002-2003,/en/players/41a60718/Txomin-Nagore,41a60718,Atletico-Madrid,"1,009",11.2,5.0,1.0,48,1.0,655,Atletico-Madrid
,Fernando Correa,uy URU,FW,20,12,1.0,4.0,2002-2003,/en/players/9c2c5331/Fernando-Correa,9c2c5331,Atletico-Madrid,"1,003",11.1,5.0,0.0,48,8.0,1566,Atletico-Madrid
,Jorge Larena,es ESP,MF,28,10,0.0,1.0,2002-2003,/en/players/3de25195/Jorge-Larena,3de25195,Atletico-Madrid,"1,295",14.4,7.0,0.0,48,1.0,668,Atletico-Madrid
,Jovan Stanković,rs SRB,MF,18,9,8.0,0.0,2002-2003,/en/players/6985b8f9/Jovan-Stankovic,6985b8f9,Atletico-Madrid,"1,057",11.7,5.0,0.0,48,28.0,1572,Atletico-Madrid
,Javi Moreno,es ESP,FW,24,8,2.0,5.0,2002-2003,/en/players/64497d05/Javi-Moreno,64497d05,Atletico-Madrid,"1,125",12.5,2.0,0.0,48,1.0,2132,Atletico-Madrid
,Santi,es ESP,DF,8,7,0.0,1.0,2002-2003,/en/players/98eab2b3/Santi,98eab2b3,Atletico-Madrid,653,7.3,0.0,0.0,48,1.0,2133,Atletico-Madrid
,Lluís Carreras,es ESP,DF,8,7,0.0,0.0,2002-2003,/en/players/4e1b59cf/Lluis-Carreras,4e1b59cf,Atletico-Madrid,503,5.6,6.0,0.0,48,1.0,2134,Atletico-Madrid
,Juanma,es ESP,GK,2,2,0.0,0.0,2002-2003,/en/players/943f79f6/Juanma,943f79f6,Atletico-Madrid,180,2.0,0.0,0.0,48,1.0,2135,Atletico-Madrid
,Dani,pt POR,"FW,MF",8,1,0.0,0.0,2002-2003,/en/players/8215fbee/Dani,8215fbee,Atletico-Madrid,269,3.0,0.0,0.0,48,3.0,2136,Atletico-Madrid
,Armando Álvarez,es ESP,DF,1,0,,0.0,2002-2003,/en/players/a28ae3ef/Armando-Alvarez,28ae3ef,Atletico-Madrid,14,0.2,0.0,0.0,48,1.0,2137,Atletico-Madrid
,﻿Fernando Torres,es ESP,FW,35,35,3.0,19.0,2003-2004,/en/players/bdf7b97d/Fernando-Torres,bdf7b97d,Atletico-Madrid,"2,980",33.1,11.0,1.0,48,1.0,2122,Atletico-Madrid
,Matías Lequi,ar ARG,DF,34,34,0.0,2.0,2003-2004,/en/players/dd0c806c/Matias-Lequi,dd0c806c,Atletico-Madrid,"3,060",34.0,9.0,0.0,48,5.0,665,Atletico-Madrid
,Sergi Barjuán,es ESP,DF,32,32,0.0,0.0,2003-2004,/en/players/906a398c/Sergi-Barjuan,906a398c,Atletico-Madrid,"2,734",30.4,12.0,1.0,48,1.0,2124,Atletico-Madrid
,Gonzalo de los Santos,uy URU,MF,32,30,1.0,3.0,2003-2004,/en/players/1855302a/Gonzalo-de-los-Santos,1855302a,Atletico-Madrid,"2,676",29.7,16.0,0.0,48,8.0,871,Atletico-Madrid
,Gaspar,es ESP,DF,27,26,0.0,0.0,2003-2004,/en/players/75e5329b/Gaspar,75e5329b,Atletico-Madrid,"2,384",26.5,10.0,0.0,48,1.0,2138,Atletico-Madrid
,Ariel Ibagaza,ar ARG,MF,30,26,11.0,2.0,2003-2004,/en/players/bd513ca4/Ariel-Ibagaza,bd513ca4,Atletico-Madrid,"2,373",26.4,4.0,0.0,48,5.0,1545,Atletico-Madrid
,Álvaro Novo,es ESP,MF,32,23,3.0,1.0,2003-2004,/en/players/e2b88098/Alvaro-Novo,2b88098,Atletico-Madrid,"2,178",24.2,5.0,1.0,48,1.0,230,Atletico-Madrid
