2019-2020,Augsburg
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Rani Khedira,de GER,MF,32,32,2,0,"2,649",29.4,8,0,/en/players/59e4b92e/Rani-Khedira,59e4b92e,Rani-Khedi
Florian Niederlechner,de GER,"FW,MF",33,31,6,13,"2,720",30.2,1,0,/en/players/d6862409/Florian-Niederlechner,d6862409,Florian-Niederlech
Philipp Max,de GER,"DF,MF",31,31,6,8,"2,706",30.1,5,0,/en/players/826e8b63/Philipp-Max,826e8b63,Philipp-Max
Tin Jedvaj,hr CRO,DF,31,30,0,2,"2,638",29.3,6,0,/en/players/f820504e/Tin-Jedvaj,f820504e,Tin-Jedvaj
Ruben Vargas,ch SUI,MF,33,29,1,6,"2,530",28.1,8,0,/en/players/6ecbddf6/Ruben-Vargas,6ecbddf6,Ruben-Varg
Marco Richter,de GER,MF,31,26,3,4,"2,280",25.3,2,0,/en/players/f972644c/Marco-Richter,f972644c,Marco-Richt
Tomáš Koubek,cz CZE,GK,24,24,0,0,"2,160",24.0,2,0,/en/players/dc366c36/Tomas-Koubek,dc366c36,Tomas-Koubek
Daniel Baier,de GER,MF,23,22,0,1,"1,941",21.6,6,0,/en/players/f261abcb/Daniel-Baier,f261abcb,Daniel-Bai
Ohis Felix Uduokhai,de GER,DF,26,21,0,0,"1,966",21.8,3,0,/en/players/677da306/Ohis-Felix-Uduokhai,677da306,Ohis-Felix-Uduokhai
Jeffrey Gouweleeuw,nl NED,DF,21,18,1,0,"1,645",18.3,5,0,/en/players/1025db8e/Jeffrey-Gouweleeuw,1025db8e,Jeffrey-Gouweleeuw
Stephan Lichtsteiner,ch SUI,DF,20,17,1,0,"1,343",14.9,5,1,/en/players/99b1d0e6/Stephan-Lichtsteiner,99b1d0e6,Stephan-Lichtstei
Raphael Framberger,de GER,DF,18,12,2,0,"1,175",13.1,3,0,/en/players/626fab5f/Raphael-Framberger,626fab5f,Raphael-Framberg
Alfreð Finnbogason,is ISL,FW,21,10,1,3,966,10.7,1,0,/en/players/f9e7c4ac/Alfred-Finnbogason,f9e7c4ac,Alfred-Finnbogaso
Andreas Luthe,de GER,GK,10,10,0,0,900,10.0,0,0,/en/players/7fe12375/Andreas-Luthe,7fe12375,Andreas-Luth
Carlos Gruezo,ec ECU,MF,11,10,1,0,886,9.8,3,0,/en/players/f2dd9a21/Carlos-Gruezo,f2dd9a21,Carlos-Gruezo
André Hahn,de GER,MF,15,8,0,1,702,7.8,6,1,/en/players/cd82452e/Andre-Hahn,cd82452e,Andre-Hah
Iago,br BRA,"DF,MF",10,7,1,1,674,7.5,0,0,/en/players/054849d2/Iago,054849d2,Iago
Eduard Löwen,de GER,MF,16,7,1,2,671,7.5,0,0,/en/players/70678132/Eduard-Lowen,70678132,Eduard-Low
Fredrik Jensen,fi FIN,"MF,FW",10,5,0,1,457,5.1,0,0,/en/players/3eeb80e0/Fredrik-Jensen,3eeb80e0,Fredrik-J
Jan Morávek,cz CZE,MF,11,4,1,0,474,5.3,1,0,/en/players/e7d22eae/Jan-Moravek,7d22eae,Jan-Moravek
Marek Suchý,cz CZE,DF,7,4,0,0,397,4.4,1,0,/en/players/c5224618/Marek-Suchy,c5224618,Marek-Such
Noah Joel Sarenren Bazee,ng NGA,MF,10,4,0,1,381,4.2,1,0,/en/players/fbbc8e15/Noah-Joel-Sarenren-Bazee,fbbc8e15,Noah-Joel-Sarenren-Baz
Sergio Córdova,ve VEN,FW,16,4,1,2,367,4.1,0,0,/en/players/229cd98a/Sergio-Cordova,229cd98a,Sergio-Cordov
Michael Gregoritsch,at AUT,"MF,FW",6,4,0,0,303,3.4,0,0,/en/players/8e235926/Michael-Gregoritsch,8e235926,Michael-Gregoritsch
Reece Oxford,eng ENG,MF,12,2,0,0,375,4.2,0,0,/en/players/8b6e0db2/Reece-Oxford,8b6e0db2,Reece-Oxford
Georg Teigl,at AUT,"DF,MF",3,1,0,0,111,1.2,0,0,/en/players/c8cfb04d/Georg-Teigl,c8cfb04d,Georg-Teig
Mads Pedersen,dk DEN,DF,2,1,1,0,96,1.1,0,0,/en/players/582a5247/Mads-Pedersen,582a5247,Mads-Ped
Julian Schieber,de GER,FW,2,0,0,0,43,0.5,1,0,/en/players/37c213cf/Julian-Schieber,37c213cf,Julian-Schieb
Fabian Giefer,de GER,GK,0,0,,,,,,,/en/players/fbefefdb/Fabian-Giefer,fbefefdb,Fabian-Gief
Felix Götze,de GER,"DF,MF",0,0,,,,,,,/en/players/ee7cdd0c/Felix-Gotze,7cdd0c,Felix-Gotz
Benjamin Leneis,de GER,GK,0,0,,,,,,,/en/players/302faefb/Benjamin-Leneis,302faefb,Benjamin-Lenei
Maurice Malone,de GER,"FW,MF",0,0,,,,,,,/en/players/0674ebf1/Maurice-Malone,0674ebf1,Maurice-Malo
Tim Rieder,de GER,"DF,MF",0,0,,,,,,,/en/players/8f63e400/Tim-Rieder,8f63e400,Tim-Ried
Stefano Russo,de GER,"DF,MF",0,0,,,,,,,/en/players/8667b551/Stefano-Russo,8667b551,Stefano-Russo
Jozo Stanić,hr CRO,DF,0,0,,,,,,,/en/players/597ff9d3/Jozo-Stanic,597ff9d3,Jozo-Stanic
