2008-2009,Auxerre
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Stéphane Grichting,ch SUI,DF,37,37,0,0,"3,330",37.0,7,0,/en/players/cdcd5c92/Stephane-Grichting,cdcd5c92,Stephane-Grichting
Cédric Hengbart,fr FRA,DF,36,36,0,2,"3,240",36.0,3,0,/en/players/317110a9/Cedric-Hengbart,317110a9,Cedric-Hengbart
Thomas Kahlenberg,dk DEN,MF,34,32,6,5,"2,845",31.6,3,1,/en/players/a8cbbc88/Thomas-Kahlenberg,8cbbc88,Thomas-Kahlenberg
Jean-Pascal Mignot,fr FRA,DF,31,31,1,0,"2,790",31.0,10,0,/en/players/9226e027/Jean-Pascal-Mignot,9226e027,Jean-Pascal-Mignot
Adama Coulibaly,ml MLI,"DF,MF",30,30,0,1,"2,700",30.0,0,0,/en/players/0168069e/Adama-Coulibaly,0168069e,Adama-Coulib
Benoît Pedretti,fr FRA,MF,30,30,5,1,"2,700",30.0,6,0,/en/players/c1c8eff9/Benoit-Pedretti,c1c8eff9,Benoit-Pedretti
Moussa Narry,gh GHA,MF,31,27,0,0,"2,368",26.3,5,0,/en/players/91daae3f/Moussa-Narry,91daae3f,Moussa-N
Kamel Chafni,ma MAR,MF,27,25,1,1,"2,164",24.0,3,0,/en/players/8e78de2d/Kamel-Chafni,8e78de2d,Kamel-Chafni
Ireneusz Jeleń,pl POL,"FW,MF",26,25,0,14,"2,062",22.9,1,0,/en/players/a7cef949/Ireneusz-Jelen,7cef949,Ireneusz-J
Dariusz Dudka,pl POL,"DF,MF",28,23,1,1,"2,083",23.1,3,0,/en/players/afe5aff7/Dariusz-Dudka,fe5aff7,Dariusz-Dudk
Rémy Riou,fr FRA,GK,20,20,0,0,"1,800",20.0,1,0,/en/players/7f41ee30/Remy-Riou,7f41ee30,Remy-Riou
Kevin Lejeune,fr FRA,"DF,MF",29,20,2,2,"1,768",19.6,2,0,/en/players/b90b6b66/Kevin-Lejeune,b90b6b66,Kevin-Lejeu
Olivier Sorin,fr FRA,GK,18,18,0,0,"1,620",18.0,0,0,/en/players/56d43c27/Olivier-Sorin,56d43c27,Olivier-Sori
Dennis Oliech,ke KEN,FW,30,16,1,2,"1,483",16.5,2,0,/en/players/9cee06da/Dennis-Oliech,9cee06da,Dennis-Oliech
Daniel Niculae,ro ROU,FW,32,14,1,0,"1,527",17.0,2,0,/en/players/54fd8051/Daniel-Niculae,54fd8051,Daniel-Nicu
Valter Birsa,si SVN,"FW,MF",15,11,0,1,895,9.9,2,0,/en/players/455a2b79/Valter-Birsa,455a2b79,Valter-Bi
Julien Quercia,fr FRA,"FW,MF",13,11,0,3,846,9.4,1,0,/en/players/3ab6b24e/Julien-Quercia,3ab6b24e,Julien-Querci
Jérémy Berthod,fr FRA,DF,8,6,1,1,515,5.7,1,0,/en/players/25e4a7a1/Jeremy-Berthod,25e4a7a1,Jeremy-Berthod
Steeven Langil,fr FRA,"FW,MF",13,3,0,0,382,4.2,0,0,/en/players/5086c324/Steeven-Langil,5086c324,Steeven-Langi
Lynel Kitambala,fr FRA,FW,8,2,1,0,306,3.4,0,0,/en/players/68fd876f/Lynel-Kitambala,68fd876f,Lynel-Kitamb
Delvin N'Dinga,cg CGO,MF,3,1,0,0,112,1.2,0,0,/en/players/aff4fe9a/Delvin-NDinga,ff4fe9a,Delvin-NDing
Maxime Jasse,fr FRA,DF,5,0,0,0,25,0.3,0,0,/en/players/3c2d7170/Maxime-Jasse,3c2d7170,Maxime-J
Alain Traoré,bf BFA,"FW,MF",3,0,0,0,21,0.2,0,0,/en/players/8c7ae73d/Alain-Traore,8c7ae73d,Alain-Trao
Amadou Sidibé,ml MLI,"DF,MF",1,0,0,0,13,0.1,0,0,/en/players/a55ca282/Amadou-Sidibe,55ca282,Amadou-Sidib
Issa Ba,sn SEN,MF,1,0,0,0,8,0.1,0,0,/en/players/6ea27c87/Issa-Ba,6ea27c87,Issa-B
Maurice Dalé,fr FRA,FW,1,0,0,0,3,0.0,0,0,/en/players/7e916030/Maurice-Dale,7e916030,Maurice-D
