2003-2004,Barcelona
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Phillip Cocu,nl NED,"DF,FW",36,36,2,5,"3,129",34.8,5,2,/en/players/75522231/Phillip-Cocu,75522231,Phillip-Cocu
Xavi,es ESP,MF,36,34,9,4,"3,014",33.5,3,0,/en/players/c1b4188c/Xavi,c1b4188c,Xavi
Giovanni van Bronckhorst,nl NED,"DF,MF",34,34,2,0,"3,007",33.4,6,0,/en/players/7e4e7dea/Giovanni-van-Bronckhorst,7e4e7dea,Giovanni-van-Bronckhorst
Víctor Valdés,es ESP,GK,33,33,0,0,"2,914",32.4,4,0,/en/players/e029e404/Victor-Valdes,029e404,Victor-Vald
Ronaldinho,br BRA,"FW,MF",32,32,5,15,"2,677",29.7,10,1,/en/players/34edcab0/Ronaldinho,34edcab0,Ronaldinho
Michael Reiziger,nl NED,DF,30,29,1,0,"2,488",27.6,6,0,/en/players/6e75ab56/Michael-Reiziger,6e75ab56,Michael-Reizig
Javier Saviola,ar ARG,FW,33,28,5,14,"2,274",25.3,5,0,/en/players/de544fdb/Javier-Saviola,de544fdb,Javier-Savio
Carles Puyol,es ESP,DF,27,27,0,0,"2,338",26.0,9,1,/en/players/7c0bda9b/Carles-Puyol,7c0bda9b,Carles-Puyo
Luis Enrique,es ESP,"FW,MF",25,23,2,3,"1,659",18.4,2,1,/en/players/b9407435/Luis-Enrique,b9407435,Luis-Enriqu
Luis García,es ESP,MF,25,23,7,4,"1,659",18.4,1,0,/en/players/a5c8d2b7/Luis-Garcia,5c8d2b7,Luis-Garci
Edgar Davids,nl NED,MF,18,18,0,1,"1,468",16.3,6,1,/en/players/19d5e43e/Edgar-Davids,19d5e43e,Edgar-David
Oleguer Presas,es ESP,DF,18,17,,0,"1,558",17.3,3,0,/en/players/6c4f4e07/Oleguer-Presas,6c4f4e07,Oleguer-P
Rafael Márquez,mx MEX,"DF,MF",22,17,0,1,"1,388",15.4,5,1,/en/players/ce067ffe/Rafael-Marquez,ce067ffe,Rafael-Marquez
Thiago Motta,it ITA,MF,20,13,1,1,"1,020",11.3,10,3,/en/players/57ef0d97/Thiago-Motta,57ef0d97,Thiago-Mott
Gabri García,es ESP,"DF,MF",16,12,0,1,"1,082",12.0,6,1,/en/players/ed94a7aa/Gabri-Garcia,d94a7aa,Gabri-Garci
Patrick Kluivert,nl NED,FW,21,11,2,8,"1,287",14.3,2,0,/en/players/6c3b0583/Patrick-Kluivert,6c3b0583,Patrick-Kluivert
Gerard López,es ESP,MF,19,11,0,1,"1,232",13.7,8,1,/en/players/403b0279/Gerard-Lopez,403b0279,Gerard-Lopez
Ricardo Quaresma,pt POR,"FW,MF",22,10,1,1,"1,000",11.1,6,1,/en/players/6b6d252d/Ricardo-Quaresma,6b6d252d,Ricardo-Quaresm
Marc Overmars,nl NED,"FW,MF",20,5,1,1,799,8.9,0,0,/en/players/c9cc6332/Marc-Overmars,c9cc6332,Marc-Overm
Andrés Iniesta,es ESP,MF,11,5,2,1,498,5.5,0,0,/en/players/cfd65a29/Andres-Iniesta,cfd65a29,Andres-Iniest
Rüştü Reçber,tr TUR,GK,4,3,0,0,326,3.6,0,0,/en/players/7a09afda/Rustu-Recber,7a09afda,Rustu-Recb
Óscar López,es ESP,DF,6,2,1,0,311,3.5,1,0,/en/players/14ae8df8/Oscar-Lopez,14ae8df8,Oscar-Lopez
Patrik Andersson,se SWE,DF,4,2,0,0,208,2.3,0,0,/en/players/95749f23/Patrik-Andersson,95749f23,Patrik-Andersso
Sergio García,es ESP,"FW,MF",4,2,1,0,206,2.3,0,0,/en/players/2bee98fd/Sergio-Garcia,2bee98fd,Sergio-Garci
Albert Jorquera,es ESP,GK,2,2,0,0,180,2.0,0,0,/en/players/4b0184a5/Albert-Jorquera,4b0184a5,Albert-Jorqu
Sergio Santamaría,es ESP,"FW,MF",4,1,0,0,146,1.6,0,0,/en/players/4795800e/Sergio-Santamaria,4795800e,Sergio-Santamari
Mario,es ESP,DF,1,1,0,0,90,1.0,0,0,/en/players/e6ede7f4/Mario,6ede7f4,Mario
Ramón Ros,es ESP,MF,1,0,0,0,6,0.1,0,0,/en/players/0ad2ce10/Ramon-Ros,0ad2ce10,Ramon-Ro
