2013-2014,Bari
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Enrico Guarna,it ITA,GK,41,41,0,0,"3,690",41.0,4,0,/en/players/a092abf5/Enrico-Guarna,092abf5,Enrico-Gu
Marco Calderoni,it ITA,"DF,MF",40,39,2,3,"3,355",37.3,7,1,/en/players/652811aa/Marco-Calderoni,652811aa,Marco-Calderoni
Luca Ceppitelli,it ITA,DF,38,38,0,6,"3,420",38.0,11,1,/en/players/7d50454d/Luca-Ceppitelli,7d50454d,Luca-Ceppitelli
Daniele Sciaudone,it ITA,MF,39,38,5,4,"3,329",37.0,13,0,/en/players/8c461a21/Daniele-Sciaudone,8c461a21,Daniele-Sciaudo
Cristian Galano,it ITA,"FW,MF",41,37,10,11,"3,030",33.7,4,0,/en/players/7e2eff7a/Cristian-Galano,7e2eff7a,Cristian-Galano
Marino Defendi,it ITA,MF,36,36,3,5,"3,163",35.1,8,1,/en/players/87ae0c78/Marino-Defendi,87ae0c78,Marino-Defendi
Stefano Sabelli,it ITA,DF,37,34,1,0,"2,923",32.5,7,0,/en/players/0ccac09c/Stefano-Sabelli,0ccac09c,Stefano-Sabelli
João Silva,pt POR,FW,40,30,1,6,"2,862",31.8,5,0,/en/players/3eb8f912/Joao-Silva,3eb8f912,Joao-Silv
Diego Polenta,uy URU,"DF,MF",30,27,0,3,"2,502",27.8,7,1,/en/players/ae992d63/Diego-Polenta,992d63,Diego-Polent
Marco Romizi,it ITA,MF,29,20,0,2,"1,725",19.2,8,1,/en/players/b53bd1a7/Marco-Romizi,b53bd1a7,Marco-Romizi
Marco Chiosa,it ITA,DF,25,19,0,0,"1,789",19.9,4,0,/en/players/fc959a88/Marco-Chiosa,fc959a88,Marco-Chio
Marco Fossati,it ITA,MF,23,16,2,0,"1,440",16.0,10,1,/en/players/39bec070/Marco-Fossati,39bec070,Marco-Fossati
Richard Lugo,py PAR,"FW,MF",20,12,0,1,917,10.2,1,1,/en/players/c78b2741/Richard-Lugo,c78b2741,Richard-Lugo
Francesco Fedato,it ITA,FW,14,11,1,2,972,10.8,5,0,/en/players/645e7e69/Francesco-Fedato,645e7e69,Francesco-Fedato
Stefano Beltrame,it ITA,"FW,MF",23,11,2,1,956,10.6,3,0,/en/players/b50a9c75/Stefano-Beltrame,b50a9c75,Stefano-Beltram
Gennaro Delvecchio,it ITA,MF,14,8,0,1,889,9.9,2,1,/en/players/8aa604d1/Gennaro-Delvecchio,8aa604d1,Gennaro-Delvecchio
Andrea De Falco,it ITA,MF,11,8,0,0,749,8.3,3,0,/en/players/631ff021/Andrea-De-Falco,631ff021,Andrea-De-Falco
Enis Nadarević,ba BIH,MF,10,8,3,1,707,7.9,2,1,/en/players/ca695e60/Enis-Nadarevic,ca695e60,Enis-Nadarevic
Richard Samnick,fr FRA,DF,8,8,0,0,595,6.6,0,0,/en/players/0fbd0677/Richard-Samnick,0fbd0677,Richard-Samnick
Damiano Zanon,it ITA,DF,11,4,0,0,522,5.8,0,1,/en/players/3f0adc44/Damiano-Zanon,3f0adc44,Damiano-Zano
Edgar Çani,al ALB,FW,14,4,0,3,446,5.0,2,0,/en/players/7e1be926/Edgar-Cani,7e1be926,Edgar-Cani
Matías Alonso,uy URU,FW,7,4,1,0,421,4.7,0,0,/en/players/2f83d9b2/Matias-Alonso,2f83d9b2,Matias-Alonso
Ignacio Lores,uy URU,"DF,FW",8,3,1,0,346,3.8,0,0,/en/players/48b662da/Ignacio-Lores,48b662da,Ignacio-Lo
Diego Albadoro,it ITA,FW,2,2,0,0,159,1.8,0,0,/en/players/0b8e5467/Diego-Albadoro,0b8e5467,Diego-Albadoro
Errico Altobello,,,2,2,0,0,107,1.2,1,0,No detected,,
Alessandro Marotta,it ITA,FW,9,1,0,1,266,3.0,2,0,/en/players/50472373/Alessandro-Marotta,50472373,Alessandro-Marott
Alexandru Pena,ro ROU,GK,1,1,0,0,90,1.0,0,0,/en/players/f97ddc68/Alexandru-Pena,f97ddc68,Alexandru-P
Giuseppe Statella,it ITA,MF,3,0,0,1,32,0.4,0,0,/en/players/fa802600/Giuseppe-Statella,fa802600,Giuseppe-Stat
Vito Leonetti,it ITA,FW,2,0,0,0,21,0.2,0,0,/en/players/dbc08599/Vito-Leonetti,dbc08599,Vito-Leonetti
Dimitrios Vosnakidis,gr GRE,DF,1,0,0,0,1,0.0,0,0,/en/players/d95406b4/Dimitrios-Vosnakidis,d95406b4,Dimitrios-Vosnakidi
