Id,Player,Link,Player_name,Player_id,Nationality,Position,club
23223.0,Antonio Bellavista,/en/players/d71fe506/Antonio-Bellavista,Antonio-Bellavist,d71fe506,it ITA,MF,Bari
23224.0,Rachid Neqrouz,/en/players/9f6ea567/Rachid-Neqrouz,Rachid-Neqrouz,9f6ea567,ma MAR,DF,Bari
23225.0,Nicola Mora,/en/players/99c52d51/Nicola-Mora,Nicola-Mo,99c52d51,it ITA,DF,Bari
23226.0,Diego Markic,/en/players/478145d8/Diego-Markic,Diego-Markic,478145d8,ar ARG,"FW,MF",Bari
23227.0,Lionel Pizzinat,/en/players/12afd9e9/Lionel-Pizzinat,Lionel-Pizzinat,12afd9e9,ch SUI,MF,Bari
23228.0,Mattia Collauto,/en/players/e4bca0cd/Mattia-Collauto,Mattia-Collauto,4bca0cd,it ITA,MF,Bari
23229.0,Graziano Battistini,/en/players/3369b4a4/Graziano-Battistini,Graziano-Battistini,3369b4a4,it ITA,GK,Bari
23230.0,Giuseppe Ingrosso,/en/players/fcec8102/Giuseppe-Ingrosso,Giuseppe-Ingrosso,fcec8102,it ITA,DF,Bari
23231.0,Alex von Schwedler,/en/players/12b4dc64/Alex-von-Schwedler,Alex-von-Schwed,12b4dc64,cl CHI,DF,Bari
23232.0,Antonio La Fortezza,/en/players/8bec6062/Antonio-La-Fortezza,Antonio-La-Fortezz,8bec6062,it ITA,MF,Bari
23233.0,Marco Candrina,/en/players/1f213e16/Marco-Candrina,Marco-Candri,1f213e16,it ITA,DF,Bari
23234.0,Alessandro Armenise,/en/players/8a1d585e/Alessandro-Armenise,Alessandro-Armeni,8a1d585e,it ITA,DF,Bari
23235.0,Lorenzo Sibilano,/en/players/1ae9ebbb/Lorenzo-Sibilano,Lorenzo-Sibilano,1ae9ebbb,it ITA,DF,Bari
23236.0,Giuseppe Mazzarelli,/en/players/42de46d6/Giuseppe-Mazzarelli,Giuseppe-Mazzarelli,42de46d6,ch SUI,DF,Bari
23237.0,Raphael Chukwu,/en/players/15938ecc/Raphael-Chukwu,Raphael-Chukwu,15938ecc,ng NGA,FW,Bari
23238.0,Óscar Ayala,/en/players/d67fb974/Oscar-Ayala,Oscar-A,d67fb974,py PAR,DF,Bari
23239.0,Marcelo Lipatín,/en/players/a541d06a/Marcelo-Lipatin,Marcelo-Lipati,541d06a,uy URU,FW,Bari
23240.0,Vincenzo Santoruvo,/en/players/2db3383b/Vincenzo-Santoruvo,Vincenzo-Santoruvo,2db3383b,it ITA,FW,Bari
23241.0,Stefano Bianconi,/en/players/8852d81f/Stefano-Bianconi,Stefano-Bianconi,8852d81f,it ITA,DF,Bari
23242.0,Ivan Rajčić,/en/players/05dbb984/Ivan-Rajcic,Ivan-Rajcic,05dbb984,hr CRO,MF,Bari
23243.0,Nicola Dibitonto,/en/players/1c1e2c0a/Nicola-Dibitonto,Nicola-Dibitonto,1c1e2c0a,it ITA,GK,Bari
23244.0,Pasquale Berardi,/en/players/c865b3ef/Pasquale-Berardi,Pasquale-Berardi,c865b3ef,it ITA,MF,Bari
23245.0,Vitangelo Spadavecchia,/en/players/5722c1fb/Vitangelo-Spadavecchia,Vitangelo-Spadavecchi,5722c1fb,it ITA,GK,Bari
23246.0,Luca Tabbiani,/en/players/79c95f86/Luca-Tabbiani,Luca-Tabbiani,79c95f86,it ITA,MF,Bari
23247.0,Ivan Loseto,/en/players/89e1ba3a/Ivan-Loseto,Ivan-Loseto,89e1ba3a,it ITA,DF,Bari
23248.0,Daniele Fiorentino,/en/players/ec8680e0/Daniele-Fiorentino,Daniele-Fiorentino,c8680e0,it ITA,MF,Bari
23249.0,Nicola Strambelli,/en/players/3fe1a074/Nicola-Strambelli,Nicola-Strambelli,3fe1a074,it ITA,MF,Bari
23250.0,Giacinto Allegrini,/en/players/e5d3263a/Giacinto-Allegrini,Giacinto-Allegrini,5d3263a,it ITA,DF,Bari
23251.0,Mariano Donda,/en/players/95e77464/Mariano-Donda,Mariano-Dond,95e77464,ar ARG,MF,Bari
23252.0,Santiago Ladino,/en/players/ce9a9c38/Santiago-Ladino,Santiago-Ladino,ce9a9c38,ar ARG,DF,Bari
23253.0,Pedro Kamata,/en/players/d95656b4/Pedro-Kamata,Pedro-Kamat,d95656b4,cd COD,MF,Bari
23254.0,Tony Sergeant,/en/players/2af7d068/Tony-Sergeant,Tony-Sergeant,2af7d068,be BEL,MF,Bari
23255.0,Emanuel Rivas,/en/players/ba306a1a/Emanuel-Rivas,Emanuel-Riv,ba306a1a,ar ARG,MF,Bari
23256.0,Claudio De Pascalis,/en/players/5839e859/Claudio-De-Pascalis,Claudio-De-Pascali,5839e859,it ITA,MF,Bari
23257.0,Cristian Galano,/en/players/7e2eff7a/Cristian-Galano,Cristian-Galano,7e2eff7a,it ITA,"FW,MF",Bari
23258.0,Almamy Doumbia,/en/players/7bb7d4ae/Almamy-Doumbia,Almamy-Doumbi,7bb7d4ae,ci CIV,MF,Bari
23259.0,Antonio Infimo,/en/players/9f31bf01/Antonio-Infimo,Antonio-Infimo,9f31bf01,it ITA,FW,Bari
23260.0,András Gosztonyi,/en/players/e5c86cca/Andras-Gosztonyi,Andras-Gosztonyi,5c86cca,hu HUN,MF,Bari
23261.0,Kamil Kopúnek,/en/players/348cd724/Kamil-Kopunek,Kamil-Kopunek,348cd724,sk SVK,MF,Bari
23262.0,Michele Rinaldi,/en/players/77de1ac4/Michele-Rinaldi,Michele-Rinaldi,77de1ac4,it ITA,DF,Bari
23263.0,Luigi Rana,/en/players/68733dcf/Luigi-Rana,Luigi-R,68733dcf,it ITA,FW,Bari
23264.0,Rivaldo González,/en/players/cf6cc060/Rivaldo-Gonzalez,Rivaldo-Gonzalez,cf6cc060,py PAR,MF,Bari
23265.0,Marco Romizi,/en/players/b53bd1a7/Marco-Romizi,Marco-Romizi,b53bd1a7,it ITA,MF,Bari
23266.0,Federico Masi,/en/players/1dc73324/Federico-Masi,Federico-Masi,1dc73324,it ITA,DF,Bari
23267.0,Diego Albadoro,/en/players/0b8e5467/Diego-Albadoro,Diego-Albadoro,0b8e5467,it ITA,FW,Bari
23268.0,Ádám Simon,/en/players/a3cdcfc6/Adam-Simon,Adam-Simo,3cdcfc6,hu HUN,MF,Bari
23269.0,Gustavo Aprile,/en/players/495964bb/Gustavo-Aprile,Gustavo-Apri,495964bb,uy URU,MF,Bari
23270.0,Alexandru Pena,/en/players/f97ddc68/Alexandru-Pena,Alexandru-P,f97ddc68,ro ROU,GK,Bari
23271.0,Armando Visconti,/en/players/8cf04a6c/Armando-Visconti,Armando-Visconti,8cf04a6c,it ITA,FW,Bari
23272.0,Richard Lugo,/en/players/c78b2741/Richard-Lugo,Richard-Lugo,c78b2741,py PAR,"FW,MF",Bari
23273.0,Richard Samnick,/en/players/0fbd0677/Richard-Samnick,Richard-Samnick,0fbd0677,fr FRA,DF,Bari
23274.0,Vito Leonetti,/en/players/dbc08599/Vito-Leonetti,Vito-Leonetti,dbc08599,it ITA,FW,Bari
23275.0,Dimitrios Vosnakidis,/en/players/d95406b4/Dimitrios-Vosnakidis,Dimitrios-Vosnakidi,d95406b4,gr GRE,DF,Bari
23276.0,Alessandro Ligi,/en/players/1a8f84a0/Alessandro-Ligi,Alessandro-Ligi,1a8f84a0,it ITA,DF,Bari
23277.0,Lorenzo Filippini,/en/players/4aa7fe21/Lorenzo-Filippini,Lorenzo-Filippini,4aa7fe21,it ITA,DF,Bari
23278.0,Tomislav Gomelt,/en/players/a5055b1b/Tomislav-Gomelt,Tomislav-Gomelt,5055b1b,hr CRO,MF,Bari
23279.0,Anthony Partipilo,/en/players/871ec5b7/Anthony-Partipilo,Anthony-Partipilo,871ec5b7,it ITA,MF,Bari
23280.0,Dembel Sall,/en/players/218c0221/Dembel-Sall,Dembel-S,218c0221,sn SEN,DF,Bari
23281.0,Giuseppe Scalera,/en/players/b8de35ca/Giuseppe-Scalera,Giuseppe-Sc,b8de35ca,it ITA,DF,Bari
23282.0,Antonis Petropoulos,/en/players/b5e19f26/Antonis-Petropoulos,Antonis-Petropoulo,b5e19f26,gr GRE,FW,Bari
23283.0,Curtis Yebli,/en/players/84f51529/Curtis-Yebli,Curtis-Yebli,84f51529,fr FRA,DF,Bari
23284.0,Federico Furlan,/en/players/b9de0518/Federico-Furlan,Federico-Fu,b9de0518,it ITA,MF,Bari
23285.0,Roman Macek,/en/players/0f45a0da/Roman-Macek,Roman-Macek,0f45a0da,cz CZE,MF,Bari
23286.0,Massimiliano Busellato,/en/players/5c6669dc/Massimiliano-Busellato,Massimiliano-Busellato,5c6669dc,it ITA,MF,Bari
23287.0,Simone Iocolano,/en/players/6b532b5f/Simone-Iocolano,Simone-Iocolano,6b532b5f,it ITA,"MF,FW",Bari
23288.0,Victor De Lucia,/en/players/12daa2f5/Victor-De-Lucia,Victor-De-Luci,12daa2f5,it ITA,GK,Bari
23289.0,Alessandro Berardi,/en/players/ec1f737d/Alessandro-Berardi,Alessandro-Berardi,c1f737d,it ITA,GK,Bari
23290.0,Emanuele Conti,/en/players/65cc42eb/Emanuele-Conti,Emanuele-Conti,65cc42eb,it ITA,GK,Bari
23291.0,Alessio Di Cosmo,/en/players/e8fcf739/Alessio-Di-Cosmo,Alessio-Di-Cosmo,8fcf739,it ITA,DF,Bari
23292.0,Davide Viola,/en/players/181a0eef/Davide-Viola,Davide-Vio,181a0eef,it ITA,DF,Bari
23293.0,﻿Daniele Celiento,/en/players/544a92c8/Daniele-Celiento,Daniele-Celiento,544a92c8,it ITA,DF,Bari
23294.0,Marco Perrotta,/en/players/90a4ec57/Marco-Perrotta,Marco-Perrott,90a4ec57,it ITA,DF,Bari
23295.0,Eugenio D'Ursi,/en/players/e1348c62/Eugenio-DUrsi,Eugenio-DUrsi,1348c62,it ITA,FW,Bari
23296.0,Alessandro Minelli,/en/players/c067e719/Alessandro-Minelli,Alessandro-Minelli,c067e719,it ITA,DF,Bari
23297.0,Carlo De Risio,/en/players/e491413f/Carlo-De-Risio,Carlo-De-Risio,491413f,it ITA,MF,Bari
23298.0,Alessio Sabbione,/en/players/4b72c3f4/Alessio-Sabbione,Alessio-Sabbio,4b72c3f4,it ITA,"DF,MF",Bari
23299.0,Manuel Marras,/en/players/5c4c8f5a/Manuel-Marras,Manuel-M,5c4c8f5a,it ITA,"FW,MF",Bari
23300.0,Daniel Semenzato,/en/players/2ebfc410/Daniel-Semenzato,Daniel-Semenzato,2ebfc410,it ITA,"DF,MF",Bari
23301.0,Filippo Berra,/en/players/fabb351b/Filippo-Berra,Filippo-B,fabb351b,it ITA,DF,Bari
23302.0,Luca Liso,/en/players/504a20bf/Luca-Liso,Luca-Liso,504a20bf,it ITA,GK,Bari
23303.0,Gianluca Stasi,/en/players/3b1f4561/Gianluca-Stasi,Gianluca-Stasi,3b1f4561,it ITA,FW,Bari
