2012-2013,Bastia
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Anthony Modeste,fr FRA,FW,36,35,3,15,"3,025",33.6,4,1,/en/players/34e4343c/Anthony-Modeste,34e4343c,Anthony-Modest
Féthi Harek,dz ALG,DF,33,31,1,0,"2,609",29.0,2,1,/en/players/d880dc16/Fethi-Harek,d880dc16,Fethi-Harek
Julian Palmieri,fr FRA,"DF,MF",35,30,3,1,"2,730",30.3,10,0,/en/players/25444898/Julian-Palmieri,25444898,Julian-Palmieri
Sylvain Marchal,fr FRA,DF,30,30,0,1,"2,403",26.7,5,0,/en/players/149a5e41/Sylvain-Marchal,149a5e41,Sylvain-March
Jérôme Rothen,fr FRA,MF,28,27,9,3,"2,383",26.5,4,1,/en/players/5ad9d2bc/Jerome-Rothen,5ad9d2bc,Jerome-Roth
Florian Thauvin,fr FRA,"FW,MF",32,25,1,10,"2,249",25.0,4,1,/en/players/2b9fdeea/Florian-Thauvin,2b9fdeea,Florian-Thauvi
Jérémy Choplin,fr FRA,"DF,MF",27,24,0,0,"2,296",25.5,7,0,/en/players/d6745397/Jeremy-Choplin,d6745397,Jeremy-Chopli
Gilles Cioni,fr FRA,DF,28,24,1,0,"2,025",22.5,0,0,/en/players/2af93180/Gilles-Cioni,2af93180,Gilles-Cioni
Sambou Yatabaré,ml MLI,MF,28,23,0,1,"1,986",22.1,13,0,/en/players/3cfd6114/Sambou-Yatabare,3cfd6114,Sambou-Yatab
Wahbi Khazri,tn TUN,"FW,MF",29,22,8,7,"2,041",22.7,5,0,/en/players/2677a1de/Wahbi-Khazri,2677a1de,Wahbi-Khazri
Toifilou Maoulida,fr FRA,FW,31,19,1,6,"1,740",19.3,3,0,/en/players/9d0e2252/Toifilou-Maoulida,9d0e2252,Toifilou-Maoulid
Mickaël Landreau,fr FRA,GK,19,19,0,0,"1,672",18.6,0,0,/en/players/12bf5523/Mickael-Landreau,12bf5523,Mickael-Landreau
Yannick Cahuzac,fr FRA,MF,19,18,1,0,"1,561",17.3,8,0,/en/players/677ee102/Yannick-Cahuzac,677ee102,Yannick-Cahuzac
Gaël Angoula,fr FRA,"DF,MF",18,15,1,0,"1,307",14.5,6,1,/en/players/504d4bb0/Gael-Angoula,504d4bb0,Gael-Angou
Julien Sablé,fr FRA,MF,21,14,0,0,"1,336",14.8,2,0,/en/players/3eec50d0/Julien-Sable,3eec50d0,Julien-Sab
Macedo Novaes,br BRA,GK,12,12,0,0,"1,080",12.0,1,0,/en/players/69ed8229/Macedo-Novaes,69ed8229,Macedo-Nov
Ilan,br BRA,FW,22,10,1,3,903,10.0,0,1,/en/players/f0a36f0c/Ilan,f0a36f0c,I
Jacques Faty,sn SEN,DF,12,10,0,0,899,10.0,1,0,/en/players/c0ff01ff/Jacques-Faty,c0ff01ff,Jacques-Fat
Claudio Beauvue,gp GLP,"FW,MF",15,8,2,1,772,8.6,0,0,/en/players/8ca253a3/Claudio-Beauvue,8ca253a3,Claudio-Beauvu
Landry Bonnefoi,fr FRA,GK,8,7,0,0,668,7.4,2,0,/en/players/e65dd8dc/Landry-Bonnefoi,65dd8dc,Landry-Bonnefoi
Maka Mary,fr FRA,DF,7,5,0,0,479,5.3,2,0,/en/players/3e6ff51c/Maka-Mary,3e6ff51c,Maka-M
François Marque,fr FRA,DF,6,5,0,1,435,4.8,2,1,/en/players/47def789/Francois-Marque,47def789,Francois-Marqu
Matthieu Sans,fr FRA,DF,6,2,0,0,247,2.7,1,0,/en/players/58fc6c68/Matthieu-Sans,58fc6c68,Matthieu-S
Samuel Inkoom,gh GHA,"DF,MF",4,2,0,0,218,2.4,0,0,/en/players/9889cd78/Samuel-Inkoom,9889cd78,Samuel-Inkoom
Joseph Barbato,fr FRA,FW,5,1,0,0,178,2.0,0,0,/en/players/105b7d7d/Joseph-Barbato,105b7d7d,Joseph-Barbato
Abdoulaye Keita,ml MLI,MF,5,0,0,0,99,1.1,0,0,/en/players/ae77ece0/Abdoulaye-Keita,77ece0,Abdoulaye-Keit
Christophe Vincent,fr FRA,MF,2,0,0,0,64,0.7,0,0,/en/players/b07c4e52/Christophe-Vincent,b07c4e52,Christophe-Vincent
Matthias Llambrich,fr FRA,MF,1,0,0,0,14,0.2,0,0,/en/players/e42580a1/Matthias-Llambrich,42580a1,Matthias-Llambrich
Yassin El-Azzouzi,fr FRA,FW,1,0,0,0,2,0.0,0,0,/en/players/2652ba0a/Yassin-El-Azzouzi,2652ba0a,Yassin-El-Azzouzi
