2014-2015,Bayer-Leverkusen
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Bernd Leno,de GER,GK,34,34,0,0,"3,060",34.0,1,0,/en/players/2628fd2b/Bernd-Leno,2628fd2b,Bernd-Leno
Karim Bellarabi,de GER,"FW,MF",33,32,6,12,"2,711",30.1,5,0,/en/players/bee0bab1/Karim-Bellarabi,bee0bab1,Karim-Bellarabi
Stefan Kießling,de GER,"FW,MF",34,31,4,9,"2,567",28.5,4,0,/en/players/c419e035/Stefan-Kiessling,c419e035,Stefan-Kiessling
Hakan Çalhanoğlu,tr TUR,"FW,MF",33,31,6,8,"2,507",27.9,3,0,/en/players/cd0fa27b/Hakan-Calhanoglu,cd0fa27b,Hakan-Calhanoglu
Son Heung-min,kr KOR,"FW,MF",30,28,2,11,"2,280",25.3,4,0,/en/players/92e7e919/Son-Heung-min,92e7e919,Son-Heung-mi
Ömer Toprak,tr TUR,DF,29,27,0,1,"2,498",27.8,10,0,/en/players/c5fd13e9/Omer-Toprak,c5fd13e9,Omer-Toprak
Wendell,br BRA,DF,26,25,1,1,"2,251",25.0,8,0,/en/players/f9acca3a/Wendell,f9acca3a,Wend
Lars Bender,de GER,"DF,MF",26,25,3,1,"2,018",22.4,5,0,/en/players/c50281a0/Lars-Bender,c50281a0,Lars-Bend
Emir Spahić,ba BIH,DF,22,22,0,1,"1,875",20.8,7,2,/en/players/009633c8/Emir-Spahic,009633c8,Emir-Spahic
Roberto Hilbert,de GER,"DF,MF",23,21,0,0,"1,788",19.9,6,0,/en/players/a8d2b7ca/Roberto-Hilbert,8d2b7ca,Roberto-Hilbert
Gonzalo Castro,de GER,"DF,MF",22,19,7,2,"1,783",19.8,4,0,/en/players/68829001/Gonzalo-Castro,68829001,Gonzalo-Castro
Tin Jedvaj,hr CRO,DF,22,18,1,2,"1,661",18.5,6,1,/en/players/f820504e/Tin-Jedvaj,f820504e,Tin-Jedvaj
Simon Rolfes,de GER,MF,24,13,1,1,"1,234",13.7,4,0,/en/players/be7e7400/Simon-Rolfes,be7e7400,Simon-Rolf
Julian Brandt,de GER,"FW,MF",25,10,2,4,"1,119",12.4,0,0,/en/players/a167537f/Julian-Brandt,167537f,Julian-Brandt
Stefan Reinartz,de GER,"DF,MF",17,9,0,1,978,10.9,2,0,/en/players/768cdec1/Stefan-Reinartz,768cdec1,Stefan-Reinartz
Sebastian Boenisch,pl POL,DF,12,9,1,0,872,9.7,2,0,/en/players/e6a25eeb/Sebastian-Boenisch,6a25eeb,Sebastian-Boenisch
Kyriakos Papadopoulos,gr GRE,"DF,MF",14,9,1,2,831,9.2,5,0,/en/players/931b7c30/Kyriakos-Papadopoulos,931b7c30,Kyriakos-Papadopoulo
Josip Drmić,ch SUI,FW,25,5,1,6,804,8.9,1,0,/en/players/15ea94de/Josip-Drmic,15ea94de,Josip-Drmic
Giulio Donati,it ITA,DF,8,4,0,0,407,4.5,1,1,/en/players/22051fbe/Giulio-Donati,22051fbe,Giulio-Donati
Levin Öztunalı,de GER,"FW,MF",6,2,0,0,150,1.7,0,0,/en/players/66385c46/Levin-Oztunali,66385c46,Levin-Oztunali
Vladlen Yurchenko,ua UKR,MF,3,0,0,0,57,0.6,0,0,/en/players/27e3271e/Vladlen-Yurchenko,27e3271e,Vladlen-Yurchenko
Robbie Kruse,au AUS,"FW,MF",4,0,0,0,50,0.6,0,0,/en/players/9571ca99/Robbie-Kruse,9571ca99,Robbie-Kru
Lukas Boeder,de GER,DF,0,0,,,,,,,/en/players/38a69fc5/Lukas-Boeder,38a69fc5,Lukas-Boed
Dario Krešić,hr CRO,GK,0,0,,,,,,,/en/players/8ae11182/Dario-Kresic,8ae11182,Dario-Kresic
David Yelldell,us USA,GK,0,0,,,,,,,/en/players/915e8ac2/David-Yelldell,915e8ac2,David-Yelld
