2016-2017,Bayern-Munich
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Robert Lewandowski,pl POL,FW,33,31,5,30,"2,775",30.8,5,0,/en/players/8d78e732/Robert-Lewandowski,8d78e732,Robert-Lewandowski
David Alaba,at AUT,DF,32,29,4,4,"2,506",27.8,1,0,/en/players/05439de2/David-Alaba,05439de2,David-Alab
Manuel Neuer,de GER,GK,26,26,0,0,"2,340",26.0,0,0,/en/players/8778c910/Manuel-Neuer,8778c910,Manuel-Neu
Thiago Alcántara,es ESP,MF,27,26,5,6,"2,288",25.4,4,0,/en/players/77e84962/Thiago-Alcantara,77e84962,Thiago-Alcant
Thomas Müller,de GER,"MF,FW",29,25,12,5,"2,263",25.1,0,0,/en/players/3c6089ab/Thomas-Muller,3c6089ab,Thomas-Mu
Javi Martínez,es ESP,DF,25,25,1,1,"2,131",23.7,5,0,/en/players/7f97771d/Javi-Martinez,7f97771d,Javi-Martinez
Mats Hummels,de GER,DF,27,24,1,1,"2,181",24.2,4,0,/en/players/05d548d8/Mats-Hummels,05d548d8,Mats-Humm
Philipp Lahm,de GER,DF,26,24,2,1,"2,085",23.2,1,0,/en/players/de491a33/Philipp-Lahm,de491a33,Philipp-Lahm
Xabi Alonso,es ESP,MF,27,22,2,3,"1,903",21.1,6,0,/en/players/dc001a06/Xabi-Alonso,dc001a06,Xabi-Alonso
Arjen Robben,nl NED,"MF,FW",26,21,9,13,"1,825",20.3,0,0,/en/players/09586899/Arjen-Robben,09586899,Arjen-Robb
Arturo Vidal,cl CHI,MF,27,21,2,4,"1,821",20.2,8,0,/en/players/67cdbc0e/Arturo-Vidal,67cdbc0e,Arturo-Vid
Joshua Kimmich,de GER,"MF,DF",27,15,1,6,"1,547",17.2,1,0,/en/players/49296448/Joshua-Kimmich,49296448,Joshua-Kimmich
Douglas Costa,br BRA,"MF,FW",23,14,4,4,"1,420",15.8,2,0,/en/players/4fa7cb9b/Douglas-Costa,4fa7cb9b,Douglas-Cost
Franck Ribéry,fr FRA,"MF,FW",22,14,11,5,"1,239",13.8,2,0,/en/players/f61c7c4e/Franck-Ribery,f61c7c4e,Franck-Rib
Juan Bernat,es ESP,DF,18,13,2,2,"1,238",13.8,1,0,/en/players/433dc9a2/Juan-Bernat,433dc9a2,Juan-Bernat
Rafinha,br BRA,DF,20,10,1,1,"1,029",11.4,2,0,/en/players/d003e213/Rafinha,d003e213,Rafinh
Kingsley Coman,fr FRA,"MF,FW",19,10,1,2,917,10.2,1,0,/en/players/042e8a49/Kingsley-Coman,042e8a49,Kingsley-Com
Jérôme Boateng,de GER,DF,13,10,1,0,827,9.2,1,0,/en/players/2db2fd7b/Jerome-Boateng,2db2fd7b,Jerome-Boateng
Renato Sanches,pt POR,MF,17,6,0,0,621,6.9,3,0,/en/players/032f894e/Renato-Sanches,032f894e,Renato-Sanch
Sven Ulreich,de GER,GK,5,5,0,0,450,5.0,0,0,/en/players/7d3e7da6/Sven-Ulreich,7d3e7da6,Sven-Ulreich
Tom Starke,de GER,GK,3,3,0,0,270,3.0,0,0,/en/players/5b52d1f7/Tom-Starke,5b52d1f7,Tom-Stark
Holger Badstuber,de GER,DF,1,0,0,0,29,0.3,0,0,/en/players/45b7edae/Holger-Badstuber,45b7edae,Holger-Badstub
Fabian Benko,de GER,MF,0,0,,,,,,,/en/players/d32df57e/Fabian-Benko,d32df57e,Fabian-Benko
Nicolas Feldhahn,de GER,"DF,MF",0,0,,,,,,,/en/players/6d8ec5d5/Nicolas-Feldhahn,6d8ec5d5,Nicolas-Feldhah
Marco Friedl,at AUT,DF,0,0,,,,,,,/en/players/f86ad3f5/Marco-Friedl,f86ad3f5,Marco-Fried
Felix Götze,de GER,"DF,MF",0,0,,,,,,,/en/players/ee7cdd0c/Felix-Gotze,7cdd0c,Felix-Gotz
Julian Green,us USA,"FW,MF",0,0,,,,,,,/en/players/ad1d6fa4/Julian-Green,d1d6fa4,Julian-G
Raphael Obermair,ph PHI,"DF,MF",0,0,,,,,,,/en/players/fd42f171/Raphael-Obermair,fd42f171,Raphael-Obermai
Erdal Öztürk,de GER,MF,0,0,,,,,,,/en/players/02a0ce1a/Erdal-Ozturk,02a0ce1a,Erdal-Ozturk
Leo Weinkauf,de GER,GK,0,0,,,,,,,/en/players/d120d6dc/Leo-Weinkauf,d120d6dc,Leo-Weinkauf
