2021-2022,Benevento
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Alberto Paleari,it ITA,GK,35,35,0,0,"3,082",34.2,2,0,/en/players/94a3606c/Alberto-Paleari,94a3606c,Alberto-Paleari
Artur Ioniță,md MDA,MF,36,34,1,2,"2,838",31.5,4,0,/en/players/cedb3e36/Artur-Ionita,cedb3e36,Artur-Ionit
Gaetano Letizia,it ITA,DF,34,33,3,1,"2,874",31.9,4,0,/en/players/3dd45b70/Gaetano-Letizia,3dd45b70,Gaetano-Letizi
Gennaro Acampora,it ITA,MF,37,31,8,2,"2,484",27.6,8,0,/en/players/01040647/Gennaro-Acampora,01040647,Gennaro-Acampo
Federico Barba,it ITA,DF,30,28,0,3,"2,527",28.1,5,0,/en/players/c010b898/Federico-Barba,c010b898,Federico-Barb
Roberto Insigne,it ITA,"FW,MF",31,27,3,7,"1,960",21.8,2,0,/en/players/8faf7b3c/Roberto-Insigne,8faf7b3c,Roberto-Insig
Riccardo Improta,it ITA,"FW,MF",26,25,1,4,"2,037",22.6,4,0,/en/players/f6dfa5b8/Riccardo-Improta,f6dfa5b8,Riccardo-Improt
Alessandro Vogliacco,it ITA,DF,27,24,0,0,"2,307",25.6,3,0,/en/players/6841f107/Alessandro-Vogliacco,6841f107,Alessandro-Vogliacco
Daam Foulon,be BEL,DF,27,21,2,1,"1,869",20.8,2,0,/en/players/658d44be/Daam-Foulon,658d44be,Daam-Foulo
Kamil Glik,pl POL,DF,23,21,0,0,"1,755",19.5,3,2,/en/players/c6056d58/Kamil-Glik,c6056d58,Kamil-Glik
Giacomo Calò,it ITA,MF,31,20,4,0,"1,751",19.5,5,0,/en/players/d2ed2e04/Giacomo-Calo,d2ed2e04,Giacomo-Calo
Salvatore Elia,it ITA,"DF,MF",25,16,1,1,"1,457",16.2,4,0,/en/players/e9ca1b91/Salvatore-Elia,9ca1b91,Salvatore-Eli
Andrés Tello,co COL,"FW,MF",33,14,3,7,"1,560",17.3,10,1,/en/players/5f951ef1/Andres-Tello,5f951ef1,Andres-Tello
Mattia Viviani,it ITA,MF,19,14,1,2,"1,267",14.1,8,0,/en/players/360b2bb1/Mattia-Viviani,360b2bb1,Mattia-Viviani
Francesco Forte,it ITA,FW,18,14,1,7,"1,263",14.0,2,0,/en/players/69e11a01/Francesco-Forte,69e11a01,Francesco-Fort
Gianluca Lapadula,pe PER,FW,21,12,4,10,"1,333",14.8,2,0,/en/players/2ead2809/Gianluca-Lapadula,2ead2809,Gianluca-Lapadu
Gabriele Moncini,it ITA,FW,24,11,2,6,"1,043",11.6,1,0,/en/players/c4efe2b4/Gabriele-Moncini,c4efe2b4,Gabriele-Moncini
Edoardo Masciangelo,it ITA,DF,19,8,1,0,881,9.8,0,0,/en/players/ed2c3366/Edoardo-Masciangelo,d2c3366,Edoardo-Masciangelo
Marco Sau,it ITA,"FW,MF",12,8,1,1,618,6.9,0,0,/en/players/1ad1f50d/Marco-Sau,1ad1f50d,Marco-Sau
Diego Farias,br BRA,"FW,MF",13,7,1,2,554,6.2,1,1,/en/players/157d29b6/Diego-Farias,157d29b6,Diego-Fari
Enrico Brignola,it ITA,"MF,FW",23,4,0,0,594,6.6,0,0,/en/players/d0643f8f/Enrico-Brignola,d0643f8f,Enrico-Brigno
Christian Pastina,it ITA,DF,5,4,0,0,326,3.6,1,0,/en/players/38bf62b5/Christian-Pastina,38bf62b5,Christian-Pasti
Jacopo Petriccione,it ITA,MF,12,3,0,0,343,3.8,2,0,/en/players/909bce7f/Jacopo-Petriccione,909bce7f,Jacopo-Petriccio
Niccolò Manfredini,it ITA,GK,4,3,0,0,338,3.8,0,0,/en/players/e4b39692/Niccolo-Manfredini,4b39692,Niccolo-Manfredini
Bright Gyamfi,gh GHA,DF,4,1,0,0,70,0.8,1,0,/en/players/251d982a/Bright-Gyamfi,251d982a,Bright-Gyamfi
Giuseppe Di Serio,it ITA,FW,8,0,0,2,125,1.4,0,0,/en/players/5048486b/Giuseppe-Di-Serio,5048486b,Giuseppe-Di-Serio
Dejan Vokič,si SVN,DF,6,0,0,0,111,1.2,1,0,/en/players/6c145d64/Dejan-Vokic,6c145d64,Dejan-Vokic
Angelo Talia,it ITA,MF,4,0,0,0,72,0.8,1,0,/en/players/b6ee1875/Angelo-Talia,b6ee1875,Angelo-Tali
Bruno Umile,it ITA,FW,1,0,0,0,2,0.0,0,0,/en/players/04c2623d/Bruno-Umile,04c2623d,Bruno-Umi
Basit Abdallah,gh GHA,MF,0,0,,,,,,,/en/players/13a0ff99/Basit-Abdallah,13a0ff99,Basit-Abdallah
Oliver Kragl,de GER,MF,0,0,,,,,,,/en/players/1c17dfe0/Oliver-Kragl,1c17dfe0,Oliver-Krag
Alessandro Malva,it ITA,FW,0,0,,,,,,,/en/players/6943a89a/Alessandro-Malva,6943a89a,Alessandro-Malv
Gaspare Muraca,it ITA,GK,0,0,,,,,,,/en/players/e8f3d1c9/Gaspare-Muraca,8f3d1c9,Gaspare-Murac
Antonio Prisco,it ITA,MF,0,0,,,,,,,/en/players/d3824a22/Antonio-Prisco,d3824a22,Antonio-Prisco
Riccardo Rossini,it ITA,MF,0,0,,,,,,,/en/players/9a2b6ef4/Riccardo-Rossini,9a2b6ef4,Riccardo-Rossini
Pape Samba Thiam,sn SEN,FW,0,0,,,,,,,/en/players/3a9e287c/Pape-Samba-Thiam,3a9e287c,Pape-Samba-Thiam
Siriki Sanogo,ci CIV,FW,0,0,,,,,,,/en/players/ff120e44/Siriki-Sanogo,ff120e44,Siriki-Sanogo
Clemente Tartaro,it ITA,GK,0,0,,,,,,,/en/players/fd02c923/Clemente-Tartaro,fd02c923,Clemente-Tartaro
Giulio Vottari,it ITA,DF,0,0,,,,,,,/en/players/8f61d1a0/Giulio-Vottari,8f61d1a0,Giulio-Vottari
