2014-2015,Benevento
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Vedran Celjak,hr CRO,DF,2,2,0,0,210,2.3,0,0,/en/players/4ab0b9cc/Vedran-Celjak,4ab0b9cc,Vedran-Celjak
Andrea Doninelli,it ITA,MF,2,2,0,2,210,2.3,0,0,/en/players/15204964/Andrea-Doninelli,15204964,Andrea-Doninelli
Fabio Lucioni,it ITA,DF,2,2,0,0,210,2.3,1,0,/en/players/8efa621b/Fabio-Lucioni,8efa621b,Fabio-Lucioni
Fabrizio Melara,it ITA,MF,2,2,0,0,210,2.3,0,0,/en/players/a8b8bbb8/Fabrizio-Melara,8b8bbb8,Fabrizio-M
Emanuele Padella,it ITA,DF,2,2,0,1,210,2.3,0,0,/en/players/12a448db/Emanuele-Padella,12a448db,Emanuele-Pad
Riccardo Piscitelli,it ITA,GK,2,2,0,0,210,2.3,0,0,/en/players/845ca6cd/Riccardo-Piscitelli,845ca6cd,Riccardo-Piscitelli
Thomas Som,cm CMR,DF,2,2,0,0,210,2.3,0,0,/en/players/55a81344/Thomas-Som,55a81344,Thomas-Som
Alessio Campagnacci,it ITA,FW,2,2,0,0,201,2.2,0,0,/en/players/b293624e/Alessio-Campagnacci,b293624e,Alessio-Campagnacci
Umberto Eusepi,it ITA,FW,2,2,0,0,150,1.7,0,0,/en/players/210cc9c3/Umberto-Eusepi,210cc9c3,Umberto-Eusepi
Alessandro Marotta,it ITA,FW,2,1,0,1,144,1.6,0,0,/en/players/50472373/Alessandro-Marotta,50472373,Alessandro-Marott
Marco Mancosu,it ITA,MF,2,1,0,0,110,1.2,0,0,/en/players/2c3a6c21/Marco-Mancosu,2c3a6c21,Marco-Mancosu
Leandro Vitiello,it ITA,MF,1,1,0,0,66,0.7,1,0,/en/players/4b273b70/Leandro-Vitiello,4b273b70,Leandro-Vitiello
Daniel Kofi Agyei,gh GHA,MF,1,1,0,0,62,0.7,0,0,/en/players/16d1dbc3/Daniel-Kofi-Agyei,16d1dbc3,Daniel-Kofi-Agyei
Mattia Montini,it ITA,FW,2,0,0,0,60,0.7,0,0,/en/players/32375a96/Mattia-Montini,32375a96,Mattia-Montini
