2009-2010,Birmingham-City
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Roger Johnson,eng ENG,DF,38,38,1,0,"3,420",38.0,8,0,/en/players/f6e08a82/Roger-Johnson,f6e08a82,Roger-Johnso
Barry Ferguson,sct SCO,MF,37,37,0,0,"3,329",37.0,8,1,/en/players/43420ade/Barry-Ferguson,43420ade,Barry-Ferguso
Joe Hart,eng ENG,GK,36,36,0,0,"3,240",36.0,3,0,/en/players/cb4f24c6/Joe-Hart,cb4f24c6,Joe-Hart
Stephen Carr,ie IRL,DF,35,35,2,0,"3,109",34.5,10,0,/en/players/eb0ae1e9/Stephen-Carr,b0ae1e9,Stephen-C
Lee Bowyer,eng ENG,MF,35,34,2,5,"3,009",33.4,8,0,/en/players/f4fd57ba/Lee-Bowyer,f4fd57ba,Lee-Bow
Cameron Jerome,eng ENG,FW,32,32,3,10,"2,671",29.7,5,0,/en/players/680fb5ee/Cameron-Jerome,680fb5ee,Cameron-Jerom
James McFadden,sct SCO,"FW,MF",36,32,3,5,"2,639",29.3,5,0,/en/players/2cfdae75/James-McFadden,2cfdae75,James-McFadd
Liam Ridgewell,eng ENG,DF,31,30,1,3,"2,745",30.5,4,0,/en/players/7c9e057e/Liam-Ridgewell,7c9e057e,Liam-Ridgew
Scott Dann,eng ENG,DF,30,30,2,0,"2,700",30.0,4,0,/en/players/52105203/Scott-Dann,52105203,Scott-D
Seb Larsson,se SWE,MF,33,26,2,4,"2,376",26.4,3,0,/en/players/b26efc36/Seb-Larsson,b26efc36,Seb-Larsso
Christian Benítez,ec ECU,FW,30,21,5,3,"1,935",21.5,1,0,/en/players/41d48e25/Christian-Benitez,41d48e25,Christian-Benitez
Keith Fahey,ie IRL,MF,34,18,2,0,"1,707",19.0,2,0,/en/players/e4def09b/Keith-Fahey,4def09b,Keith-Fah
Craig Gardner,eng ENG,MF,13,10,1,1,898,10.0,3,0,/en/players/1117b9ff/Craig-Gardner,1117b9ff,Craig-Gard
Stuart Parnaby,eng ENG,DF,8,6,0,0,547,6.1,2,0,/en/players/389cc3d7/Stuart-Parnaby,389cc3d7,Stuart-Parnab
Grégory Vignal,fr FRA,DF,8,6,0,0,500,5.6,3,0,/en/players/5027d998/Gregory-Vignal,5027d998,Gregory-Vig
Franck Queudrue,fr FRA,DF,6,6,0,0,495,5.5,0,0,/en/players/4b7d3170/Franck-Queudrue,4b7d3170,Franck-Queudru
Garry O'Connor,sct SCO,FW,10,5,0,1,558,6.2,2,0,/en/players/07fffbc5/Garry-OConnor,07fffbc5,Garry-OConno
Teemu Tainio,fi FIN,MF,6,5,0,0,359,4.0,0,0,/en/players/9b6b6b04/Teemu-Tainio,9b6b6b04,Teemu-Tainio
Lee Carsley,ie IRL,MF,7,3,0,0,347,3.9,1,0,/en/players/8393a60b/Lee-Carsley,8393a60b,Lee-C
Míchel,es ESP,MF,9,3,1,0,306,3.4,1,0,/en/players/4d425e6e/Michel,4d425e6e,Mich
Kevin Phillips,eng ENG,FW,19,2,0,4,434,4.8,0,0,/en/players/23d97ca1/Kevin-Phillips,23d97ca1,Kevin-Philli
Maik Taylor,nir NIR,GK,2,2,0,0,180,2.0,0,0,/en/players/755ea891/Maik-Taylor,755ea891,Maik-Taylo
Gary McSheffrey,eng ENG,"FW,MF",5,1,0,0,103,1.1,1,0,/en/players/e4852a2c/Gary-McSheffrey,4852a2c,Gary-McSheff
Jay O'Shea,ie IRL,MF,1,0,0,0,10,0.1,0,0,/en/players/2100a116/Jay-OShea,2100a116,Jay-OSh
Damien Johnson,nir NIR,MF,1,0,0,0,3,0.0,0,0,/en/players/c1c0a75f/Damien-Johnson,c1c0a75f,Damien-Johnso
