2007-2008,Blackburn-Rovers
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Brad Friedel,us USA,GK,38,38,0,0,"3,420",38.0,0,0,/en/players/b8c0a975/Brad-Friedel,b8c0a975,Brad-Fried
David Bentley,eng ENG,MF,37,37,8,6,"3,320",36.9,8,0,/en/players/a00fbcec/David-Bentley,00fbcec,David-Bent
Stephen Warnock,eng ENG,DF,37,37,3,1,"3,283",36.5,8,0,/en/players/07869028/Stephen-Warnock,07869028,Stephen-Warnock
Roque Santa Cruz,py PAR,FW,37,36,5,19,"3,185",35.4,3,0,/en/players/7f2107eb/Roque-Santa-Cruz,7f2107eb,Roque-Santa-Cruz
Christopher Samba,cg CGO,DF,33,33,0,2,"2,891",32.1,10,1,/en/players/e43cada1/Christopher-Samba,43cada1,Christopher-Samb
Morten Gamst Pedersen,no NOR,"FW,MF",37,32,1,4,"2,871",31.9,5,0,/en/players/c75d2fba/Morten-Gamst-Pedersen,c75d2fba,Morten-Gamst-Ped
Brett Emerton,au AUS,"DF,MF",33,31,1,1,"2,753",30.6,3,1,/en/players/a1866af0/Brett-Emerton,1866af0,Brett-Emerto
David Dunn,eng ENG,MF,31,25,3,1,"1,949",21.7,7,1,/en/players/7ecdf483/David-Dunn,7ecdf483,David-Du
André Ooijer,nl NED,DF,27,23,0,0,"2,026",22.5,2,0,/en/players/49fd46a1/Andre-Ooijer,49fd46a1,Andre-Ooij
Ryan Nelsen,nz NZL,DF,22,22,0,0,"1,936",21.5,4,2,/en/players/510f2c7c/Ryan-Nelsen,510f2c7c,Ryan-N
Benni McCarthy,za RSA,FW,31,21,0,8,"1,680",18.7,1,0,/en/players/a6f401c6/Benni-McCarthy,6f401c6,Benni-McCarth
Steven Reid,ie IRL,"DF,MF",24,20,0,0,"1,867",20.7,6,0,/en/players/e26f852b/Steven-Reid,26f852b,Steven-Reid
Tugay Kerimoğlu,tr TUR,MF,20,12,0,2,"1,124",12.5,5,1,/en/players/543e7bda/Tugay-Kerimoglu,543e7bda,Tugay-Kerimoglu
Jason Roberts,gd GRN,FW,26,11,5,3,"1,264",14.0,2,0,/en/players/62487637/Jason-Roberts,62487637,Jason-Robert
Zurab Khizanishvili,ge GEO,DF,13,10,0,0,955,10.6,2,0,/en/players/4e106307/Zurab-Khizanishvili,4e106307,Zurab-Khizanishvili
Robbie Savage,wls WAL,MF,12,10,0,0,808,9.0,4,0,/en/players/f60a24de/Robbie-Savage,f60a24de,Robbie-Savag
Aaron Mokoena,za RSA,"DF,MF",18,8,1,0,765,8.5,2,0,/en/players/8eedd90f/Aaron-Mokoena,8eedd90f,Aaron-Moko
Johann Vogel,ch SUI,MF,6,6,0,0,462,5.1,0,0,/en/players/6b002e31/Johann-Vogel,6b002e31,Johann-Vog
Matt Derbyshire,eng ENG,FW,23,4,1,3,621,6.9,1,0,/en/players/193ed0c0/Matt-Derbyshire,193ed0c0,Matt-Derbyshi
Bruno Berner,ch SUI,"DF,MF",2,2,0,0,180,2.0,1,0,/en/players/a85d700b/Bruno-Berner,85d700b,Bruno-B
Martin Olsson,se SWE,"DF,MF",2,0,0,0,19,0.2,0,0,/en/players/2f72f79e/Martin-Olsson,2f72f79e,Martin-Olsso
Maceo Rigters,nl NED,FW,2,0,0,0,16,0.2,0,0,/en/players/edc626e2/Maceo-Rigters,dc626e2,Maceo-Rigt
