,Player,Link,Player_id,Player_name,Nationality,Position
0,﻿Brad Friedel,/en/players/b8c0a975/Brad-Friedel,b8c0a975,Brad-Fried,us USA,GK
1,Lucas Neill,/en/players/b6cf046f/Lucas-Neill,b6cf046f,Lucas-Nei,au AUS,DF
2,Garry Flitcroft,/en/players/dc6356ad/Garry-Flitcroft,dc6356ad,Garry-Flitcroft,eng ENG,MF
3,Andy Cole,/en/players/b6638a2c/Andy-Cole,b6638a2c,Andy-Co,eng ENG,FW
4,Tugay Kerimoğlu,/en/players/543e7bda/Tugay-Kerimoglu,543e7bda,Tugay-Kerimoglu,tr TUR,MF
5,Martin Taylor,/en/players/08840bbf/Martin-Taylor,08840bbf,Martin-Taylo,eng ENG,DF
6,Craig Short,/en/players/ff7178f7/Craig-Short,ff7178f7,Craig-Short,eng ENG,DF
7,Damien Duff,/en/players/057a6936/Damien-Duff,057a6936,Damien-Duff,ie IRL,"FW,MF"
8,David Dunn,/en/players/7ecdf483/David-Dunn,7ecdf483,David-Du,eng ENG,MF
9,Dwight Yorke,/en/players/2d0a99d3/Dwight-Yorke,2d0a99d3,Dwight-York,tt TRI,"FW,MF"
10,David Thompson,/en/players/5696222a/David-Thompson,5696222a,David-Thompso,eng ENG,MF
11,Nils-Eric Johansson,/en/players/c281ba3e/Nils-Eric-Johansson,c281ba3e,Nils-Eric-Johansso,se SWE,DF
12,Henning Berg,/en/players/ad77f84e/Henning-Berg,d77f84e,Henning-Berg,no NOR,DF
13,Keith Gillespie,/en/players/012f440e/Keith-Gillespie,012f440e,Keith-Gillespi,nir NIR,"FW,MF"
14,Vratislav Greško,/en/players/81bc6dbe/Vratislav-Gresko,81bc6dbe,Vratislav-Gresko,sk SVK,DF
15,Jay McEveley,/en/players/c5c63c9a/Jay-McEveley,c5c63c9a,Jay-McEv,sct SCO,DF
16,Egil Østenstad,/en/players/bc242ac0/Egil-Ostenstad,bc242ac0,Egil-Ostenstad,no NOR,FW
17,Andy Todd,/en/players/1b9ecd06/Andy-Todd,1b9ecd06,Andy-Todd,eng ENG,DF
18,Hakan Şükür,/en/players/7a6fce9a/Hakan-Sukur,7a6fce9a,Hakan-Suku,tr TUR,FW
19,John Curtis,/en/players/3edb83bf/John-Curtis,3edb83bf,John-Curti,eng ENG,DF
20,Corrado Grabbi,/en/players/c85faa9b/Corrado-Grabbi,c85faa9b,Corrado-Grabbi,it ITA,FW
21,Craig Hignett,/en/players/04f2da3e/Craig-Hignett,04f2da3e,Craig-Hignett,eng ENG,"FW,MF"
22,Alan Kelly Jr.,/en/players/fc4c6bb9/Alan-Kelly-Jr,fc4c6bb9,Alan-Kelly-J,ie IRL,GK
23,Neil Danns,/en/players/8081f166/Neil-Danns,8081f166,Neil-D,gy GUY,MF
24,Matt Jansen,/en/players/fac73006/Matt-Jansen,fac73006,Matt-J,eng ENG,FW
25,Alan Mahon,/en/players/fbe1f1d0/Alan-Mahon,fbe1f1d0,Alan-Maho,ie IRL,MF
26,Paul Gallagher,/en/players/9f0fb63c/Paul-Gallagher,9f0fb63c,Paul-Gallagh,sct SCO,"FW,MF"
27,Jonathan Douglas,/en/players/7670e1c6/Jonathan-Douglas,7670e1c6,Jonathan-Doug,ie IRL,MF
29,Markus Babbel,/en/players/b59f0646/Markus-Babbel,b59f0646,Markus-Babb,de GER,DF
30,Michael Gray,/en/players/fefae709/Michael-Gray,fefae709,Michael-G,eng ENG,"DF,MF"
