2018-2019,Blackpool
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Jay Spearing,eng ENG,MF,42,42,2,4,"3,661",40.7,6,0,/en/players/f26579f5/Jay-Spearing,f26579f5,Jay-Spearing
Ben Heneghan,eng ENG,DF,42,41,0,1,"3,691",41.0,7,0,/en/players/846ac45b/Ben-Heneghan,846ac45b,Ben-Henegh
Curtis Tilt,jm JAM,DF,37,37,2,4,"3,208",35.6,6,0,/en/players/ed1f0d0f/Curtis-Tilt,d1f0d0f,Curtis-Tilt
Armand Gnanduillet,ci CIV,FW,43,35,4,10,"3,293",36.6,1,1,/en/players/bda099d0/Armand-Gnanduillet,bda099d0,Armand-Gnanduillet
Marc Bola,eng ENG,"DF,MF",35,35,3,2,"3,027",33.6,4,1,/en/players/3986000d/Marc-Bola,3986000d,Marc-Bo
Nathan Delfouneso,eng ENG,"FW,MF",39,32,3,7,"2,903",32.3,3,0,/en/players/49ae4072/Nathan-Delfouneso,49ae4072,Nathan-Delfouneso
Mark Howard,eng ENG,GK,32,32,0,0,"2,805",31.2,0,0,/en/players/d5d89b53/Mark-Howard,d5d89b53,Mark-Howard
Oliver Turton,eng ENG,"DF,MF",32,32,1,1,"2,715",30.2,5,0,/en/players/01753a47/Oliver-Turton,01753a47,Oliver-Turto
Jordan Thompson,nir NIR,MF,38,31,2,3,"2,734",30.4,5,1,/en/players/6bf53300/Jordan-Thompson,6bf53300,Jordan-Thompso
Liam Feeney,eng ENG,"MF,FW",34,24,2,0,"2,248",25.0,1,0,/en/players/ff4d77df/Liam-Feeney,ff4d77df,Liam-F
Donervon Daniels,ms MSR,DF,24,21,2,0,"1,926",21.4,0,1,/en/players/06757dde/Donervon-Daniels,06757dde,Donervon-Dani
Harry Pritchard,eng ENG,"MF,FW",37,17,2,3,"1,783",19.8,1,0,/en/players/c5e8972f/Harry-Pritchard,c5e8972f,Harry-Pritchard
Michael Nottingham,kn SKN,DF,29,15,2,2,"1,600",17.8,1,0,/en/players/935def71/Michael-Nottingham,935def71,Michael-Nottingham
Christoffer Mafoumbi,cg CGO,GK,14,14,0,0,"1,260",14.0,2,0,/en/players/01ee9706/Christoffer-Mafoumbi,01ee9706,Christoffer-Mafoumbi
Callum Guy,eng ENG,MF,15,13,2,0,"1,095",12.2,1,0,/en/players/9a774091/Callum-Guy,9a774091,Callum-Gu
Matty Virtue,eng ENG,MF,13,11,1,3,"1,012",11.2,0,0,/en/players/a2447ed2/Matty-Virtue,2447ed2,Matty-Virtu
Joe Dodoo,eng ENG,FW,18,10,2,2,844,9.4,1,0,/en/players/beed85c7/Joe-Dodoo,beed85c7,Joe-Dodoo
Nick Anderton,eng ENG,DF,10,10,0,0,758,8.4,0,0,/en/players/cb03c4d4/Nick-Anderton,cb03c4d4,Nick-Anderto
Antony Evans,eng ENG,"MF,FW",12,9,1,0,608,6.8,1,0,/en/players/cce7087c/Antony-Evans,cce7087c,Antony-Ev
Chris Long,eng ENG,"FW,MF",17,8,0,2,742,8.2,3,0,/en/players/52c8b203/Chris-Long,52c8b203,Chris-Long
Mark Cullen,eng ENG,FW,12,8,0,2,656,7.3,1,0,/en/players/c6f5f773/Mark-Cullen,c6f5f773,Mark-Cu
Paudie O'Connor,ie IRL,DF,10,7,0,0,685,7.6,4,0,/en/players/be77b9f6/Paudie-OConnor,be77b9f6,Paudie-OConno
Chris Taylor,eng ENG,"MF,FW",12,7,1,1,572,6.4,2,0,/en/players/538bf31a/Chris-Taylor,538bf31a,Chris-Taylo
Nya Kirby,eng ENG,MF,11,6,0,1,488,5.4,1,0,/en/players/96b99d13/Nya-Kirby,96b99d13,Nya-Kirb
John O'Sullivan,ie IRL,"MF,FW",13,4,0,0,466,5.2,0,0,/en/players/6a6165d9/John-OSullivan,6a6165d9,John-OSulliv
Joe Bunney,eng ENG,"MF,DF",5,4,0,0,354,3.9,0,0,/en/players/7d4c4f3b/Joe-Bunney,7d4c4f3b,Joe-Bu
Ryan McLaughlin,nir NIR,MF,6,1,0,0,168,1.9,0,0,/en/players/98f9400a/Ryan-McLaughlin,98f9400a,Ryan-McLaughli
Myles Boney,eng ENG,GK,1,0,0,0,75,0.8,0,0,/en/players/927b36de/Myles-Boney,927b36de,Myles-Bo
Jimmy Ryan,ie IRL,MF,1,0,0,0,45,0.5,0,0,/en/players/ac732ee5/Jimmy-Ryan,c732ee5,Jimmy-R
Elias Sørensen,dk DEN,FW,1,0,0,0,33,0.4,0,0,/en/players/bcda3f33/Elias-Sorensen,bcda3f33,Elias-So
Steve Davies,eng ENG,FW,2,0,0,0,21,0.2,0,0,/en/players/c4612ab6/Steve-Davies,c4612ab6,Steve-Davi
Nathan Shaw,eng ENG,MF,0,0,,,,,,,/en/players/acee3bae/Nathan-Shaw,cee3bae,Nathan-Shaw
Finlay Sinclair-Smith,eng ENG,MF,0,0,,,,,,,/en/players/12128ae9/Finlay-Sinclair-Smith,12128ae9,Finlay-Sinclair-Smith
