2012-2013,Bochum
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Leon Goretzka,de GER,MF,32,32,5,4,"2,765",30.7,1,0,/en/players/cc86b9a3/Leon-Goretzka,cc86b9a3,Leon-Goretzk
Marcel Maltritz,de GER,"DF,MF",31,31,0,3,"2,790",31.0,7,0,/en/players/3580e8f6/Marcel-Maltritz,3580e8f6,Marcel-Maltritz
Christoph Kramer,de GER,MF,29,28,2,3,"2,412",26.8,8,0,/en/players/496aeede/Christoph-Kramer,496aeede,Christoph-Kram
Yusuke Tasaka,jp JPN,MF,28,26,4,3,"2,252",25.0,6,0,/en/players/6197b883/Yusuke-Tasaka,6197b883,Yusuke-Tasak
Carsten Rothenbach,de GER,DF,27,25,2,0,"2,244",24.9,4,0,/en/players/5a6548c8/Carsten-Rothenbach,5a6548c8,Carsten-Rothenbach
Andreas Luthe,de GER,GK,25,25,0,0,"2,171",24.1,1,0,/en/players/7fe12375/Andreas-Luthe,7fe12375,Andreas-Luth
Zlatko Dedić,si SVN,FW,30,24,2,8,"2,070",23.0,1,0,/en/players/ae04d650/Zlatko-Dedic,04d650,Zlatko-Dedic
Marc Rzatkowski,de GER,MF,25,23,10,3,"1,855",20.6,4,0,/en/players/491d3ad0/Marc-Rzatkowski,491d3ad0,Marc-Rzatkowski
Lukas Sinkiewicz,de GER,"DF,MF",22,22,0,2,"1,957",21.7,9,0,/en/players/ba0d7c89/Lukas-Sinkiewicz,ba0d7c89,Lukas-Sinkiewicz
Aleksandre Iashvili,ge GEO,"FW,MF",28,18,5,0,"1,673",18.6,4,0,/en/players/69215d39/Aleksandre-Iashvili,69215d39,Aleksandre-Iashvili
Mounir Chaftar,de GER,DF,21,17,0,0,"1,670",18.6,3,0,/en/players/60523529/Mounir-Chaftar,60523529,Mounir-Chaft
Paul Freier,de GER,MF,21,13,1,1,"1,270",14.1,2,0,/en/players/208f9757/Paul-Freier,208f9757,Paul-Frei
Michael Lumb,dk DEN,DF,13,13,0,0,"1,100",12.2,1,0,/en/players/0c0508dc/Michael-Lumb,0c0508dc,Michael-Lumb
Hólmar Örn Eyjólfsson,is ISL,"DF,MF",16,13,0,0,"1,024",11.4,2,2,/en/players/6e754273/Holmar-Orn-Eyjolfsson,6e754273,Holmar-Orn-Eyjolfsso
Jonas Acquistapace,de GER,DF,17,10,0,0,"1,070",11.9,1,0,/en/players/13e8a5f4/Jonas-Acquistapace,13e8a5f4,Jonas-Acquistapac
Kevin Scheidhauer,de GER,FW,19,9,1,3,935,10.4,4,0,/en/players/0d631a23/Kevin-Scheidhauer,0d631a23,Kevin-Scheidhau
Christoph Dabrowski,de GER,MF,14,9,1,2,711,7.9,3,1,/en/players/6792e1bc/Christoph-Dabrowski,6792e1bc,Christoph-Dabrowski
Mirkan Aydın,de GER,FW,10,7,0,3,610,6.8,0,0,/en/players/6b175f75/Mirkan-Aydin,6b175f75,Mirkan-Aydi
Philipp Heerwagen,de GER,GK,7,6,0,0,619,6.9,0,0,/en/players/56c9d013/Philipp-Heerwagen,56c9d013,Philipp-Heerwag
Florian Brügmann,de GER,"DF,MF",6,6,0,1,435,4.8,1,0,/en/players/8e0708b4/Florian-Brugmann,8e0708b4,Florian-Brugm
Faton Toski,xk KVX,MF,9,5,0,1,407,4.5,0,0,/en/players/91fd9999/Faton-Toski,91fd9999,Faton-Toski
Michael Delura,de GER,"FW,MF",14,3,1,0,470,5.2,2,0,/en/players/dd605737/Michael-Delura,dd605737,Michael-Delu
Michael Ortega,co COL,MF,9,3,0,0,308,3.4,1,0,/en/players/e5d46564/Michael-Ortega,5d46564,Michael-Orteg
Michael Esser,de GER,GK,3,3,0,0,270,3.0,1,0,/en/players/83e0eeb4/Michael-Esser,83e0eeb4,Michael-E
Nikoloz Gelashvili,ge GEO,FW,12,2,2,1,285,3.2,2,0,/en/players/efd8f114/Nikoloz-Gelashvili,fd8f114,Nikoloz-Gelashvili
Daniel Engelbrecht,de GER,FW,1,1,0,0,58,0.6,0,0,/en/players/b3909c6f/Daniel-Engelbrecht,b3909c6f,Daniel-Engelbrecht
Sören Bertram,de GER,"DF,FW",3,0,0,0,28,0.3,0,0,/en/players/35a7ed6e/Soren-Bertram,35a7ed6e,Soren-Bertram
