Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Søren Colding,dk DEN,DF,34,34,1.0,0.0,2002-2003,/en/players/085e6351/Soren-Colding,085e6351,Bochum,"3,039",33.8,4.0,0.0,9,7.0,16505,Bochum
,Paul Freier,de GER,MF,32,32,10.0,7.0,2002-2003,/en/players/208f9757/Paul-Freier,208f9757,Bochum,"2,778",30.9,5.0,0.0,9,13.0,16506,Bochum
,Dariusz Wosz,de GER,MF,30,30,3.0,2.0,2002-2003,/en/players/915a6c2b/Dariusz-Wosz,915a6c2b,Bochum,"2,525",28.1,8.0,0.0,9,13.0,16507,Bochum
,Rein van Duijnhoven,nl NED,GK,28,28,0.0,0.0,2002-2003,/en/players/da2b4497/Rein-van-Duijnhoven,da2b4497,Bochum,"2,476",27.5,0.0,0.0,9,11.0,16508,Bochum
,Thomas Christiansen,es ESP,FW,34,28,3.0,21.0,2002-2003,/en/players/955dca2f/Thomas-Christiansen,955dca2f,Bochum,"2,423",26.9,1.0,0.0,9,1.0,16509,Bochum
,Delron Buckley,za RSA,"FW,MF",30,27,5.0,3.0,2002-2003,/en/players/212eb018/Delron-Buckley,212eb018,Bochum,"2,203",24.5,5.0,0.0,9,60.0,15724,Bochum
,Raymond Kalla,cm CMR,DF,26,26,0.0,0.0,2002-2003,/en/players/371142e2/Raymond-Kalla,371142e2,Bochum,"2,318",25.8,6.0,0.0,9,36.0,16510,Bochum
,Frank Fahrenhorst,de GER,DF,26,25,0.0,3.0,2002-2003,/en/players/bd4685bb/Frank-Fahrenhorst,bd4685bb,Bochum,"2,097",23.3,4.0,0.0,9,13.0,16131,Bochum
,Þórður Guðjónsson,is ISL,"FW,MF",29,23,4.0,3.0,2002-2003,/en/players/5d10a22f/Thordur-Gudjonsson,5d10a22f,Bochum,"1,909",21.2,2.0,0.0,9,40.0,16511,Bochum
,Sebastian Schindzielorz,de GER,MF,24,22,1.0,2.0,2002-2003,/en/players/b813dfd2/Sebastian-Schindzielorz,b813dfd2,Bochum,"1,950",21.7,5.0,0.0,9,13.0,16426,Bochum
,Martin Meichelbeck,de GER,DF,22,20,1.0,0.0,2002-2003,/en/players/334aa0ee/Martin-Meichelbeck,334aa0ee,Bochum,"1,635",18.2,3.0,0.0,9,13.0,16512,Bochum
,Filip Tapalović,hr CRO,MF,20,18,0.0,1.0,2002-2003,/en/players/7e25065d/Filip-Tapalovic,7e25065d,Bochum,"1,441",16.0,2.0,0.0,9,16.0,16513,Bochum
,Sunday Oliseh,ng NGA,"DF,MF",11,11,2.0,0.0,2002-2003,/en/players/77502ae4/Sunday-Oliseh,77502ae4,Bochum,863,9.6,1.0,0.0,9,52.0,15712,Bochum
,Vahid Hashemian,ir IRN,"FW,MF",34,10,2.0,10.0,2002-2003,/en/players/5b2834ed/Vahid-Hashemian,5b2834ed,Bochum,"1,432",15.9,3.0,0.0,9,86.0,15437,Bochum
,Anton Vriesde,nl NED,DF,17,9,0.0,0.0,2002-2003,/en/players/164490d7/Anton-Vriesde,164490d7,Bochum,"1,072",11.9,4.0,0.0,9,11.0,16514,Bochum
,Michał Bemben,de GER,"DF,MF",24,8,2.0,0.0,2002-2003,/en/players/2e96f485/Michal-Bemben,2e96f485,Bochum,"1,079",12.0,2.0,0.0,9,13.0,16515,Bochum
,Thomas Reis,de GER,"DF,MF",18,8,2.0,1.0,2002-2003,/en/players/4e6e133d/Thomas-Reis,4e6e133d,Bochum,879,9.8,0.0,0.0,9,13.0,16516,Bochum
,Christian Vander,de GER,GK,7,6,0.0,0.0,2002-2003,/en/players/6e1095f4/Christian-Vander,6e1095f4,Bochum,584,6.5,0.0,0.0,9,13.0,16134,Bochum
,Sergei Mandreko,xc CIS,MF,7,5,0.0,0.0,2002-2003,/en/players/e741c65a/Sergei-Mandreko,741c65a,Bochum,440,4.9,0.0,0.0,9,118.0,16517,Bochum
,Peter Graulund,dk DEN,FW,6,2,1.0,2.0,2002-2003,/en/players/3789b1b4/Peter-Graulund,3789b1b4,Bochum,221,2.5,2.0,0.0,9,7.0,16518,Bochum
,Cristian Fiél,de GER,MF,6,1,0.0,0.0,2002-2003,/en/players/c26e065c/Cristian-Fiel,c26e065c,Bochum,150,1.7,0.0,0.0,9,13.0,16519,Bochum
,Marcus Fischer,de GER,FW,2,1,0.0,0.0,2002-2003,/en/players/621e0bf6/Marcus-Fischer,621e0bf6,Bochum,86,1.0,0.0,0.0,9,13.0,16520,Bochum
,Luciano Velardi,it ITA,"FW,MF",2,0,1.0,0.0,2002-2003,/en/players/8080f697/Luciano-Velardi,8080f697,Bochum,39,0.4,0.0,0.0,9,9.0,16521,Bochum
,David Zajas,de GER,MF,1,0,0.0,0.0,2002-2003,/en/players/25744340/David-Zajas,25744340,Bochum,11,0.1,0.0,0.0,9,13.0,16522,Bochum
,Alexander Thamm,de GER,DF,2,0,0.0,0.0,2002-2003,/en/players/b2a6baae/Alexander-Thamm,b2a6baae,Bochum,8,0.1,0.0,0.0,9,13.0,16523,Bochum
,Mirko Dickhaut,de GER,"DF,MF",1,0,0.0,0.0,2002-2003,/en/players/44f5152d/Mirko-Dickhaut,44f5152d,Bochum,4,0.0,0.0,0.0,9,13.0,16524,Bochum
,﻿Rein van Duijnhoven,nl NED,GK,34,34,0.0,0.0,2003-2004,/en/players/da2b4497/Rein-van-Duijnhoven,da2b4497,Bochum,"3,060",34.0,0.0,0.0,9,11.0,16508,Bochum
,Tomasz Zdebel,pl POL,MF,34,34,1.0,2.0,2003-2004,/en/players/30a43fc8/Tomasz-Zdebel,30a43fc8,Bochum,"2,845",31.6,4.0,0.0,9,14.0,16525,Bochum
,Søren Colding,dk DEN,DF,33,33,1.0,1.0,2003-2004,/en/players/085e6351/Soren-Colding,085e6351,Bochum,"2,940",32.7,6.0,0.0,9,7.0,16505,Bochum
,Frank Fahrenhorst,de GER,DF,33,33,1.0,7.0,2003-2004,/en/players/bd4685bb/Frank-Fahrenhorst,bd4685bb,Bochum,"2,894",32.2,2.0,0.0,9,13.0,16131,Bochum
,Peter Madsen,dk DEN,FW,32,32,4.0,13.0,2003-2004,/en/players/a26c57f1/Peter-Madsen,26c57f1,Bochum,"2,682",29.8,4.0,0.0,9,7.0,6791,Bochum
,Dariusz Wosz,de GER,MF,33,32,9.0,4.0,2003-2004,/en/players/915a6c2b/Dariusz-Wosz,915a6c2b,Bochum,"2,437",27.1,5.0,0.0,9,13.0,16507,Bochum
,Vahid Hashemian,ir IRN,"FW,MF",32,29,5.0,16.0,2003-2004,/en/players/5b2834ed/Vahid-Hashemian,5b2834ed,Bochum,"2,582",28.7,2.0,0.0,9,86.0,15437,Bochum
,Raymond Kalla,cm CMR,DF,28,28,1.0,1.0,2003-2004,/en/players/371142e2/Raymond-Kalla,371142e2,Bochum,"2,354",26.2,7.0,0.0,9,36.0,16510,Bochum
,Philipp Bönig,de GER,DF,28,28,1.0,0.0,2003-2004,/en/players/bd537d2b/Philipp-Bonig,bd537d2b,Bochum,"2,317",25.7,2.0,0.0,9,13.0,16526,Bochum
,Paul Freier,de GER,MF,27,26,6.0,1.0,2003-2004,/en/players/208f9757/Paul-Freier,208f9757,Bochum,"2,197",24.4,3.0,0.0,9,13.0,16506,Bochum
,Sunday Oliseh,ng NGA,"DF,MF",21,21,8.0,1.0,2003-2004,/en/players/77502ae4/Sunday-Oliseh,77502ae4,Bochum,"1,829",20.3,5.0,0.0,9,52.0,15712,Bochum
,Miroslav Stević,rs SRB,MF,21,11,0.0,1.0,2003-2004,/en/players/323ef7e4/Miroslav-Stevic,323ef7e4,Bochum,"1,118",12.4,4.0,0.0,9,28.0,16527,Bochum
,Mamadou Diabang,sn SEN,FW,24,7,1.0,4.0,2003-2004,/en/players/1f4c10fa/Mamadou-Diabang,1f4c10fa,Bochum,942,10.5,1.0,0.0,9,34.0,16528,Bochum
,Delron Buckley,za RSA,"FW,MF",20,6,2.0,0.0,2003-2004,/en/players/212eb018/Delron-Buckley,212eb018,Bochum,813,9.0,1.0,0.0,9,60.0,15724,Bochum
,Martin Meichelbeck,de GER,DF,12,5,0.0,4.0,2003-2004,/en/players/334aa0ee/Martin-Meichelbeck,334aa0ee,Bochum,638,7.1,4.0,0.0,9,13.0,16512,Bochum
,Anton Vriesde,nl NED,DF,10,4,0.0,0.0,2003-2004,/en/players/164490d7/Anton-Vriesde,164490d7,Bochum,522,5.8,2.0,0.0,9,11.0,16514,Bochum
,Edu,br BRA,FW,12,3,0.0,0.0,2003-2004,/en/players/97e543df/Edu,97e543df,Bochum,447,5.0,3.0,0.0,9,2.0,16282,Bochum
,Filip Tapalović,hr CRO,MF,12,3,0.0,0.0,2003-2004,/en/players/7e25065d/Filip-Tapalovic,7e25065d,Bochum,418,4.6,0.0,0.0,9,16.0,16513,Bochum
,Þórður Guðjónsson,is ISL,"FW,MF",13,3,1.0,0.0,2003-2004,/en/players/5d10a22f/Thordur-Gudjonsson,5d10a22f,Bochum,374,4.2,1.0,0.0,9,40.0,16511,Bochum
,Michał Bemben,de GER,"DF,MF",10,2,1.0,0.0,2003-2004,/en/players/2e96f485/Michal-Bemben,2e96f485,Bochum,244,2.7,0.0,0.0,9,13.0,16515,Bochum
,Bjarni Guðjónsson,is ISL,MF,3,0,0.0,1.0,2003-2004,/en/players/c94970e6/Bjarni-Gudjonsson,c94970e6,Bochum,105,1.2,1.0,0.0,9,40.0,10078,Bochum
,﻿Vratislav Lokvenc,cz CZE,FW,32,32,6.0,10.0,2004-2005,/en/players/d26feb50/Vratislav-Lokvenc,d26feb50,Bochum,"2,788",31.0,7.0,0.0,9,84.0,16529,Bochum
,Søren Colding,dk DEN,DF,31,31,0.0,0.0,2004-2005,/en/players/085e6351/Soren-Colding,085e6351,Bochum,"2,511",27.9,5.0,0.0,9,7.0,16505,Bochum
,Philipp Bönig,de GER,DF,29,28,0.0,0.0,2004-2005,/en/players/bd537d2b/Philipp-Bonig,bd537d2b,Bochum,"2,251",25.0,4.0,0.0,9,13.0,16526,Bochum
,Tomasz Zdebel,pl POL,MF,28,26,2.0,1.0,2004-2005,/en/players/30a43fc8/Tomasz-Zdebel,30a43fc8,Bochum,"2,229",24.8,11.0,0.0,9,14.0,16525,Bochum
,Marcel Maltritz,de GER,"DF,MF",26,26,0.0,2.0,2004-2005,/en/players/3580e8f6/Marcel-Maltritz,3580e8f6,Bochum,"2,219",24.7,10.0,0.0,9,13.0,15819,Bochum
,Aleksander Knavs,si SVN,DF,26,26,3.0,1.0,2004-2005,/en/players/9ae177c9/Aleksander-Knavs,9ae177c9,Bochum,"2,207",24.5,3.0,0.0,9,32.0,16530,Bochum
,Dariusz Wosz,de GER,MF,29,26,4.0,2.0,2004-2005,/en/players/915a6c2b/Dariusz-Wosz,915a6c2b,Bochum,"2,084",23.2,3.0,0.0,9,13.0,16507,Bochum
,Rein van Duijnhoven,nl NED,GK,24,24,0.0,0.0,2004-2005,/en/players/da2b4497/Rein-van-Duijnhoven,da2b4497,Bochum,"2,032",22.6,1.0,0.0,9,11.0,16508,Bochum
,Christoph Preuß,de GER,"DF,MF",30,23,2.0,2.0,2004-2005,/en/players/8b4a6fcb/Christoph-Preuss,8b4a6fcb,Bochum,"2,031",22.6,4.0,1.0,9,13.0,16531,Bochum
,Raymond Kalla,cm CMR,DF,23,23,0.0,4.0,2004-2005,/en/players/371142e2/Raymond-Kalla,371142e2,Bochum,"1,976",22.0,3.0,0.0,9,36.0,16510,Bochum
,Peter Madsen,dk DEN,FW,19,18,2.0,5.0,2004-2005,/en/players/a26c57f1/Peter-Madsen,26c57f1,Bochum,"1,578",17.5,4.0,0.0,9,7.0,6791,Bochum
,Zvjezdan Misimović,ba BIH,MF,31,17,6.0,3.0,2004-2005,/en/players/0b51984b/Zvjezdan-Misimovic,0b51984b,Bochum,"1,703",18.9,2.0,0.0,9,49.0,15430,Bochum
,Martin Meichelbeck,de GER,DF,21,16,0.0,1.0,2004-2005,/en/players/334aa0ee/Martin-Meichelbeck,334aa0ee,Bochum,"1,587",17.6,5.0,1.0,9,13.0,16512,Bochum
,Filip Trojan,cz CZE,MF,19,14,2.0,0.0,2004-2005,/en/players/68e791bb/Filip-Trojan,68e791bb,Bochum,"1,246",13.8,1.0,0.0,9,84.0,16254,Bochum
,Tommy Bechmann,dk DEN,"FW,MF",26,13,3.0,4.0,2004-2005,/en/players/87fb7b85/Tommy-Bechmann,87fb7b85,Bochum,"1,580",17.6,4.0,0.0,9,7.0,16532,Bochum
,Edu,br BRA,FW,17,11,1.0,3.0,2004-2005,/en/players/97e543df/Edu,97e543df,Bochum,"1,111",12.3,3.0,0.0,9,2.0,16282,Bochum
,Christian Vander,de GER,GK,10,8,0.0,0.0,2004-2005,/en/players/6e1095f4/Christian-Vander,6e1095f4,Bochum,848,9.4,0.0,0.0,9,13.0,16134,Bochum
,Filip Tapalović,hr CRO,MF,12,5,0.0,1.0,2004-2005,/en/players/7e25065d/Filip-Tapalovic,7e25065d,Bochum,632,7.0,1.0,0.0,9,16.0,16513,Bochum
,Mamadou Diabang,sn SEN,FW,11,3,0.0,3.0,2004-2005,/en/players/1f4c10fa/Mamadou-Diabang,1f4c10fa,Bochum,385,4.3,0.0,1.0,9,34.0,16528,Bochum
,Peter Skov-Jensen,dk DEN,GK,2,2,0.0,0.0,2004-2005,/en/players/288d8205/Peter-Skov-Jensen,288d8205,Bochum,180,2.0,0.0,0.0,9,7.0,16533,Bochum
,Michał Bemben,de GER,"DF,MF",6,1,0.0,0.0,2004-2005,/en/players/2e96f485/Michal-Bemben,2e96f485,Bochum,213,2.4,0.0,0.0,9,13.0,16515,Bochum
,Marvin Matip,cm CMR,"DF,MF",1,1,0.0,0.0,2004-2005,/en/players/97decaae/Marvin-Matip,97decaae,Bochum,45,0.5,0.0,0.0,9,36.0,16534,Bochum
,Dennis Grote,de GER,MF,5,0,,0.0,2004-2005,/en/players/49a7ada9/Dennis-Grote,49a7ada9,Bochum,80,0.9,0.0,0.0,9,13.0,16535,Bochum
,Þórður Guðjónsson,is ISL,"FW,MF",3,0,0.0,0.0,2004-2005,/en/players/5d10a22f/Thordur-Gudjonsson,5d10a22f,Bochum,53,0.6,0.0,0.0,9,40.0,16511,Bochum
,Fatih Akyel,tr TUR,DF,1,0,,0.0,2004-2005,/en/players/32588066/Fatih-Akyel,32588066,Bochum,45,0.5,0.0,0.0,9,15.0,16536,Bochum
,Gaetano Manno,de GER,"FW,MF",2,0,0.0,0.0,2004-2005,/en/players/9ad47cdd/Gaetano-Manno,9ad47cdd,Bochum,29,0.3,1.0,0.0,9,13.0,16537,Bochum
,Alexander Thamm,de GER,DF,1,0,,0.0,2004-2005,/en/players/b2a6baae/Alexander-Thamm,b2a6baae,Bochum,1,0.0,0.0,0.0,9,13.0,16523,Bochum
,﻿Daniel Imhof,ca CAN,MF,33,33,2.0,3.0,2005-2006,/en/players/caf6221b/Daniel-Imhof,caf6221b,Bochum,"2,690",29.9,3.0,0.0,9,44.0,16538,Bochum
,Zvjezdan Misimović,ba BIH,MF,31,31,6.0,11.0,2005-2006,/en/players/0b51984b/Zvjezdan-Misimovic,0b51984b,Bochum,"2,631",29.2,11.0,2.0,9,49.0,15430,Bochum
,Tomasz Zdebel,pl POL,MF,30,30,5.0,2.0,2005-2006,/en/players/30a43fc8/Tomasz-Zdebel,30a43fc8,Bochum,"2,689",29.9,15.0,0.0,9,14.0,16525,Bochum
,Edu,br BRA,FW,33,29,2.0,12.0,2005-2006,/en/players/97e543df/Edu,97e543df,Bochum,"2,332",25.9,7.0,0.0,9,2.0,16282,Bochum
,Marcel Maltritz,de GER,"DF,MF",29,28,0.0,2.0,2005-2006,/en/players/3580e8f6/Marcel-Maltritz,3580e8f6,Bochum,"2,488",27.6,4.0,1.0,9,13.0,15819,Bochum
