2009-2010,Bologna
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Daniele Portanova,it ITA,DF,36,36,0,2,"3,196",35.5,8,0,/en/players/19dee7dd/Daniele-Portanova,19dee7dd,Daniele-Portanov
Emiliano Viviano,it ITA,GK,34,34,0,0,"3,060",34.0,1,0,/en/players/03760df0/Emiliano-Viviano,03760df0,Emiliano-Viviano
Salvatore Lanna,it ITA,DF,33,33,1,0,"2,970",33.0,8,0,/en/players/2a630473/Salvatore-Lanna,2a630473,Salvatore-L
Roberto Guana,it ITA,MF,34,33,0,1,"2,871",31.9,6,0,/en/players/65fcaf78/Roberto-Guana,65fcaf78,Roberto-Gu
Andrea Raggi,it ITA,DF,31,30,0,1,"2,639",29.3,4,1,/en/players/bd4f5f94/Andrea-Raggi,bd4f5f94,Andrea-Raggi
Marco Di Vaio,it ITA,FW,30,28,2,12,"2,328",25.9,3,1,/en/players/dfa05223/Marco-Di-Vaio,dfa05223,Marco-Di-Vaio
Adaílton,br BRA,FW,31,24,4,11,"1,967",21.9,1,0,/en/players/06e3ae04/Adailton,06e3ae04,Adailto
Marcelo Zalayeta,uy URU,FW,29,23,1,4,"2,015",22.4,3,0,/en/players/707e472c/Marcelo-Zalayeta,707e472c,Marcelo-Zalayet
Gaby Mudingayi,be BEL,MF,28,21,0,1,"2,061",22.9,9,0,/en/players/d4a01bb2/Gaby-Mudingayi,d4a01bb2,Gaby-Mudingayi
Miguel Britos,uy URU,DF,23,21,0,0,"1,866",20.7,6,1,/en/players/356a9a62/Miguel-Britos,356a9a62,Miguel-Brito
Nicola Mingazzini,it ITA,MF,24,18,2,0,"1,485",16.5,5,0,/en/players/832f7562/Nicola-Mingazzini,832f7562,Nicola-Mingazzini
Vangelis Moras,gr GRE,DF,20,17,0,0,"1,525",16.9,1,0,/en/players/bffec2a8/Vangelis-Moras,bffec2a8,Vangelis-Mo
Antonio Buscè,it ITA,MF,17,16,2,2,"1,475",16.4,1,0,/en/players/b1bc049c/Antonio-Busce,b1bc049c,Antonio-Busc
Francesco Valiani,it ITA,MF,19,15,0,0,"1,261",14.0,4,0,/en/players/825f6296/Francesco-Valiani,825f6296,Francesco-Valiani
Cristian Zenoni,it ITA,DF,16,12,0,0,"1,083",12.0,5,0,/en/players/e5f3120a/Cristian-Zenoni,5f3120a,Cristian-Zenoni
Francesco Modesto,it ITA,"DF,MF",13,11,1,0,850,9.4,1,0,/en/players/9dd47fba/Francesco-Modesto,9dd47fba,Francesco-Modesto
Federico Casarini,it ITA,MF,19,10,1,0,"1,099",12.2,1,0,/en/players/0d72be2a/Federico-Casarini,0d72be2a,Federico-Casarini
Luca Vigiani,it ITA,MF,11,6,0,0,530,5.9,0,0,/en/players/bdb0a338/Luca-Vigiani,bdb0a338,Luca-Vigiani
Giacomo Tedesco,it ITA,MF,8,5,1,0,483,5.4,2,0,/en/players/f3ae87af/Giacomo-Tedesco,f3ae87af,Giacomo-Tedesco
Dani Osvaldo,it ITA,FW,13,4,0,3,541,6.0,1,0,/en/players/3f0eba4f/Dani-Osvaldo,3f0eba4f,Dani-Osvaldo
Henry Giménez,uy URU,"FW,MF",18,4,1,3,524,5.8,0,0,/en/players/26aaaaa2/Henry-Gimenez,26aaaaa2,Henry-Gimenez
Davide Bombardini,it ITA,MF,9,4,0,0,428,4.8,1,0,/en/players/28be81c9/Davide-Bombardini,28be81c9,Davide-Bombardini
Roberto Colombo,it ITA,GK,4,4,0,0,360,4.0,0,0,/en/players/3b01efe2/Roberto-Colombo,3b01efe2,Roberto-Colombo
Massimo Mutarelli,it ITA,MF,7,3,0,0,187,2.1,1,0,/en/players/4a5cc942/Massimo-Mutarelli,4a5cc942,Massimo-Mutarelli
Davide Succi,it ITA,FW,10,2,1,0,253,2.8,0,0,/en/players/fc8f7e20/Davide-Succi,fc8f7e20,Davide-Succi
Rafael Santos,br BRA,DF,2,2,0,0,180,2.0,0,0,/en/players/30c87919/Rafael-Santos,30c87919,Rafael-Santo
Stephen Appiah,gh GHA,MF,2,1,0,0,110,1.2,0,0,/en/players/c4fb13cc/Stephen-Appiah,c4fb13cc,Stephen-Appiah
Andrea Pisanu,it ITA,"FW,MF",2,1,0,0,95,1.1,0,0,/en/players/8691c4b3/Andrea-Pisanu,8691c4b3,Andrea-Pisanu
Savio Nsereko,ug UGA,"FW,MF",2,0,0,0,43,0.5,0,0,/en/players/d095eaca/Savio-Nsereko,d095eaca,Savio-Nsereko
Massimo Marazzina,it ITA,FW,4,0,0,0,39,0.4,0,0,/en/players/8b0f45d8/Massimo-Marazzina,8b0f45d8,Massimo-Marazzi
Alessandro Bassoli,it ITA,DF,1,0,0,0,14,0.2,0,0,/en/players/87dfa187/Alessandro-Bassoli,87dfa187,Alessandro-Bassoli
