2007-2008,Bolton-Wanderers
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Kevin Nolan,eng ENG,MF,33,33,3,5,"2,765",30.7,10,0,/en/players/3d307105/Kevin-Nolan,3d307105,Kevin-No
Andy O'Brien,ie IRL,DF,32,31,1,0,"2,821",31.3,5,0,/en/players/1719f6b2/Andy-OBrien,1719f6b2,Andy-OBri
Kevin Davies,eng ENG,FW,32,31,4,3,"2,640",29.3,10,0,/en/players/2f726a89/Kevin-Davies,2f726a89,Kevin-Davi
El Hadji Diouf,sn SEN,"FW,MF",34,30,6,4,"2,637",29.3,11,0,/en/players/1a4542c8/El-Hadji-Diouf,1a4542c8,El-Hadji-Diouf
Jussi Jääskeläinen,fi FIN,GK,28,28,1,0,"2,520",28.0,1,0,/en/players/340d2a24/Jussi-Jaaskelainen,340d2a24,Jussi-Jaaskelai
Ricardo Gardner,jm JAM,"DF,MF",26,25,1,0,"2,223",24.7,2,0,/en/players/b6a1eaa0/Ricardo-Gardner,b6a1eaa0,Ricardo-Gard
Iván Campo,es ESP,"DF,MF",27,25,1,1,"2,059",22.9,8,0,/en/players/b655e58d/Ivan-Campo,b655e58d,Ivan-Campo
Gavin McCann,eng ENG,MF,31,21,0,1,"2,020",22.4,5,0,/en/players/d1e78f75/Gavin-McCann,d1e78f75,Gavin-McC
Danny Guthrie,eng ENG,MF,25,21,0,0,"1,900",21.1,4,0,/en/players/fff10a46/Danny-Guthrie,fff10a46,Danny-Guthri
Abdoulaye Méïté,ci CIV,DF,21,21,0,0,"1,800",20.0,1,0,/en/players/2b548af1/Abdoulaye-Meite,2b548af1,Abdoulaye-Meit
Nicolas Anelka,fr FRA,FW,18,18,3,10,"1,609",17.9,0,0,/en/players/931ed5e9/Nicolas-Anelka,931ed5e9,Nicolas-Anelk
Grétar Steinsson,is ISL,DF,16,16,1,0,"1,391",15.5,2,0,/en/players/a79e86c4/Gretar-Steinsson,79e86c4,Gretar-Steinsso
Matthew Taylor,eng ENG,"DF,MF",16,16,2,3,"1,366",15.2,1,0,/en/players/3b2c9cac/Matthew-Taylor,3b2c9cac,Matthew-Taylo
Joey O'Brien,ie IRL,"DF,MF",19,15,1,0,"1,321",14.7,2,0,/en/players/ce46f501/Joey-OBrien,ce46f501,Joey-OBri
Jlloyd Samuel,tt TRI,"DF,MF",20,14,0,0,"1,312",14.6,1,0,/en/players/efc9ff16/Jlloyd-Samuel,fc9ff16,Jlloyd-Samu
Gary Cahill,eng ENG,DF,13,13,0,0,"1,148",12.8,0,0,/en/players/7914b9fe/Gary-Cahill,7914b9fe,Gary-Cahi
Nicky Hunt,eng ENG,DF,14,12,0,0,"1,096",12.2,6,0,/en/players/0e9b2f57/Nicky-Hunt,0e9b2f57,Nicky-Hunt
Gary Speed,wls WAL,MF,14,11,0,1,968,10.8,2,0,/en/players/5ca13d11/Gary-Speed,5ca13d11,Gary-Speed
Ali Al-Habsi,om OMA,GK,10,10,0,0,900,10.0,0,0,/en/players/032f766b/Ali-Al-Habsi,032f766b,Ali-Al-Habsi
Gérald Cid,fr FRA,DF,7,6,0,0,509,5.7,0,0,/en/players/33433569/Gerald-Cid,33433569,Gerald-Cid
Ľubomír Michalík,sk SVK,DF,7,5,1,0,496,5.5,1,0,/en/players/3ae06b45/Lubomir-Michalik,3ae06b45,Lubomir-Michalik
Mikel Alonso,es ESP,MF,7,4,0,0,360,4.0,0,0,/en/players/eab32eb2/Mikel-Alonso,b32eb2,Mikel-Alonso
Tamir Cohen,il ISR,MF,10,3,0,1,297,3.3,1,0,/en/players/d1b983de/Tamir-Cohen,d1b983de,Tamir-Coh
Heiðar Helguson,is ISL,FW,6,3,0,2,273,3.0,1,0,/en/players/5491eca5/Heidar-Helguson,5491eca5,Heidar-Helguso
Grzegorz Rasiak,pl POL,FW,7,2,0,0,284,3.2,1,0,/en/players/b1808048/Grzegorz-Rasiak,b1808048,Grzegorz-Rasiak
Stelios Giannakopoulos,gr GRE,"FW,MF",15,1,0,2,301,3.3,0,0,/en/players/29a5f7d3/Stelios-Giannakopoulos,29a5f7d3,Stelios-Giannakopoulo
Abdoulaye Faye,sn SEN,"DF,MF",1,1,0,0,90,1.0,0,0,/en/players/99df1bff/Abdoulaye-Faye,99df1bff,Abdoulaye-F
Andranik Teymourian,ir IRN,MF,3,1,0,0,79,0.9,0,0,/en/players/dec2c4e1/Andranik-Teymourian,dec2c4e1,Andranik-Teymouri
Ricardo Vaz Tê,pt POR,"FW,MF",1,1,0,0,45,0.5,0,0,/en/players/238aa706/Ricardo-Vaz-Te,238aa706,Ricardo-Vaz-T
Christian Wilhelmsson,se SWE,MF,8,0,0,0,241,2.7,0,0,/en/players/a98823f2/Christian-Wilhelmsson,98823f2,Christian-Wilhelmsso
Daniel Braaten,no NOR,"FW,MF",6,0,0,1,150,1.7,0,0,/en/players/81a4581a/Daniel-Braaten,81a4581a,Daniel-Braat
