2014-2015,Bordeaux
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Cédric Carrasso,fr FRA,GK,37,37,0,0,"3,251",36.1,2,0,/en/players/17f5a888/Cedric-Carrasso,17f5a888,Cedric-Carrasso
Nicolas Pallois,fr FRA,DF,33,33,0,0,"2,926",32.5,2,1,/en/players/779847d6/Nicolas-Pallois,779847d6,Nicolas-Palloi
Jaroslav Plašil,cz CZE,MF,34,31,3,0,"2,816",31.3,3,1,/en/players/516dc25b/Jaroslav-Plasil,516dc25b,Jaroslav-Plasi
Mariano,br BRA,"DF,MF",31,31,3,1,"2,776",30.8,5,0,/en/players/e26f559f/Mariano,26f559f,Mariano
Wahbi Khazri,tn TUN,"FW,MF",32,29,5,9,"2,362",26.2,8,0,/en/players/2677a1de/Wahbi-Khazri,2677a1de,Wahbi-Khazri
Diego Rolán,uy URU,"FW,MF",36,28,3,15,"2,476",27.5,2,0,/en/players/d1491e00/Diego-Rolan,d1491e00,Diego-Ro
Grégory Sertic,fr FRA,MF,27,24,0,1,"2,089",23.2,6,0,/en/players/c4527123/Gregory-Sertic,c4527123,Gregory-Sertic
Diego Contento,de GER,DF,25,23,3,0,"1,983",22.0,8,0,/en/players/15a21c79/Diego-Contento,15a21c79,Diego-Contento
Lamine Sané,sn SEN,"DF,MF",23,22,1,1,"1,930",21.4,1,1,/en/players/125cb9fe/Lamine-Sane,125cb9fe,Lamine-S
Thomas Touré,ci CIV,"FW,MF",23,16,3,2,"1,512",16.8,4,0,/en/players/d72db2f5/Thomas-Toure,d72db2f5,Thomas-Tou
Nicolas Maurice-Belay,fr FRA,"FW,MF",32,15,4,2,"1,637",18.2,0,0,/en/players/8a8e4f0c/Nicolas-Maurice-Belay,8a8e4f0c,Nicolas-Maurice-B
Cédric Yamberé,cf CTA,DF,16,15,0,1,"1,181",13.1,2,0,/en/players/1c344204/Cedric-Yambere,1c344204,Cedric-Yamb
Clément Chantôme,fr FRA,MF,13,13,2,0,"1,170",13.0,4,0,/en/players/f1df248c/Clement-Chantome,f1df248c,Clement-Chantom
Cheick Diabaté,ml MLI,FW,15,13,2,8,"1,076",12.0,1,1,/en/players/95cfe655/Cheick-Diabate,95cfe655,Cheick-Diabat
Isaac Kiese Thelin,se SWE,FW,15,12,3,1,"1,031",11.5,2,0,/en/players/b956af7d/Isaac-Kiese-Thelin,b956af7d,Isaac-Kiese-Theli
Tiago Ilori,pt POR,DF,12,12,0,1,"1,016",11.3,2,0,/en/players/a64b4786/Tiago-Ilori,64b4786,Tiago-Ilori
Maxime Poundjé,fr FRA,DF,12,12,1,1,959,10.7,1,0,/en/players/b92edde2/Maxime-Poundje,b92edde2,Maxime-Poundj
Julien Faubert,fr FRA,"DF,FW",13,11,0,0,969,10.8,0,0,/en/players/525642e0/Julien-Faubert,525642e0,Julien-Faubert
André Biyogo Poko,ga GAB,MF,16,11,0,0,898,10.0,2,1,/en/players/77b8d8f1/Andre-Biyogo-Poko,77b8d8f1,Andre-Biyogo-Poko
Abdou Traoré,ml MLI,MF,17,8,0,0,702,7.8,1,0,/en/players/bb1e9544/Abdou-Traore,bb1e9544,Abdou-Trao
Henri Saivet,sn SEN,"FW,MF",14,7,0,0,735,8.2,2,0,/en/players/f3709655/Henri-Saivet,f3709655,Henri-Saivet
Marc Planus,fr FRA,DF,8,6,0,1,470,5.2,1,0,/en/players/d73c1b19/Marc-Planus,d73c1b19,Marc-Planu
Emiliano Sala,ar ARG,FW,11,4,0,1,513,5.7,1,0,/en/players/5d59e0df/Emiliano-Sala,5d59e0df,Emiliano-S
Younès Kaabouni,fr FRA,MF,12,2,0,0,404,4.5,0,0,/en/players/df7f88f0/Younes-Kaabouni,df7f88f0,Younes-Kaabouni
Enzo Crivelli,fr FRA,FW,11,1,1,1,246,2.7,1,0,/en/players/06f33dc8/Enzo-Crivelli,06f33dc8,Enzo-Crivelli
Frederic Guilbert,fr FRA,"DF,MF",3,1,0,0,170,1.9,1,0,/en/players/5d8d7454/Frederic-Guilbert,5d8d7454,Frederic-Guilbert
Ažbe Jug,si SVN,GK,2,1,0,0,169,1.9,0,0,/en/players/e47bb609/Azbe-Jug,47bb609,Azbe-Jug
Sessi D'Almeida,bj BEN,MF,2,0,0,0,38,0.4,0,0,/en/players/2c574121/Sessi-DAlmeida,2c574121,Sessi-DAlmeid
Hadi Sacko,ml MLI,"FW,MF",2,0,0,0,15,0.2,0,0,/en/players/8747700e/Hadi-Sacko,8747700e,Hadi-Sacko
David Djigla,bj BEN,"FW,MF",1,0,0,0,4,0.0,0,0,/en/players/f909a9f1/David-Djigla,f909a9f1,David-Djig
Clément Badin,fr FRA,MF,0,0,,,,,,,/en/players/b53b92d9/Clement-Badin,b53b92d9,Clement-Badi
Robin Maulun,fr FRA,MF,0,0,,,,,,,/en/players/b1940817/Robin-Maulun,b1940817,Robin-Maulu
Jérôme Prior,fr FRA,GK,0,0,,,,,,,/en/players/1061c207/Jerome-Prior,1061c207,Jerome-Prio
David Sambissa,ga GAB,DF,0,0,,,,,,,/en/players/e3c2a24e/David-Sambissa,3c2a24e,David-Sambi
Kévin Soni,cm CMR,MF,0,0,,,,,,,/en/players/6435143e/Kevin-Soni,6435143e,Kevin-Soni
Baba Traoré,ml MLI,DF,0,0,,,,,,,/en/players/1d3dc15b/Baba-Traore,1d3dc15b,Baba-Trao
