2009-2010,Boulogne
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Damien Marcq,fr FRA,"DF,MF",34,33,2,1,"2,865",31.8,10,0,/en/players/b9a2792f/Damien-Marcq,b9a2792f,Damien-Marcq
Yohan Lachor,fr FRA,DF,29,29,0,0,"2,575",28.6,6,1,/en/players/4bcc1868/Yohan-Lachor,4bcc1868,Yohan-Lacho
Alexandre Cuvillier,fr FRA,"FW,MF",34,28,3,4,"2,448",27.2,6,0,/en/players/4d70a1a0/Alexandre-Cuvillier,4d70a1a0,Alexandre-Cuvilli
Jean-François Bédénik,fr FRA,GK,25,25,0,0,"2,250",25.0,1,0,/en/players/b290fb9c/Jean-Francois-Bedenik,b290fb9c,Jean-Francois-Bedenik
Nicolas Rabuel,fr FRA,DF,23,23,0,0,"1,933",21.5,2,0,/en/players/4d4a79ce/Nicolas-Rabuel,4d4a79ce,Nicolas-Rabu
Laurent Agouazi,dz ALG,MF,25,20,2,1,"1,696",18.8,10,0,/en/players/114e5717/Laurent-Agouazi,114e5717,Laurent-Agouazi
Antony Lecointe,fr FRA,DF,22,19,2,0,"1,770",19.7,3,0,/en/players/63ba1663/Antony-Lecointe,63ba1663,Antony-Lecoint
Guillaume Ducatel,fr FRA,MF,27,19,1,1,"1,579",17.5,4,1,/en/players/c7dfd075/Guillaume-Ducatel,c7dfd075,Guillaume-Ducat
Frédéric Da Rocha,fr FRA,MF,30,18,1,0,"1,731",19.2,3,0,/en/players/be2110c6/Frederic-Da-Rocha,be2110c6,Frederic-Da-Roch
Bakary Soumaré,ml MLI,DF,20,18,0,0,"1,531",17.0,1,1,/en/players/20fec792/Bakary-Soumare,20fec792,Bakary-Soum
Guillaume Borne,fr FRA,DF,17,16,0,0,"1,312",14.6,1,0,/en/players/b7beff63/Guillaume-Borne,b7beff63,Guillaume-Bo
Bira Dembélé,fr FRA,DF,22,15,1,1,"1,467",16.3,5,0,/en/players/35e73d23/Bira-Dembele,35e73d23,Bira-Demb
Olivier Kapo,fr FRA,"FW,MF",16,15,0,2,"1,185",13.2,4,0,/en/players/992c2db8/Olivier-Kapo,992c2db8,Olivier-Kapo
Jérémy Blayac,fr FRA,FW,22,14,0,6,"1,385",15.4,2,0,/en/players/d9afac11/Jeremy-Blayac,d9afac11,Jeremy-Blayac
Zargo Touré,sn SEN,"DF,MF",14,13,0,0,"1,093",12.1,2,0,/en/players/a32d6732/Zargo-Toure,32d6732,Zargo-Tou
Grégory Thil,fr FRA,FW,15,12,2,4,"1,093",12.1,0,0,/en/players/3cedf1c4/Gregory-Thil,3cedf1c4,Gregory-Thi
Olubayo Adefemi,ng NGA,"DF,MF",13,11,0,1,"1,038",11.5,3,1,/en/players/e51ecd42/Olubayo-Adefemi,51ecd42,Olubayo-Adefemi
Mustapha Yatabaré,ml MLI,"FW,MF",17,9,1,2,931,10.3,0,0,/en/players/398dc4f4/Mustapha-Yatabare,398dc4f4,Mustapha-Yatab
Ovidy Karuru,zw ZIM,"FW,MF",14,9,1,1,874,9.7,1,0,/en/players/fe7444ee/Ovidy-Karuru,fe7444ee,Ovidy-Karuru
Mathieu Valverde,fr FRA,GK,9,9,0,0,810,9.0,0,0,/en/players/5732d732/Mathieu-Valverde,5732d732,Mathieu-Valverd
Habib Bellaïd,dz ALG,DF,9,9,0,0,804,8.9,3,0,/en/players/40df1044/Habib-Bellaid,40df1044,Habib-Bellaid
Damien Perrinelle,fr FRA,DF,11,8,0,1,796,8.8,2,0,/en/players/7a4098dd/Damien-Perrinelle,7a4098dd,Damien-Perri
Matt Moussilou,cg CGO,FW,15,8,0,1,689,7.7,0,0,/en/players/ac44c266/Matt-Moussilou,c44c266,Matt-Moussilou
Kévin das Neves,fr FRA,DF,8,8,0,0,647,7.2,2,1,/en/players/f3138723/Kevin-das-Neves,f3138723,Kevin-das-Nev
Johann Ramaré,fr FRA,MF,17,6,0,1,672,7.5,0,0,/en/players/66b82457/Johann-Ramare,66b82457,Johann-Ram
