2008-2009,Burnley
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Graham Alexander,sct SCO,"DF,MF",46,46,5,9,"4,112",45.7,1,0,/en/players/44317668/Graham-Alexander,44317668,Graham-Alexand
Brian Jensen,dk DEN,GK,45,45,0,0,"4,050",45.0,1,0,/en/players/d6a6a1f4/Brian-Jensen,d6a6a1f4,Brian-J
Steven Caldwell,sct SCO,DF,45,45,1,2,"3,959",44.0,4,1,/en/players/6839f68e/Steven-Caldwell,6839f68e,Steven-Caldw
Chris McCann,ie IRL,"DF,MF",44,44,3,6,"3,879",43.1,1,0,/en/players/a6fdaa90/Chris-McCann,6fdaa90,Chris-McC
Wade Elliott,eng ENG,MF,42,41,7,4,"3,513",39.0,5,0,/en/players/20435992/Wade-Elliott,20435992,Wade-Elliott
Martin Paterson,nir NIR,FW,43,39,4,12,"3,226",35.8,7,0,/en/players/53daa1e9/Martin-Paterson,53daa1e9,Martin-Paterso
Clarke Carlisle,eng ENG,DF,36,36,2,4,"3,187",35.4,9,1,/en/players/4128d875/Clarke-Carlisle,4128d875,Clarke-Carli
Robbie Blake,eng ENG,"FW,MF",46,33,11,8,"2,758",30.6,3,0,/en/players/ddc0a1fd/Robbie-Blake,ddc0a1fd,Robbie-Blak
Chris Eagles,eng ENG,MF,43,30,6,7,"2,802",31.1,3,1,/en/players/92aadee9/Chris-Eagles,92aadee9,Chris-Eag
Stephen Jordan,eng ENG,DF,27,26,0,0,"2,360",26.2,8,1,/en/players/1a3d94b5/Stephen-Jordan,1a3d94b5,Stephen-Jord
Steven Thompson,sct SCO,FW,34,23,2,7,"1,902",21.1,5,1,/en/players/20f187ba/Steven-Thompson,20f187ba,Steven-Thompso
Michael Duff,nir NIR,DF,27,22,0,1,"1,915",21.3,2,1,/en/players/eabdc970/Michael-Duff,bdc970,Michael-Duff
Christian Kalvenes,no NOR,"DF,MF",21,21,0,1,"1,798",20.0,6,0,/en/players/c3fc2817/Christian-Kalvenes,c3fc2817,Christian-Kalv
Joey Guðjónsson,is ISL,MF,39,20,2,6,"1,930",21.4,4,0,/en/players/b79e0fde/Joey-Gudjonsson,b79e0fde,Joey-Gudjonsso
Rhys Williams,au AUS,"DF,MF",16,16,1,0,"1,394",15.5,2,0,/en/players/a65030a2/Rhys-Williams,65030a2,Rhys-William
Kevin McDonald,sct SCO,MF,25,9,1,1,959,10.7,5,0,/en/players/71a08f97/Kevin-McDonald,71a08f97,Kevin-McDonald
Russell Anderson,sct SCO,DF,4,4,0,0,360,4.0,1,0,/en/players/a4a074f3/Russell-Anderson,4a074f3,Russell-Anderso
Jay Rodriguez,eng ENG,"FW,MF",25,2,0,2,610,6.8,0,0,/en/players/4ab53cdb/Jay-Rodriguez,4ab53cdb,Jay-Rodriguez
Ade Akinbiyi,ng NGA,FW,11,1,0,0,211,2.3,1,0,/en/players/6a723914/Ade-Akinbiyi,6a723914,Ade-Akinbiyi
Diego Penny,pe PER,GK,1,1,0,0,90,1.0,0,0,/en/players/1c9dc17f/Diego-Penny,1c9dc17f,Diego-P
Remco van der Schaaf,nl NED,"DF,MF",1,1,0,0,58,0.6,0,0,/en/players/7de5608a/Remco-van-der-Schaaf,7de5608a,Remco-van-der-Schaaf
Alan Mahon,ie IRL,MF,8,0,1,1,166,1.8,0,0,/en/players/fbe1f1d0/Alan-Mahon,fbe1f1d0,Alan-Maho
Alex MacDonald,sct SCO,"FW,MF",3,0,0,0,29,0.3,0,0,/en/players/1c3a435a/Alex-MacDonald,1c3a435a,Alex-MacDonald
