2018-2019,Cadiz
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Alberto Cifuentes,es ESP,GK,41,41,0,0,"3,690",41.0,4,0,/en/players/94084f83/Alberto-Cifuentes,94084f83,Alberto-Cifuent
Rober Correa,es ESP,DF,37,37,3,1,"3,153",35.0,9,0,/en/players/46bd3a5b/Rober-Correa,46bd3a5b,Rober-Co
José Mari,es ESP,MF,34,32,0,1,"2,745",30.5,12,1,/en/players/6f4c734d/Jose-Mari,6f4c734d,Jose-Mari
Manu Vallejo,es ESP,"MF,FW",33,31,3,8,"2,660",29.6,3,0,/en/players/0bc4e720/Manu-Vallejo,0bc4e720,Manu-Vallejo
Ivan Kecojević,me MNE,DF,30,29,0,2,"2,518",28.0,4,1,/en/players/83e49f90/Ivan-Kecojevic,83e49f90,Ivan-Kecojevic
Jairo Izquierdo,es ESP,MF,31,27,4,3,"2,481",27.6,2,1,/en/players/2ceb58ab/Jairo-Izquierdo,2ceb58ab,Jairo-Izquierdo
Álex Fernández,es ESP,MF,40,26,6,6,"2,603",28.9,3,0,/en/players/aa677a35/Alex-Fernandez,677a35,Alex-Fernandez
Marcos Mauro López Gutiérrez,ar ARG,DF,25,24,0,2,"2,124",23.6,3,1,/en/players/b3b62f94/Marcos-Mauro-Lopez-Gutierrez,b3b62f94,Marcos-Mauro-Lopez-Gutierrez
Sergio Sánchez,es ESP,DF,22,22,1,1,"1,915",21.3,5,0,/en/players/83a83b0a/Sergio-Sanchez,83a83b0a,Sergio-Sanchez
Jose Matos,es ESP,DF,21,21,0,0,"1,736",19.3,4,0,/en/players/19fdd28f/Jose-Matos,19fdd28f,Jose-Mato
Jon Ander Garrido,es ESP,MF,22,20,1,1,"1,848",20.5,10,0,/en/players/c46736ab/Jon-Ander-Garrido,c46736ab,Jon-Ander-Garrido
Dejan Lekić,rs SRB,FW,29,20,3,4,"1,620",18.0,5,0,/en/players/f73b1a65/Dejan-Lekic,f73b1a65,Dejan-Lekic
Ager Aketxe,es ESP,MF,33,19,4,4,"1,801",20.0,4,0,/en/players/c5eaff5c/Ager-Aketxe,c5eaff5c,Ager-Aketx
Salvi,es ESP,MF,32,18,3,2,"1,807",20.1,4,0,/en/players/405f267a/Salvi,405f267a,Salvi
Edu Ramos,es ESP,"MF,DF",24,17,0,1,"1,411",15.7,6,0,/en/players/e6793b40/Edu-Ramos,6793b40,Edu-Ramo
Brian Oliván,es ESP,DF,15,15,0,0,"1,271",14.1,3,0,/en/players/a3e4bf46/Brian-Olivan,3e4bf46,Brian-Oliv
Darwin Machís,ve VEN,"MF,FW",15,14,1,8,"1,215",13.5,3,0,/en/players/ed6ea4d9/Darwin-Machis,d6ea4d9,Darwin-Machi
David Querol,es ESP,"FW,MF",12,7,1,1,669,7.4,3,0,/en/players/260a29e9/David-Querol,260a29e9,David-Quero
Mario Barco,es ESP,FW,8,6,1,0,436,4.8,1,0,/en/players/e8a9b6d5/Mario-Barco,8a9b6d5,Mario-Barco
Alfonso Espino,uy URU,DF,5,5,1,0,429,4.8,0,0,/en/players/db001fa9/Alfonso-Espino,db001fa9,Alfonso-Espino
David Carmona,es ESP,DF,7,4,0,0,418,4.6,2,0,/en/players/ed922d43/David-Carmona,d922d43,David-Carmo
Fali,es ESP,"DF,MF",4,4,0,0,360,4.0,1,0,/en/players/72a84002/Fali,72a84002,Fali
Salvador Agra,pt POR,MF,6,4,0,0,262,2.9,1,0,/en/players/a130741a/Salvador-Agra,130741a,Salvador-Ag
Alberto Perea,es ESP,MF,7,2,1,0,224,2.5,0,0,/en/players/5496cc91/Alberto-Perea,5496cc91,Alberto-P
José Ángel Carrillo,es ESP,FW,11,1,0,1,274,3.0,1,0,/en/players/7beb6364/Jose-Angel-Carrillo,7beb6364,Jose-Angel-Carrillo
Vincenzo Rennella,it ITA,FW,7,1,1,1,234,2.6,3,0,/en/players/b3c467b4/Vincenzo-Rennella,b3c467b4,Vincenzo-R
Đorđe Jovanović,rs SRB,FW,6,1,1,0,157,1.7,1,0,/en/players/8e19242c/Djordje-Jovanovic,8e19242c,Djordje-Jovanovic
Dani Romera,es ESP,FW,8,1,0,2,126,1.4,1,0,/en/players/b2855ce9/Dani-Romera,b2855ce9,Dani-Rom
Servando Sánchez,es ESP,DF,2,1,0,0,121,1.3,0,0,/en/players/e9e18df6/Servando-Sanchez,9e18df6,Servando-Sanchez
Sergio González,es ESP,DF,2,1,0,0,103,1.1,0,0,/en/players/5dd16ace/Sergio-Gonzalez,5dd16ace,Sergio-Gonzalez
Juan Hernández,es ESP,MF,2,0,0,0,41,0.5,0,0,/en/players/1fc3c3d7/Juan-Hernandez,1fc3c3d7,Juan-Hernandez
Karim Azamoum,fr FRA,MF,3,0,0,0,31,0.3,0,0,/en/players/eaf71a5e/Karim-Azamoum,f71a5e,Karim-Azamoum
Cristian Arco,es ESP,GK,0,0,,,,,,,/en/players/b2c5d4c8/Cristian-Arco,b2c5d4c8,Cristian-Arco
Saturday Erimuya,ng NGA,DF,0,0,,,,,,,/en/players/925ddcd7/Saturday-Erimuya,925ddcd7,Saturday-Erimu
David Gil,es ESP,GK,0,0,,,,,,,/en/players/fea23125/David-Gil,fea23125,David-Gi
Javier Navarro,es ESP,MF,0,0,,,,,,,/en/players/d6626d37/Javier-Navarro,d6626d37,Javier-Navarro
Aleksandar Pantić,rs SRB,DF,0,0,,,,,,,/en/players/70e5566a/Aleksandar-Pantic,70e5566a,Aleksandar-Pantic
Israel Peter,ng NGA,FW,0,0,,,,,,,/en/players/2057f4b2/Israel-Peter,2057f4b2,Israel-Pet
