Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB
,﻿Anthony Deroin,fr FRA,MF,37,34,4.0,2.0,2004-2005,c5fd02d9,Caen,"3,065",34.1,6.0,0.0,102.0,4.0,
,Frédéric Danjou,fr FRA,DF,31,31,0.0,0.0,2004-2005,de57e4ef,Caen,"2,765",30.7,8.0,0.0,102.0,4.0,
,Ronald Zubar,fr FRA,DF,34,28,0.0,1.0,2004-2005,57935ba0,Caen,"2,550",28.3,6.0,0.0,102.0,4.0,
,Aziz Ben Askar,ma MAR,DF,28,28,0.0,1.0,2004-2005,4547f0b,Caen,"2,520",28.0,4.0,0.0,102.0,26.0,
,Sébastien Mazure,fr FRA,FW,32,28,6.0,13.0,2004-2005,70fa6194,Caen,"2,519",28.0,1.0,0.0,102.0,4.0,
,Cédric Hengbart,fr FRA,DF,30,27,3.0,2.0,2004-2005,317110a9,Caen,"2,375",26.4,5.0,1.0,102.0,4.0,
,Ibrahima Faye,sn SEN,DF,30,27,0.0,0.0,2004-2005,6b85b96d,Caen,"2,348",26.1,6.0,0.0,102.0,34.0,
,Vincent Planté,fr FRA,GK,25,25,0.0,0.0,2004-2005,0108f81e,Caen,"2,250",25.0,2.0,0.0,102.0,4.0,
,Cyrille Watier,fr FRA,FW,32,25,2.0,9.0,2004-2005,524e9f90,Caen,"2,159",24.0,6.0,0.0,102.0,4.0,
,Reynald Lemaître,fr FRA,"DF,MF",29,24,1.0,3.0,2004-2005,ff44edbb,Caen,"2,064",22.9,9.0,0.0,102.0,4.0,
,Nicolas Seube,fr FRA,"DF,MF",27,21,0.0,0.0,2004-2005,2b5da1e,Caen,"2,007",22.3,4.0,0.0,102.0,4.0,
,Steve Dugardein,be BEL,MF,20,18,0.0,0.0,2004-2005,51d505a,Caen,"1,373",15.3,6.0,0.0,102.0,27.0,
,Yohann Eudeline,fr FRA,"FW,MF",24,17,3.0,1.0,2004-2005,5d218b18,Caen,"1,562",17.4,3.0,0.0,102.0,4.0,
,Grégory Dufer,be BEL,MF,22,13,2.0,1.0,2004-2005,7f054317,Caen,"1,332",14.8,1.0,0.0,102.0,27.0,
,Jimmy Hebert,fr FRA,MF,20,13,0.0,0.0,2004-2005,51eab672,Caen,"1,227",13.6,2.0,0.0,102.0,4.0,
,Steeve Elana,gn GUI,GK,13,13,0.0,0.0,2004-2005,57c09a1b,Caen,"1,170",13.0,0.0,0.0,102.0,74.0,
