2002-2003,Cagliari
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Armando Pantanelli,it ITA,GK,37,37,0,0,"3,292",36.6,3,1,/en/players/362a4d1b/Armando-Pantanelli,362a4d1b,Armando-Pantanelli
Mauro Esposito,it ITA,"FW,MF",37,37,7,11,"3,204",35.6,4,0,/en/players/ef9aecbb/Mauro-Esposito,f9aecbb,Mauro-Esposito
David Suazo,hn HON,FW,35,32,4,10,"2,761",30.7,3,1,/en/players/25c5b3ee/David-Suazo,25c5b3ee,David-Suazo
Davide Carrus,it ITA,MF,34,29,4,1,"2,703",30.0,9,0,/en/players/beff5c30/Davide-Carrus,beff5c30,Davide-Carru
Mirko Cudini,it ITA,DF,29,29,0,0,"2,610",29.0,4,1,/en/players/87cd7851/Mirko-Cudini,87cd7851,Mirko-Cudini
Nelson Abeijón,uy URU,MF,26,26,2,1,"2,212",24.6,9,0,/en/players/874deb38/Nelson-Abeijon,874deb38,Nelson-Abeijo
Luis Diego López,uy URU,DF,26,26,0,1,"2,201",24.5,6,0,/en/players/1a0d1319/Luis-Diego-Lopez,1a0d1319,Luis-Diego-Lopez
Simone Loria,it ITA,DF,30,23,1,3,"2,096",23.3,5,2,/en/players/a910b70f/Simone-Loria,910b70f,Simone-Lori
Fabrizio Cammarata,it ITA,FW,30,22,2,8,"2,011",22.3,2,1,/en/players/eaac3510/Fabrizio-Cammarata,c3510,Fabrizio-Cammarat
Giorgio Lucenti,it ITA,MF,24,19,2,2,"1,797",20.0,7,1,/en/players/7629330b/Giorgio-Lucenti,7629330b,Giorgio-Lucenti
François Modesto,fr FRA,"DF,MF",20,19,3,0,"1,713",19.0,4,0,/en/players/6691423e/Francois-Modesto,6691423e,Francois-Modesto
Mauricio Pineda,ar ARG,DF,22,19,1,0,"1,572",17.5,8,0,/en/players/c7117ee3/Mauricio-Pineda,c7117ee3,Mauricio-Pined
Gianluca Grassadonia,it ITA,DF,17,17,0,0,"1,497",16.6,5,0,/en/players/367018bb/Gianluca-Grassadonia,367018bb,Gianluca-Grassadoni
Antonio Langella,it ITA,"FW,MF",30,16,6,5,"1,594",17.7,6,0,/en/players/a94cb87a/Antonio-Langella,94cb87a,Antonio-Lang
Andrea Capone,it ITA,MF,19,11,1,3,"1,007",11.2,3,0,/en/players/25724be9/Andrea-Capone,25724be9,Andrea-Capo
Giorgio Gorgone,it ITA,MF,17,11,1,0,"1,006",11.2,2,0,/en/players/db59324f/Giorgio-Gorgone,db59324f,Giorgio-Gorgo
Gian Paolo Manighetti,it ITA,DF,11,10,0,0,867,9.6,6,0,/en/players/68daf338/Gian-Paolo-Manighetti,68daf338,Gian-Paolo-Manighetti
Daniele Conti,it ITA,MF,12,10,2,0,803,8.9,5,0,/en/players/25df5a0d/Daniele-Conti,25df5a0d,Daniele-Conti
Fabio Macellari,it ITA,DF,11,9,0,0,763,8.5,2,1,/en/players/2ee3312a/Fabio-Macellari,2ee3312a,Fabio-Macellari
Emiliano Melis,it ITA,FW,11,5,1,2,458,5.1,0,0,/en/players/15ce28f0/Emiliano-Melis,15ce28f0,Emiliano-Meli
Di Fábio,br BRA,DF,9,3,1,0,336,3.7,0,0,/en/players/730170df/Di-Fabio,730170df,Di-Fabio
Roberto Guana,it ITA,MF,6,2,0,0,240,2.7,0,0,/en/players/65fcaf78/Roberto-Guana,65fcaf78,Roberto-Gu
Cristian Bucchi,it ITA,FW,6,2,0,0,210,2.3,1,0,/en/players/8df7ea1e/Cristian-Bucchi,8df7ea1e,Cristian-Bucchi
Alessandro Colasante,it ITA,,3,2,0,0,141,1.6,2,0,/en/players/3e19b120/Alessandro-Colasante,3e19b120,Alessandro-Colasant
Paolo Mancini,,,2,1,0,0,128,1.4,0,0,No detected,,
Sebastiano Pinna,it ITA,,3,1,0,0,114,1.3,1,0,/en/players/9730a2ce/Sebastiano-Pinna,9730a2ce,Sebastiano-Pi
Cristian Ranalli,it ITA,FW,7,0,0,0,94,1.0,0,0,/en/players/97a7fb02/Cristian-Ranalli,97a7fb02,Cristian-Ranalli
Moreno Longo,it ITA,DF,2,0,0,0,34,0.4,0,0,/en/players/64da5214/Moreno-Longo,64da5214,Moreno-Longo
