Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB
,﻿Armando Pantanelli,it ITA,GK,37,37,0.0,0.0,2002-2003,362a4d1b,Cagliari,"3,292",36.6,3.0,1.0,184.0,9.0,
,Mauro Esposito,it ITA,"FW,MF",37,37,7.0,11.0,2002-2003,f9aecbb,Cagliari,"3,204",35.6,4.0,0.0,184.0,9.0,
,David Suazo,hn HON,FW,35,32,4.0,10.0,2002-2003,25c5b3ee,Cagliari,"2,761",30.7,3.0,1.0,184.0,107.0,
,Davide Carrus,it ITA,MF,34,29,4.0,1.0,2002-2003,beff5c30,Cagliari,"2,703",30.0,9.0,0.0,184.0,9.0,
,Mirko Cudini,it ITA,DF,29,29,0.0,0.0,2002-2003,87cd7851,Cagliari,"2,610",29.0,4.0,1.0,184.0,9.0,
,Nelson Abeijón,uy URU,MF,26,26,2.0,1.0,2002-2003,874deb38,Cagliari,"2,212",24.6,9.0,0.0,184.0,8.0,
,Luis Diego López,uy URU,DF,26,26,0.0,1.0,2002-2003,1a0d1319,Cagliari,"2,201",24.5,6.0,0.0,184.0,8.0,
,Simone Loria,it ITA,DF,30,23,1.0,3.0,2002-2003,910b70f,Cagliari,"2,096",23.3,5.0,2.0,184.0,9.0,
,Fabrizio Cammarata,it ITA,FW,30,22,2.0,8.0,2002-2003,c3510,Cagliari,"2,011",22.3,2.0,1.0,184.0,9.0,
,Giorgio Lucenti,it ITA,MF,24,19,2.0,2.0,2002-2003,7629330b,Cagliari,"1,797",20.0,7.0,1.0,184.0,9.0,
,François Modesto,fr FRA,"DF,MF",20,19,3.0,0.0,2002-2003,6691423e,Cagliari,"1,713",19.0,4.0,0.0,184.0,4.0,
,Mauricio Pineda,ar ARG,DF,22,19,1.0,0.0,2002-2003,c7117ee3,Cagliari,"1,572",17.5,8.0,0.0,184.0,5.0,
,Gianluca Grassadonia,it ITA,DF,17,17,0.0,0.0,2002-2003,367018bb,Cagliari,"1,497",16.6,5.0,0.0,184.0,9.0,
,Antonio Langella,it ITA,"FW,MF",30,16,6.0,5.0,2002-2003,94cb87a,Cagliari,"1,594",17.7,6.0,0.0,184.0,9.0,
,Andrea Capone,it ITA,MF,19,11,1.0,3.0,2002-2003,25724be9,Cagliari,"1,007",11.2,3.0,0.0,184.0,9.0,
,Giorgio Gorgone,it ITA,MF,17,11,1.0,0.0,2002-2003,db59324f,Cagliari,"1,006",11.2,2.0,0.0,184.0,9.0,
,Gian Paolo Manighetti,it ITA,DF,11,10,0.0,0.0,2002-2003,68daf338,Cagliari,867,9.6,6.0,0.0,184.0,9.0,
,Daniele Conti,it ITA,MF,12,10,2.0,0.0,2002-2003,25df5a0d,Cagliari,803,8.9,5.0,0.0,184.0,9.0,
,Fabio Macellari,it ITA,DF,11,9,0.0,0.0,2002-2003,2ee3312a,Cagliari,763,8.5,2.0,1.0,184.0,9.0,
,Emiliano Melis,it ITA,FW,11,5,1.0,2.0,2002-2003,15ce28f0,Cagliari,458,5.1,0.0,0.0,184.0,9.0,
,Di Fábio,br BRA,DF,9,3,1.0,0.0,2002-2003,730170df,Cagliari,336,3.7,0.0,0.0,184.0,2.0,
,Roberto Guana,it ITA,MF,6,2,0.0,0.0,2002-2003,65fcaf78,Cagliari,240,2.7,0.0,0.0,184.0,9.0,
