2015-2016,Cardiff-City
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Matthew Connolly,eng ENG,DF,43,43,1,1,"3,814",42.4,10,0,/en/players/2797fc1d/Matthew-Connolly,2797fc1d,Matthew-Conno
Joe Ralls,eng ENG,MF,43,42,7,1,"3,717",41.3,5,0,/en/players/3730fcbc/Joe-Ralls,3730fcbc,Joe-R
David Marshall,sct SCO,GK,40,40,0,0,"3,551",39.5,0,1,/en/players/4d93d433/David-Marshall,4d93d433,David-Marsh
Lee Peltier,eng ENG,DF,41,38,0,0,"3,303",36.7,9,1,/en/players/af341b88/Lee-Peltier,f341b88,Lee-Pelti
Anthony Pilkington,ie IRL,"MF,FW",41,38,3,9,"3,142",34.9,9,0,/en/players/b31af577/Anthony-Pilkington,b31af577,Anthony-Pilkingto
Scott Malone,eng ENG,DF,41,36,4,2,"3,380",37.6,3,0,/en/players/f15a50e8/Scott-Malone,f15a50e8,Scott-Malo
Peter Whittingham,eng ENG,MF,36,34,7,6,"2,935",32.6,8,0,/en/players/f2286f20/Peter-Whittingham,f2286f20,Peter-Whittingham
Sean Morrison,eng ENG,DF,30,29,1,3,"2,544",28.3,5,0,/en/players/09fec029/Sean-Morrison,09fec029,Sean-Morriso
Craig Noone,eng ENG,MF,38,24,2,5,"2,289",25.4,6,0,/en/players/274e493e/Craig-Noone,274e493e,Craig-Noo
Joe Mason,ie IRL,FW,23,21,1,6,"1,731",19.2,1,0,/en/players/9d998751/Joe-Mason,9d998751,Joe-Maso
Bruno Ecuele Manga,ga GAB,DF,24,19,1,2,"1,879",20.9,0,0,/en/players/72a0fb65/Bruno-Ecuele-Manga,72a0fb65,Bruno-Ecuele-Mang
Stuart O'Keefe,eng ENG,MF,24,19,1,2,"1,671",18.6,3,0,/en/players/d0f8d154/Stuart-OKeefe,d0f8d154,Stuart-OKeef
Fábio,br BRA,DF,23,18,2,1,"1,535",17.1,8,1,/en/players/bc7b4580/Fabio,bc7b4580,Fabio
Aron Gunnarsson,is ISL,MF,28,16,1,2,"1,536",17.1,3,0,/en/players/e2533c20/Aron-Gunnarsson,2533c20,Aron-Gunnarsso
Kagisho Dikgacoi,za RSA,MF,23,16,1,0,"1,357",15.1,1,0,/en/players/701d7cac/Kagisho-Dikgacoi,701d7cac,Kagisho-Dikgacoi
Kenwyne Jones,tt TRI,FW,19,15,2,5,"1,242",13.8,0,0,/en/players/5f3b634e/Kenwyne-Jones,5f3b634e,Kenwyne-Jo
Lex Immers,nl NED,FW,15,14,1,5,"1,221",13.6,0,0,/en/players/fe1be4a8/Lex-Immers,fe1be4a8,Lex-Imm
Tom Lawrence,wls WAL,"MF,FW",14,11,1,0,959,10.7,1,0,/en/players/7e2f45f4/Tom-Lawrence,7e2f45f4,Tom-Lawrenc
Tony Watt,sct SCO,FW,9,9,1,2,742,8.2,1,0,/en/players/99cf5805/Tony-Watt,99cf5805,Tony-Watt
Sammy Ameobi,eng ENG,"MF,FW",36,8,3,1,"1,303",14.5,4,1,/en/players/acd61628/Sammy-Ameobi,cd61628,Sammy-Ameobi
Alex Revell,eng ENG,FW,10,7,0,0,519,5.8,1,0,/en/players/b64dae45/Alex-Revell,b64dae45,Alex-Rev
Simon Moore,eng ENG,GK,7,6,0,0,589,6.5,0,0,/en/players/e7434f04/Simon-Moore,7434f04,Simon-Moo
Kenneth Zohore,dk DEN,FW,12,2,0,2,267,3.0,0,0,/en/players/5e508d0d/Kenneth-Zohore,5e508d0d,Kenneth-Zoho
Ben Turner,eng ENG,DF,1,1,0,0,80,0.9,1,0,/en/players/b034ebe2/Ben-Turner,b034ebe2,Ben-Tu
Federico Macheda,it ITA,FW,6,0,0,0,69,0.8,0,0,/en/players/e14daddc/Federico-Macheda,14daddc,Federico-Mached
Kadeem Harris,eng ENG,"DF,MF",3,0,0,0,47,0.5,0,0,/en/players/24396398/Kadeem-Harris,24396398,Kadeem-Harri
Idriss Saadi,dz ALG,FW,2,0,0,0,23,0.3,0,0,/en/players/17f29fb0/Idriss-Saadi,17f29fb0,Idriss-Saadi
Matty Kennedy,nir NIR,MF,1,0,0,0,13,0.1,0,0,/en/players/49161cbe/Matty-Kennedy,49161cbe,Matty-Kenned
Declan John,wls WAL,"DF,MF",1,0,0,0,1,0.0,0,0,/en/players/8e42ea27/Declan-John,8e42ea27,Declan-Joh
Eoin Doyle,ie IRL,FW,0,0,,,,,,,/en/players/cbb97d3b/Eoin-Doyle,cbb97d3b,Eoin-Do
Deji Oshilaja,eng ENG,"DF,MF",0,0,,,,,,,/en/players/515f0819/Deji-Oshilaja,515f0819,Deji-Oshilaj
Gabriel Tamaș,ro ROU,DF,0,0,,,,,,,/en/players/5d2c2f2b/Gabriel-Tamas,5d2c2f2b,Gabriel-Tam
Ben Wilson,eng ENG,"FW,GK",0,0,,,,,,,/en/players/0118dd71/Ben-Wilson,0118dd71,Ben-Wilso
