,Player,Link,Player_id,Player_name,Nationality,Position
0,﻿Peter Thorne,/en/players/38a0c758/Peter-Thorne,38a0c758,Peter-Tho,eng ENG,FW
1,Graham Kavanagh,/en/players/dc15f511/Graham-Kavanagh,dc15f511,Graham-Kavanagh,ie IRL,MF
2,Neil Alexander,/en/players/f538d303/Neil-Alexander,f538d303,Neil-Alexand,sct SCO,GK
3,Willie Boland,/en/players/be13a103/Willie-Boland,be13a103,Willie-Boland,ie IRL,MF
4,Robert Earnshaw,/en/players/b3f4b640/Robert-Earnshaw,b3f4b640,Robert-Earnshaw,wls WAL,FW
5,Gary Croft,/en/players/0a7190bb/Gary-Croft,0a7190bb,Gary-Croft,eng ENG,DF
6,Rhys Weston,/en/players/f4404f21/Rhys-Weston,f4404f21,Rhys-Westo,wls WAL,DF
7,Spencer Prior,/en/players/d68181d1/Spencer-Prior,d68181d1,Spencer-Prio,eng ENG,DF
8,Chris Barker,/en/players/c67c2a68/Chris-Barker,c67c2a68,Chris-Bark,eng ENG,DF
9,Andy Legg,/en/players/c0f5463b/Andy-Legg,c0f5463b,Andy-Legg,wls WAL,"DF,MF"
10,Danny Gabbidon,/en/players/90148433/Danny-Gabbidon,90148433,Danny-Gabbido,wls WAL,DF
11,Andy Campbell,/en/players/8dde3e19/Andy-Campbell,8dde3e19,Andy-Campb,eng ENG,FW
12,Gareth Whalley,/en/players/4f2783db/Gareth-Whalley,4f2783db,Gareth-Wh,eng ENG,MF
13,Leo Fortune-West,/en/players/d237a6bc/Leo-Fortune-West,d237a6bc,Leo-Fortune-West,eng ENG,FW
14,Leyton Maxwell,/en/players/663ac33d/Leyton-Maxwell,663ac33d,Leyton-Maxw,wls WAL,MF
15,Alan Mahon,/en/players/fbe1f1d0/Alan-Mahon,fbe1f1d0,Alan-Maho,ie IRL,MF
16,Scott Young,/en/players/073ea484/Scott-Young,073ea484,Scott-Young,wls WAL,DF
17,Gareth Ainsworth,/en/players/8ddfb8b9/Gareth-Ainsworth,8ddfb8b9,Gareth-Ainsworth,eng ENG,MF
18,Mark Bonner,/en/players/9a71e00d/Mark-Bonner,9a71e00d,Mark-Bo,eng ENG,MF
19,Jason Bowen,/en/players/d298bd17/Jason-Bowen,d298bd17,Jason-Bow,wls WAL,FW
20,Martyn Margetson,/en/players/c511cacc/Martyn-Margetson,c511cacc,Martyn-Margetso,wls WAL,GK
21,Fan Zhiyi,/en/players/9a3c33a0/Fan-Zhiyi,9a3c33a0,Fan-Zhiyi,cn CHN,DF
22,Steve Jenkins,/en/players/64290329/Steve-Jenkins,64290329,Steve-Jenki,wls WAL,DF
23,Gavin Gordon,/en/players/9521699b/Gavin-Gordon,9521699b,Gavin-Gordo,eng ENG,FW
24,Des Hamilton,/en/players/3b32618e/Des-Hamilton,3b32618e,Des-Hamilto,eng ENG,MF
25,James Collins,/en/players/c61f1719/James-Collins,c61f1719,James-Colli,wls WAL,DF
27,﻿Tony Vidmar,/en/players/52a1af8b/Tony-Vidmar,52a1af8b,Tony-Vidm,au AUS,DF
28,Richard Langley,/en/players/dc2e84f3/Richard-Langley,dc2e84f3,Richard-Lang,jm JAM,MF
29,John Robinson,/en/players/0a8ac335/John-Robinson,0a8ac335,John-Robinso,wls WAL,MF
