Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB
,﻿Peter Thorne,eng ENG,FW,46,46,8.0,13.0,2002-2003,38a0c758,Cardiff-City,"4,036",44.8,1.0,0.0,155.0,6.0,
,Graham Kavanagh,ie IRL,MF,44,42,10.0,5.0,2002-2003,dc15f511,Cardiff-City,"3,850",42.8,7.0,0.0,155.0,99.0,
,Neil Alexander,sct SCO,GK,40,40,0.0,0.0,2002-2003,f538d303,Cardiff-City,"3,600",40.0,0.0,0.0,155.0,67.0,
,Willie Boland,ie IRL,MF,41,40,4.0,0.0,2002-2003,be13a103,Cardiff-City,"3,525",39.2,11.0,0.0,155.0,99.0,
,Robert Earnshaw,wls WAL,FW,46,39,6.0,31.0,2002-2003,b3f4b640,Cardiff-City,"3,584",39.8,3.0,0.0,155.0,18.0,
,Gary Croft,eng ENG,DF,43,39,1.0,1.0,2002-2003,0a7190bb,Cardiff-City,"3,545",39.4,4.0,0.0,155.0,6.0,
,Rhys Weston,wls WAL,DF,38,38,3.0,2.0,2002-2003,f4404f21,Cardiff-City,"3,305",36.7,8.0,0.0,155.0,18.0,
,Spencer Prior,eng ENG,DF,37,35,0.0,0.0,2002-2003,d68181d1,Cardiff-City,"3,134",34.8,4.0,0.0,155.0,6.0,
,Chris Barker,eng ENG,DF,40,32,3.0,0.0,2002-2003,c67c2a68,Cardiff-City,"3,047",33.9,4.0,0.0,155.0,6.0,
,Andy Legg,wls WAL,"DF,MF",35,26,3.0,3.0,2002-2003,c0f5463b,Cardiff-City,"2,329",25.9,2.0,0.0,155.0,18.0,
,Danny Gabbidon,wls WAL,DF,24,22,0.0,0.0,2002-2003,90148433,Cardiff-City,"1,919",21.3,1.0,0.0,155.0,18.0,
,Andy Campbell,eng ENG,FW,28,20,1.0,3.0,2002-2003,8dde3e19,Cardiff-City,"1,002",11.1,2.0,0.0,155.0,6.0,
,Gareth Whalley,eng ENG,MF,19,17,3.0,0.0,2002-2003,4f2783db,Cardiff-City,"1,425",15.8,1.0,0.0,155.0,6.0,
,Leo Fortune-West,eng ENG,FW,19,17,2.0,2.0,2002-2003,d237a6bc,Cardiff-City,636,7.1,1.0,0.0,155.0,6.0,
,Leyton Maxwell,wls WAL,MF,16,15,1.0,0.0,2002-2003,663ac33d,Cardiff-City,605,6.7,0.0,0.0,155.0,18.0,
,Alan Mahon,ie IRL,MF,15,13,4.0,2.0,2002-2003,fbe1f1d0,Cardiff-City,"1,142",12.7,2.0,0.0,155.0,99.0,
,Scott Young,wls WAL,DF,12,11,2.0,1.0,2002-2003,073ea484,Cardiff-City,"1,006",11.2,1.0,0.0,155.0,18.0,
,Gareth Ainsworth,eng ENG,MF,9,9,1.0,0.0,2002-2003,8ddfb8b9,Cardiff-City,706,7.8,0.0,1.0,155.0,6.0,
,Mark Bonner,eng ENG,MF,14,7,1.0,0.0,2002-2003,9a71e00d,Cardiff-City,662,7.4,0.0,0.0,155.0,6.0,
,Jason Bowen,wls WAL,FW,11,7,0.0,3.0,2002-2003,d298bd17,Cardiff-City,610,6.8,2.0,0.0,155.0,18.0,
,Martyn Margetson,wls WAL,GK,6,6,0.0,0.0,2002-2003,c511cacc,Cardiff-City,540,6.0,0.0,0.0,155.0,18.0,
,Fan Zhiyi,cn CHN,DF,6,6,1.0,0.0,2002-2003,9a3c33a0,Cardiff-City,447,5.0,0.0,1.0,155.0,101.0,
,Steve Jenkins,wls WAL,DF,4,4,0.0,0.0,2002-2003,64290329,Cardiff-City,329,3.7,1.0,0.0,155.0,18.0,
,Gavin Gordon,eng ENG,FW,10,3,0.0,2.0,2002-2003,9521699b,Cardiff-City,313,3.5,4.0,0.0,155.0,6.0,
,Des Hamilton,eng ENG,MF,6,2,0.0,0.0,2002-2003,3b32618e,Cardiff-City,201,2.2,1.0,0.0,155.0,6.0,
,James Collins,wls WAL,DF,2,0,0.0,0.0,2002-2003,c61f1719,Cardiff-City,11,0.1,0.0,0.0,155.0,18.0,
,﻿Tony Vidmar,au AUS,DF,45,45,2.0,1.0,2003-2004,52a1af8b,Cardiff-City,"4,045",44.9,7.0,1.0,155.0,42.0,
,Robert Earnshaw,wls WAL,FW,46,44,3.0,21.0,2003-2004,b3f4b640,Cardiff-City,"3,836",42.6,2.0,0.0,155.0,18.0,
,Danny Gabbidon,wls WAL,DF,41,41,0.0,3.0,2003-2004,90148433,Cardiff-City,"3,580",39.8,4.0,0.0,155.0,18.0,
,Richard Langley,jm JAM,MF,44,39,3.0,6.0,2003-2004,dc2e84f3,Cardiff-City,"3,577",39.7,9.0,0.0,155.0,127.0,
,Chris Barker,eng ENG,DF,39,33,3.0,0.0,2003-2004,c67c2a68,Cardiff-City,"3,118",34.6,2.0,0.0,155.0,6.0,
,Willie Boland,ie IRL,MF,37,33,2.0,0.0,2003-2004,be13a103,Cardiff-City,"2,866",31.8,3.0,1.0,155.0,99.0,
,John Robinson,wls WAL,MF,34,31,4.0,2.0,2003-2004,0a8ac335,Cardiff-City,"2,525",28.1,5.0,0.0,155.0,18.0,
,Graham Kavanagh,ie IRL,MF,27,27,5.0,7.0,2003-2004,dc15f511,Cardiff-City,"2,389",26.5,8.0,0.0,155.0,99.0,
,Neil Alexander,sct SCO,GK,25,24,0.0,0.0,2003-2004,f538d303,Cardiff-City,"2,181",24.2,1.0,0.0,155.0,67.0,
,Gary Croft,eng ENG,DF,27,23,4.0,1.0,2003-2004,0a7190bb,Cardiff-City,"2,075",23.1,3.0,1.0,155.0,6.0,
,Rhys Weston,wls WAL,DF,24,23,2.0,0.0,2003-2004,f4404f21,Cardiff-City,"1,909",21.2,4.0,0.0,155.0,18.0,
,Martyn Margetson,wls WAL,GK,22,22,0.0,0.0,2003-2004,c511cacc,Cardiff-City,"1,958",21.8,0.0,1.0,155.0,18.0,
,Peter Thorne,eng ENG,FW,23,19,4.0,13.0,2003-2004,38a0c758,Cardiff-City,"1,718",19.1,3.0,0.0,155.0,6.0,
,Alan Lee,ie IRL,FW,23,17,1.0,3.0,2003-2004,9e5eb5cd,Cardiff-City,"1,554",17.3,5.0,1.0,155.0,99.0,
,Gareth Whalley,eng ENG,MF,22,16,1.0,2.0,2003-2004,4f2783db,Cardiff-City,"1,459",16.2,0.0,0.0,155.0,6.0,
