2002-2003,Catania
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Luís Oliveira,be BEL,FW,36,36,4,15,"3,143",34.9,2,0,/en/players/194efff9/Luis-Oliveira,194efff9,Luis-Olivei
Vito Grieco,it ITA,MF,35,35,7,3,"3,065",34.1,8,1,/en/players/2c57b00b/Vito-Grieco,2c57b00b,Vito-Grieco
Salvatore Monaco,it ITA,DF,34,34,0,2,"2,988",33.2,4,0,/en/players/fe95801e/Salvatore-Monaco,fe95801e,Salvatore-Monaco
Michele Zeoli,it ITA,DF,33,33,1,2,"2,801",31.1,8,2,/en/players/8228e14e/Michele-Zeoli,8228e14e,Michele-Zeoli
Michele Fini,it ITA,MF,32,27,5,2,"2,235",24.8,3,1,/en/players/d4894685/Michele-Fini,d4894685,Michele-Fini
Massimo Demartis,it ITA,DF,29,26,0,0,"2,381",26.5,8,0,/en/players/0864740e/Massimo-Demartis,0864740e,Massimo-Demarti
Giovanni Martusciello,it ITA,MF,29,21,1,3,"1,973",21.9,6,0,/en/players/b02ac452/Giovanni-Martusciello,b02ac452,Giovanni-Martusciello
Davide Cordone,it ITA,MF,27,21,2,1,"1,850",20.6,1,0,/en/players/33b4dc02/Davide-Cordone,33b4dc02,Davide-Cordo
Carlo Taldo,it ITA,FW,20,20,0,8,"1,774",19.7,1,0,/en/players/b8f24525/Carlo-Taldo,b8f24525,Carlo-Taldo
Fabio Gatti,it ITA,MF,24,20,2,0,"1,581",17.6,7,0,/en/players/4424bcaf/Fabio-Gatti,4424bcaf,Fabio-Gatti
Luca Castellazzi,it ITA,GK,18,18,0,0,"1,620",18.0,2,0,/en/players/36281ecb/Luca-Castellazzi,36281ecb,Luca-Castellazzi
Davide Possanzini,it ITA,"FW,MF",31,17,1,4,"1,573",17.5,4,1,/en/players/6078984b/Davide-Possanzini,6078984b,Davide-Possanzini
Gennaro Iezzo,it ITA,GK,17,17,0,0,"1,530",17.0,1,0,/en/players/a778fbda/Gennaro-Iezzo,778fbda,Gennaro-Iezzo
Alessandro Del Grosso,it ITA,DF,23,13,1,0,"1,264",14.0,1,0,/en/players/70747da7/Alessandro-Del-Grosso,70747da7,Alessandro-Del-Grosso
Georgios Kyriazis,gr GRE,DF,13,13,0,1,"1,170",13.0,2,0,/en/players/07622ca2/Georgios-Kyriazis,07622ca2,Georgios-Kyriazi
Pietro Fusco,it ITA,DF,13,12,0,0,"1,084",12.0,6,0,/en/players/87252a08/Pietro-Fusco,87252a08,Pietro-Fusco
Alessandro Colasante,it ITA,,14,11,0,0,950,10.6,4,0,/en/players/3e19b120/Alessandro-Colasante,3e19b120,Alessandro-Colasant
Cristian Bucchi,it ITA,FW,13,11,0,2,805,8.9,2,0,/en/players/8df7ea1e/Cristian-Bucchi,8df7ea1e,Cristian-Bucchi
Alberto Malusci,it ITA,DF,12,10,1,0,864,9.6,5,0,/en/players/a8e4ab0b/Alberto-Malusci,8e4ab0b,Alberto-Malusci
Vincenzo Iacopino,it ITA,MF,6,5,0,0,281,3.1,0,0,/en/players/d637c767/Vincenzo-Iacopino,d637c767,Vincenzo-Iacopino
