,Player,Link,Player_name(param),Player_id(param)
0,﻿Pablo Cavallero,/en/players/754d4db5/Pablo-Cavallero,Pablo-Cavallero,754d4db5
1,Peter Luccin,/en/players/3270f1b5/Peter-Luccin,Peter-Luccin,3270f1b5
2,Fernando Cáceres,/en/players/fab1ce6d/Fernando-Caceres,Fernando-Caceres,fab1ce6d
3,Edu,/en/players/71a2b3ed/Edu,Edu,71a2b3ed
4,Juan Velasco Damas,/en/players/6630e590/Juan-Velasco-Damas,Juan-Velasco-Damas,6630e590
5,Gustavo López,/en/players/bbd74f67/Gustavo-Lopez,Gustavo-Lopez,bbd74f67
6,Sylvinho,/en/players/b46e497d/Sylvinho,Sylvinho,b46e497d
7,José Ignacio,/en/players/4477d395/Jose-Ignacio,Jose-Ignacio,4477d395
8,Eduardo Berizzo,/en/players/d28dbfe9/Eduardo-Berizzo,Eduardo-Berizzo,d28dbfe9
9,Aleksandr Mostovoi,/en/players/6d215bed/Aleksandr-Mostovoi,Aleksandr-Mostovoi,6d215bed
10,Catanha,/en/players/69349680/Catanha,Catanha,69349680
11,Juanfran,/en/players/d8a22e59/Juanfran,Juanfran,d8a22e59
12,Jesuli,/en/players/3bfc833a/Jesuli,Jesuli,3bfc833a
13,Ángel López,/en/players/93cdc601/Angel-Lopez,Angel-Lopez,93cdc601
14,Sergio,/en/players/7688c579/Sergio,Sergio,7688c579
15,Everton Giovanella,/en/players/e6a5d427/Everton-Giovanella,Everton-Giovanella,e6a5d427
16,Vágner,/en/players/c0efb885/Vagner,Vagner,c0efb885
17,Mido,/en/players/91d87d09/Mido,Mido,91d87d09
18,Sebastián Méndez,/en/players/ab38347a/Sebastian-Mendez,Sebastian-Mendez,ab38347a
19,Eduardo Coudet,/en/players/097ab8cb/Eduardo-Coudet,Eduardo-Coudet,097ab8cb
20,Benni McCarthy,/en/players/a6f401c6/Benni-McCarthy,Benni-McCarthy,a6f401c6
21,José Manuel Pinto,/en/players/4a3cd9b7/Jose-Manuel-Pinto,Jose-Manuel-Pinto,4a3cd9b7
22,Pablo Coira,/en/players/7099e844/Pablo-Coira,Pablo-Coira,7099e844
23,Jorge Rodríguez,/en/players/6b8ad2c5/Jorge-Rodriguez,Jorge-Rodriguez,6b8ad2c5
24,Doriva,/en/players/6b8ab05e/Doriva,Doriva,6b8ab05e
25,Iván Kaviedes,/en/players/94c89cb3/Ivan-Kaviedes,Ivan-Kaviedes,94c89cb3
26,José Juan Figueras,/en/players/c7f01276/Jose-Juan-Figueras,Jose-Juan-Figueras,c7f01276
27,Jandro,/en/players/453a1fcd/Jandro,Jandro,453a1fcd
28,﻿Savo Milošević,/en/players/bab73c39/Savo-Milosevic,Savo-Milosevic,bab73c39
29,Pablo Cavallero,/en/players/754d4db5/Pablo-Cavallero,Pablo-Cavallero,754d4db5
30,Saša Ilić,/en/players/504a654c/Sasa-Ilic,Sasa-Ilic,504a654c
31,Borja Oubiña,/en/players/df441c0d/Borja-Oubina,Borja-Oubina,df441c0d
32,Pablo Contreras,/en/players/1cba86c6/Pablo-Contreras,Pablo-Contreras,1cba86c6
33,Israel Delgado,/en/players/1e33a0ca/Israel-Delgado,Israel-Delgado,1e33a0ca
34,Jonathan Aspas,/en/players/f76cd534/Jonathan-Aspas,Jonathan-Aspas,f76cd534
35,Iago Bouzón,/en/players/2b687c98/Iago-Bouzon,Iago-Bouzon,2b687c98
36,Mauricio Pinilla,/en/players/33bd231e/Mauricio-Pinilla,Mauricio-Pinilla,33bd231e
37,Manolo Sánchez,/en/players/b40c4904/Manolo-Sanchez,Manolo-Sanchez,b40c4904
38,Nacho Franco,/en/players/24d32601/Nacho-Franco,Nacho-Franco,24d32601
39,﻿Ángel López,/en/players/93cdc601/Angel-Lopez,Angel-Lopez,93cdc601
40,Fabián Canobbio,/en/players/8a010a9b/Fabian-Canobbio,Fabian-Canobbio,8a010a9b
41,Zisis Vryzas,/en/players/e477030a/Zisis-Vryzas,Zisis-Vryzas,e477030a
42,Txomin Nagore,/en/players/41a60718/Txomin-Nagore,Txomin-Nagore,41a60718
43,Capucho,/en/players/9b54153d/Capucho,Capucho,9b54153d
44,Roger Guerreiro,/en/players/6f63913c/Roger-Guerreiro,Roger-Guerreiro,6f63913c
45,Facundo Sava,/en/players/bbc6102c/Facundo-Sava,Facundo-Sava,bbc6102c
46,José Jesús Perera,/en/players/a39a1bc8/Jose-Jesus-Perera,Jose-Jesus-Perera,a39a1bc8
47,Yago Yao,/en/players/a25c8b6c/Yago-Yao,Yago-Yao,a25c8b6c
48,Toni Moral,/en/players/5c3bf3f9/Toni-Moral,Toni-Moral,5c3bf3f9
49,Juan Sánchez,/en/players/58c2f75c/Juan-Sanchez,Juan-Sanchez,58c2f75c
50,Orlando Quintana,/en/players/bdb7b026/Orlando-Quintana,Orlando-Quintana,bdb7b026
51,Isaac Fernández Vila,/en/players/396b2239/Isaac-Fernandez-Vila,Isaac-Fernandez-Vila,396b2239
52,Fernando Baiano,/en/players/253f2715/Fernando-Baiano,Fernando-Baiano,253f2715
53,David Silva,/en/players/e2716bd0/David-Silva,David-Silva,e2716bd0
54,Matías Lequi,/en/players/dd0c806c/Matias-Lequi,Matias-Lequi,dd0c806c
55,Iriney,/en/players/09296fcc/Iriney,Iriney,09296fcc
56,Antonio Núñez,/en/players/df89070b/Antonio-Nunez,Antonio-Nunez,df89070b
57,Diego Placente,/en/players/f6bcca5d/Diego-Placente,Diego-Placente,f6bcca5d
58,Jorge Larena,/en/players/3de25195/Jorge-Larena,Jorge-Larena,3de25195
59,José Enrique,/en/players/d56364d5/Jose-Enrique,Jose-Enrique,d56364d5
60,Daniël de Ridder,/en/players/18bd458f/Daniel-de-Ridder,Daniel-de-Ridder,18bd458f
61,Javi Guerrero,/en/players/bd4345ec/Javi-Guerrero,Javi-Guerrero,bd4345ec
62,Roberto Sousa,/en/players/40a22d49/Roberto-Sousa,Roberto-Sousa,40a22d49
63,Esteban,/en/players/e4fc2638/Esteban,Esteban,e4fc2638
64,﻿Nenê,/en/players/265ebd37/Nene,Nene,265ebd37
65,Gabriel Tamaș,/en/players/5d2c2f2b/Gabriel-Tamas,Gabriel-Tamas,5d2c2f2b
66,Pablo García,/en/players/911299ca/Pablo-Garcia,Pablo-Garcia,911299ca
67,Habib Bamogo,/en/players/db50d95f/Habib-Bamogo,Habib-Bamogo,db50d95f
68,Antonio Guayre,/en/players/82cf603f/Antonio-Guayre,Antonio-Guayre,82cf603f
69,Jonathan Vila,/en/players/7c3a3425/Jonathan-Vila,Jonathan-Vila,7c3a3425
70,George Lucas Coser,/en/players/8a4dce52/George-Lucas-Coser,George-Lucas-Coser,8a4dce52
71,Miguel Areias,/en/players/4143fba4/Miguel-Areias,Miguel-Areias,4143fba4
72,Dani Abalo,/en/players/d1b04adb/Dani-Abalo,Dani-Abalo,d1b04adb
73,﻿Rubén,/en/players/d0c06281/Ruben,Ruben,d0c06281
74,Roberto Lago,/en/players/98e0ad35/Roberto-Lago,Roberto-Lago,98e0ad35
75,Vitolo,/en/players/0785296e/Vitolo,Vitolo,0785296e
76,Agus,/en/players/ef7a542c/Agus,Agus,ef7a542c
77,Diego Costa,/en/players/a190d597/Diego-Costa,Diego-Costa,a190d597
78,Quincy Owusu-Abeyie,/en/players/a1d1f404/Quincy-Owusu-Abeyie,Quincy-Owusu-Abeyie,a1d1f404
79,Ioannis Okkas,/en/players/a2d9544d/Ioannis-Okkas,Ioannis-Okkas,a2d9544d
80,Michu,/en/players/98429b7b/Michu,Michu,98429b7b
81,Mario Suárez,/en/players/7106f0a0/Mario-Suarez,Mario-Suarez,7106f0a0
82,Ariel Rosada,/en/players/04e5057b/Ariel-Rosada,Ariel-Rosada,04e5057b
83,Juan Manuel Peña,/en/players/0f7909da/Juan-Manuel-Pena,Juan-Manuel-Pena,0f7909da
84,Julián Vara,/en/players/5c92e249/Julian-Vara,Julian-Vara,5c92e249
85,Fernando Sales,/en/players/24486536/Fernando-Sales,Fernando-Sales,24486536
86,Vladimir Manchev,/en/players/005a9b28/Vladimir-Manchev,Vladimir-Manchev,005a9b28
87,Noel Alonso,/en/players/6991e767/Noel-Alonso,Noel-Alonso,6991e767
88,Petar Zanev,/en/players/8ee7161d/Petar-Zanev,Petar-Zanev,8ee7161d
89,Adrián González,/en/players/57ebd662/Adrian-Gonzalez,Adrian-Gonzalez,57ebd662
90,Richy,/en/players/1d5089f0/Richy,Richy,1d5089f0
91,Ferrán Tacón,/en/players/554253f5/Ferran-Tacon,Ferran-Tacon,554253f5
92,Goran Marić,/en/players/71251e74/Goran-Maric,Goran-Maric,71251e74
93,Rubén,/en/players/d0c06281/Ruben,Ruben,d0c06281
94,Dinei,/en/players/8a9fbd03/Dinei,Dinei,8a9fbd03
95,Antonio Notario,/en/players/b49f31c5/Antonio-Notario,Antonio-Notario,b49f31c5
96,Edu Moya,/en/players/7da62f29/Edu-Moya,Edu-Moya,7da62f29
97,Kamel Ghilas,/en/players/7b144fc2/Kamel-Ghilas,Kamel-Ghilas,7b144fc2
98,Roberto Trashorras,/en/players/5252fdf5/Roberto-Trashorras,Roberto-Trashorras,5252fdf5
99,David Rodríguez,/en/players/bae862bf/David-Rodriguez,David-Rodriguez,bae862bf
100,Óscar Díaz,/en/players/5a5ed410/Oscar-Diaz,Oscar-Diaz,5a5ed410
101,Francisco Noguerol,/en/players/73bdd0b1/Francisco-Noguerol,Francisco-Noguerol,73bdd0b1
102,Fernando Fajardo,/en/players/5d586062/Fernando-Fajardo,Fernando-Fajardo,5d586062
103,Jordi,/en/players/744a8a7c/Jordi,Jordi,744a8a7c
104,Renan Garcia,/en/players/b5a5e775/Renan-Garcia,Renan-Garcia,b5a5e775
105,Ismael Falcón,/en/players/5d2574f2/Ismael-Falcon,Ismael-Falcon,5d2574f2
106,Fabiano,/en/players/2db8eed9/Fabiano,Fabiano,2db8eed9
107,Iago Iglesias,/en/players/3fc7655e/Iago-Iglesias,Iago-Iglesias,3fc7655e
108,Danilo Sacramento,/en/players/315991b7/Danilo-Sacramento,Danilo-Sacramento,315991b7
109,Māris Verpakovskis,/en/players/9f8f8a29/Maris-Verpakovskis,Maris-Verpakovskis,9f8f8a29
110,Candela,/en/players/fc36e493/Candela,Candela,fc36e493
111,Joselu,/en/players/6265208f/Joselu,Joselu,6265208f
112,﻿Aritz López Garai,/en/players/59b0c4a0/Aritz-Lopez-Garai,Aritz-Lopez-Garai,59b0c4a0
113,Vasco Fernandes,/en/players/4a0a3759/Vasco-Fernandes,Vasco-Fernandes,4a0a3759
