2008-2009,Charlton-Athletic
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Mark Hudson,eng ENG,DF,43,43,0,3,"3,837",42.6,7,1,/en/players/e4e3de44/Mark-Hudson,4e3de44,Mark-Hudso
Nicky Bailey,eng ENG,MF,43,43,6,13,"3,792",42.1,9,0,/en/players/9f2550f3/Nicky-Bailey,9f2550f3,Nicky-Bai
Kelly Youga,cf CTA,DF,33,32,0,1,"2,800",31.1,7,1,/en/players/62c3e769/Kelly-Youga,62c3e769,Kelly-Youg
Lloyd Sam,gh GHA,MF,38,28,8,0,"2,512",27.9,3,0,/en/players/5d398e26/Lloyd-Sam,5d398e26,Lloyd-Sam
Rob Elliot,ie IRL,GK,23,23,0,0,"2,070",23.0,3,0,/en/players/b1b25949/Rob-Elliot,b1b25949,Rob-Elliot
Hameur Bouazza,dz ALG,"FW,MF",25,22,2,4,"1,983",22.0,4,0,/en/players/baca4d08/Hameur-Bouazza,baca4d08,Hameur-Bouazz
Nicky Weaver,eng ENG,GK,22,22,0,0,"1,980",22.0,0,0,/en/players/44509649/Nicky-Weaver,44509649,Nicky-Weav
Andy Gray,sct SCO,FW,27,21,0,7,"1,841",20.5,1,0,/en/players/54a44102/Andy-Gray,54a44102,Andy-G
Therry Racon,gp GLP,MF,19,19,1,3,"1,648",18.3,2,0,/en/players/3bcedbd2/Therry-Racon,3bcedbd2,Therry-Raco
Martin Cranie,eng ENG,DF,19,19,0,0,"1,581",17.6,4,0,/en/players/9e53837d/Martin-Cranie,9e53837d,Martin-Crani
Matt Holland,ie IRL,MF,34,18,1,1,"1,957",21.7,0,0,/en/players/87c9a037/Matt-Holland,87c9a037,Matt-Holland
Jonathan Fortune,eng ENG,DF,17,17,0,0,"1,467",16.3,2,0,/en/players/dfa0cd77/Jonathan-Fortune,dfa0cd77,Jonathan-Fortu
Luke Varney,eng ENG,"FW,MF",18,16,2,2,"1,444",16.0,2,0,/en/players/1757d8ed/Luke-Varney,1757d8ed,Luke-V
Darren Ward,eng ENG,DF,16,16,0,0,"1,354",15.0,0,0,/en/players/9ae008d4/Darren-Ward,9ae008d4,Darren-Ward
Jonjo Shelvey,eng ENG,MF,16,14,1,3,"1,116",12.4,3,0,/en/players/3727dd3c/Jonjo-Shelvey,3727dd3c,Jonjo-Shelv
Deon Burton,jm JAM,FW,20,12,0,5,"1,076",12.0,3,0,/en/players/c0567c0f/Deon-Burton,c0567c0f,Deon-Burto
José Semedo,pt POR,"DF,MF",18,12,1,0,"1,073",11.9,2,1,/en/players/f15af32e/Jose-Semedo,f15af32e,Jose-Semedo
Danny Butterfield,eng ENG,"DF,MF",12,12,0,0,"1,065",11.8,1,0,/en/players/d0ef7f30/Danny-Butterfield,d0ef7f30,Danny-Butterfield
Matthew Spring,eng ENG,MF,13,12,1,2,990,11.0,3,0,/en/players/33e1c345/Matthew-Spring,33e1c345,Matthew-Spring
Zheng Zhi,cn CHN,"DF,MF",13,11,1,1,965,10.7,1,0,/en/players/024850b5/Zheng-Zhi,024850b5,Zheng-Zhi
Grant Basey,wls WAL,DF,19,10,2,0,"1,027",11.4,1,0,/en/players/c7a44a4e/Grant-Basey,c7a44a4e,Grant-B
Trésor Kandol,cd COD,FW,13,10,0,2,952,10.6,3,0,/en/players/bcce1259/Tresor-Kandol,bcce1259,Tresor-Kando
Linvoy Primus,eng ENG,DF,10,10,0,1,832,9.2,0,0,/en/players/9098de87/Linvoy-Primus,9098de87,Linvoy-Primu
Tom Soares,eng ENG,MF,11,10,2,1,809,9.0,1,0,/en/players/b46e5985/Tom-Soares,b46e5985,Tom-So
Darren Ambrose,eng ENG,"FW,MF",21,9,0,0,929,10.3,2,0,/en/players/6e5117de/Darren-Ambrose,6e5117de,Darren-Ambro
Yassin Moutaouakil,fr FRA,DF,11,9,1,0,804,8.9,0,0,/en/players/a93feb7b/Yassin-Moutaouakil,93feb7b,Yassin-Moutaouaki
Graeme Murty,sct SCO,DF,8,8,0,0,643,7.1,2,0,/en/players/6b4b0d92/Graeme-Murty,6b4b0d92,Graeme-Murt
Chris Dickson,gh GHA,FW,21,6,0,0,774,8.6,3,0,/en/players/fc246d54/Chris-Dickson,fc246d54,Chris-Dickso
Jay McEveley,sct SCO,DF,6,6,0,0,462,5.1,3,0,/en/players/c5c63c9a/Jay-McEveley,c5c63c9a,Jay-McEv
Martyn Waghorn,eng ENG,"FW,MF",7,4,0,1,347,3.9,0,0,/en/players/8ebea784/Martyn-Waghorn,8ebea784,Martyn-Wagho
Keith Gillespie,nir NIR,"FW,MF",6,4,0,0,318,3.5,0,0,/en/players/012f440e/Keith-Gillespie,012f440e,Keith-Gillespi
Svetoslav Todorov,bg BUL,FW,13,2,0,1,403,4.5,0,0,/en/players/504688a9/Svetoslav-Todorov,504688a9,Svetoslav-Todorov
Josh Wright,eng ENG,MF,2,2,0,0,152,1.7,0,0,/en/players/2aa43fab/Josh-Wright,2aa43fab,Josh-Wright
Izale McLeod,eng ENG,FW,2,2,0,0,135,1.5,0,0,/en/players/d95b933e/Izale-McLeod,d95b933e,Izale-McLeod
Darren Randolph,ie IRL,GK,1,1,0,0,90,1.0,1,0,/en/players/6385ebfb/Darren-Randolph,6385ebfb,Darren-Randolph
Chris Solly,eng ENG,DF,1,1,0,0,77,0.9,0,0,/en/players/35ac3d8c/Chris-Solly,35ac3d8c,Chris-So
Jerome Thomas,eng ENG,"FW,MF",1,1,0,0,77,0.9,0,0,/en/players/94cf0dab/Jerome-Thomas,94cf0dab,Jerome-Thom
Scott Wagstaff,eng ENG,MF,2,0,0,0,29,0.3,0,0,/en/players/81d066f9/Scott-Wagstaff,81d066f9,Scott-Wagstaff
Tamer Tuna,tr TUR,FW,2,0,0,0,21,0.2,0,0,/en/players/5b5e1a41/Tamer-Tuna,5b5e1a41,Tamer-Tu
