2007-2008,Chelsea
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Joe Cole,eng ENG,MF,33,28,5,7,"2,468",27.4,5,0,/en/players/2c2f117b/Joe-Cole,2c2f117b,Joe-Co
Ashley Cole,eng ENG,DF,27,27,1,1,"2,413",26.8,4,1,/en/players/be091289/Ashley-Cole,be091289,Ashley-Co
Petr Čech,cz CZE,GK,26,26,0,0,"2,313",25.7,0,0,/en/players/71672fa0/Petr-Cech,71672fa0,Petr-Cech
Salomon Kalou,ci CIV,"FW,MF",30,24,10,7,"2,133",23.7,1,0,/en/players/2042d931/Salomon-Kalou,2042d931,Salomon-Kalou
Michael Essien,gh GHA,"DF,MF",27,23,3,6,"2,096",23.3,5,1,/en/players/d6577282/Michael-Essien,d6577282,Michael-Essi
Frank Lampard,eng ENG,MF,24,23,8,10,"1,955",21.7,4,1,/en/players/268df6b1/Frank-Lampard,268df6b1,Frank-Lampard
John Terry,eng ENG,DF,23,23,1,1,"1,895",21.1,6,0,/en/players/68517cfd/John-Terry,68517cfd,John-T
Alex,br BRA,DF,28,22,1,2,"2,072",23.0,4,0,/en/players/58721835/Alex,58721835,Alex
John Obi Mikel,ng NGA,MF,29,21,0,0,"1,954",21.7,5,1,/en/players/424d5f72/John-Obi-Mikel,424d5f72,John-Obi-Mik
Ricardo Carvalho,pt POR,DF,21,21,0,1,"1,746",19.4,6,1,/en/players/57e7081e/Ricardo-Carvalho,57e7081e,Ricardo-Carvalho
Juliano Belletti,br BRA,"DF,MF",23,20,1,2,"1,919",21.3,5,0,/en/players/a4432ca2/Juliano-Belletti,4432ca2,Juliano-Belletti
Shaun Wright-Phillips,eng ENG,"FW,MF",27,20,4,2,"1,647",18.3,1,0,/en/players/e1e0b05f/Shaun-Wright-Phillips,1e0b05f,Shaun-Wright-Philli
Didier Drogba,ci CIV,FW,19,17,6,8,"1,525",16.9,6,1,/en/players/945dea33/Didier-Drogba,945dea33,Didier-Drogb
Michael Ballack,de GER,MF,18,16,1,7,"1,410",15.7,5,0,/en/players/9d1b8b6b/Michael-Ballack,9d1b8b6b,Michael-Ballack
Florent Malouda,fr FRA,"FW,MF",21,16,1,2,"1,391",15.5,2,0,/en/players/6fe6d820/Florent-Malouda,6fe6d820,Florent-Maloud
Paulo Ferreira,pt POR,DF,18,15,1,0,"1,292",14.4,1,0,/en/players/4ca16d65/Paulo-Ferreira,4ca16d65,Paulo-Ferrei
Claude Makélélé,fr FRA,MF,18,15,0,0,"1,221",13.6,1,0,/en/players/c27d01de/Claude-Makelele,c27d01de,Claude-Mak
Tal Ben Haim,il ISR,DF,13,10,0,0,"1,018",11.3,2,0,/en/players/2277a390/Tal-Ben-Haim,2277a390,Tal-Ben-Haim
Nicolas Anelka,fr FRA,FW,14,10,5,1,964,10.7,0,0,/en/players/931ed5e9/Nicolas-Anelka,931ed5e9,Nicolas-Anelk
Carlo Cudicini,it ITA,GK,10,10,0,0,900,10.0,0,0,/en/players/df77463a/Carlo-Cudicini,df77463a,Carlo-Cudicini
Wayne Bridge,eng ENG,DF,11,9,1,0,818,9.1,0,0,/en/players/86b982bc/Wayne-Bridge,86b982bc,Wayne-Bridg
Andriy Shevchenko,ua UKR,FW,17,8,1,5,745,8.3,0,0,/en/players/32eb0f30/Andriy-Shevchenko,32eb0f30,Andriy-Shevchenko
Steve Sidwell,eng ENG,MF,15,7,1,0,518,5.8,1,0,/en/players/ed083afd/Steve-Sidwell,d083afd,Steve-Sidw
Claudio Pizarro,pe PER,FW,21,4,1,2,693,7.7,1,0,/en/players/54b6ee79/Claudio-Pizarro,54b6ee79,Claudio-Pizarro
Henrique Hilário,pt POR,GK,3,2,0,0,207,2.3,0,0,/en/players/0fbcbed1/Henrique-Hilario,0fbcbed1,Henrique-Hilario
Scott Sinclair,eng ENG,"FW,MF",1,0,0,0,15,0.2,0,0,/en/players/273c483b/Scott-Sinclair,273c483b,Scott-Sinclai
