2015-2016,Chievo
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Albano Bizzarri,ar ARG,GK,35,35,0,0,"3,150",35.0,2,0,/en/players/32b9b5fa/Albano-Bizzarri,32b9b5fa,Albano-Bizzarri
Lucas Castro,ar ARG,MF,34,32,1,3,"2,785",30.9,9,0,/en/players/56b2957b/Lucas-Castro,56b2957b,Lucas-Castro
Valter Birsa,si SVN,"MF,FW",35,32,7,6,"2,365",26.3,4,0,/en/players/455a2b79/Valter-Birsa,455a2b79,Valter-Bi
Massimo Gobbi,it ITA,DF,34,31,1,0,"2,788",31.0,7,0,/en/players/635b0bae/Massimo-Gobbi,635b0bae,Massimo-Gobbi
Boštjan Cesar,si SVN,DF,31,30,0,1,"2,717",30.2,10,1,/en/players/c1d18f10/Bostjan-Cesar,c1d18f10,Bostjan-C
Përparim Hetemaj,fi FIN,MF,28,26,0,1,"2,255",25.1,7,0,/en/players/90b70194/Perparim-Hetemaj,90b70194,Perparim-Hetemaj
Fabrizio Cacciatore,it ITA,DF,29,25,3,1,"2,313",25.7,6,0,/en/players/00b0bb87/Fabrizio-Cacciatore,00b0bb87,Fabrizio-Cacciato
Ivan Radovanović,rs SRB,MF,26,25,0,0,"2,076",23.1,9,0,/en/players/023937a9/Ivan-Radovanovic,023937a9,Ivan-Radovanovic
Nicola Rigoni,it ITA,MF,28,22,1,3,"1,986",22.1,7,0,/en/players/e327bd76/Nicola-Rigoni,327bd76,Nicola-Rigoni
Alessandro Gamberini,it ITA,DF,22,22,1,0,"1,809",20.1,1,0,/en/players/8ec95452/Alessandro-Gamberini,8ec95452,Alessandro-Gamberini
Alberto Paloschi,it ITA,FW,21,19,2,8,"1,668",18.5,1,0,/en/players/b5cae4e6/Alberto-Paloschi,b5cae4e6,Alberto-Paloschi
Riccardo Meggiorini,it ITA,FW,26,19,7,5,"1,640",18.2,8,1,/en/players/2ec0f902/Riccardo-Meggiorini,2ec0f902,Riccardo-Meggiorini
Nicolas Frey,fr FRA,DF,19,17,0,0,"1,484",16.5,3,0,/en/players/6378443d/Nicolas-Frey,6378443d,Nicolas-F
Dario Dainelli,it ITA,DF,18,15,0,1,"1,378",15.3,5,0,/en/players/3858e611/Dario-Dainelli,3858e611,Dario-Dainelli
Roberto Inglese,it ITA,FW,26,14,1,3,"1,383",15.4,3,0,/en/players/6c1f7328/Roberto-Inglese,6c1f7328,Roberto-Ing
Sergio Pellissier,it ITA,FW,19,10,0,5,952,10.6,2,0,/en/players/878ee034/Sergio-Pellissier,878ee034,Sergio-Pellissi
Giampiero Pinzi,it ITA,MF,18,9,0,0,994,11.0,7,0,/en/players/8857991f/Giampiero-Pinzi,8857991f,Giampiero-Pinzi
Nicolás Spolli,ar ARG,DF,10,8,0,0,770,8.6,4,1,/en/players/9a560ebe/Nicolas-Spolli,9a560ebe,Nicolas-Spolli
Antonio Floro Flores,it ITA,"FW,MF",14,8,0,1,652,7.2,2,0,/en/players/d6846501/Antonio-Floro-Flores,d6846501,Antonio-Floro-Flo
Simone Pepe,it ITA,"MF,FW",22,6,3,3,798,8.9,3,1,/en/players/1f3674c2/Simone-Pepe,1f3674c2,Simone-P
Paul-Jose M'Poku,cd COD,"FW,MF",20,6,0,0,764,8.5,3,0,/en/players/6ec1ddf1/Paul-Jose-MPoku,6ec1ddf1,Paul-Jose-MPoku
Gennaro Sardo,it ITA,DF,6,3,0,1,331,3.7,3,0,/en/players/efffc3d5/Gennaro-Sardo,fffc3d5,Gennaro-Sardo
Andrea Seculin,it ITA,GK,3,3,0,0,270,3.0,0,0,/en/players/c4f573f4/Andrea-Seculin,c4f573f4,Andrea-Seculi
Federico Mattiello,it ITA,DF,1,1,1,0,90,1.0,0,0,/en/players/fba81826/Federico-Mattiello,fba81826,Federico-Mattiello
Filippo Costa,it ITA,"DF,MF",6,0,0,0,134,1.5,0,0,/en/players/00528660/Filippo-Costa,00528660,Filippo-Cost
Nikola Ninković,rs SRB,"FW,MF",1,0,0,0,8,0.1,0,0,/en/players/ab1263d2/Nikola-Ninkovic,b1263d2,Nikola-Ninkovic
Cristiano Biraghi,it ITA,"DF,MF",0,0,,,,,,,/en/players/9e1577aa/Cristiano-Biraghi,9e1577aa,Cristiano-Biraghi
Walter Bressan,it ITA,GK,0,0,,,,,,,/en/players/305dae6e/Walter-Bressan,305dae6e,Walter-B
Anders Christiansen,dk DEN,MF,0,0,,,,,,,/en/players/770ebf00/Anders-Christiansen,770ebf00,Anders-Christi
Alessandro Confente,it ITA,GK,0,0,,,,,,,/en/players/95a3fe33/Alessandro-Confente,95a3fe33,Alessandro-Confent
Filippo Damian,it ITA,MF,0,0,,,,,,,/en/players/ca92e4d6/Filippo-Damian,ca92e4d6,Filippo-Dami
Fabio Depaoli,it ITA,"DF,MF",0,0,,,,,,,/en/players/d97f2e8d/Fabio-Depaoli,d97f2e8d,Fabio-Depaoli
Mariano Julio Izco,ar ARG,MF,0,0,,,,,,,/en/players/0d2bdb4b/Mariano-Julio-Izco,0d2bdb4b,Mariano-Julio-Izco
