,Player,Link,Player_name(param),Player_id(param)
0,﻿Simone Perrotta,/en/players/12fedefa/Simone-Perrotta,Simone-Perrotta,12fedefa
1,Salvatore Lanna,/en/players/2a630473/Salvatore-Lanna,Salvatore-Lanna,2a630473
2,Nicola Legrottaglie,/en/players/c3c63a36/Nicola-Legrottaglie,Nicola-Legrottaglie,c3c63a36
3,Eugenio Corini,/en/players/cb7ea0e3/Eugenio-Corini,Eugenio-Corini,cb7ea0e3
4,Fabio Moro,/en/players/0ef0e027/Fabio-Moro,Fabio-Moro,0ef0e027
5,Daniele Franceschini,/en/players/3dc8f35c/Daniele-Franceschini,Daniele-Franceschini,3dc8f35c
6,Lorenzo D'Anna,/en/players/6364abd3/Lorenzo-DAnna,Lorenzo-DAnna,6364abd3
7,Cristiano Lupatelli,/en/players/0fb9a389/Cristiano-Lupatelli,Cristiano-Lupatelli,0fb9a389
8,Federico Cossato,/en/players/615d33df/Federico-Cossato,Federico-Cossato,615d33df
9,Luciano,/en/players/11adc5e8/Luciano,Luciano,11adc5e8
10,Oliver Bierhoff,/en/players/dbb8741e/Oliver-Bierhoff,Oliver-Bierhoff,dbb8741e
11,Sergio Pellissier,/en/players/878ee034/Sergio-Pellissier,Sergio-Pellissier,878ee034
12,Massimo Marazzina,/en/players/8b0f45d8/Massimo-Marazzina,Massimo-Marazzina,8b0f45d8
13,Ivano Della Morte,/en/players/7b826a43/Ivano-Della-Morte,Ivano-Della-Morte,7b826a43
14,Marco Ambrosio,/en/players/055b2cff/Marco-Ambrosio,Marco-Ambrosio,055b2cff
15,Saša Bjelanović,/en/players/192f6c2b/Sasa-Bjelanovic,Sasa-Bjelanovic,192f6c2b
16,John Mensah,/en/players/142ed694/John-Mensah,John-Mensah,142ed694
17,Stefano Lorenzi,/en/players/68c13467/Stefano-Lorenzi,Stefano-Lorenzi,68c13467
18,Daniel Andersson,/en/players/b12ba903/Daniel-Andersson,Daniel-Andersson,b12ba903
19,Emanuele Pesaresi,/en/players/6d94c37b/Emanuele-Pesaresi,Emanuele-Pesaresi,6d94c37b
20,Dario Passoni,/en/players/3b677966/Dario-Passoni,Dario-Passoni,3b677966
21,Luigi Beghetto,/en/players/c1124dd1/Luigi-Beghetto,Luigi-Beghetto,c1124dd1
22,Lilian Nalis,/en/players/dfe37369/Lilian-Nalis,Lilian-Nalis,dfe37369
23,Ivone De Franceschi,/en/players/21fc1e8d/Ivone-De-Franceschi,Ivone-De-Franceschi,21fc1e8d
24,Gianluca Grassadonia,/en/players/367018bb/Gianluca-Grassadonia,Gianluca-Grassadonia,367018bb
25,Maurizio D'Angelo,/en/players/7ee9c38a/Maurizio-DAngelo,Maurizio-DAngelo,7ee9c38a
26,Marcos de Paula,/en/players/db0764ad/Marcos-de-Paula,Marcos-de-Paula,db0764ad
27,Simone Perrotta,/en/players/12fedefa/Simone-Perrotta,Simone-Perrotta,12fedefa
28,Luca Marchegiani,/en/players/aa3ed24e/Luca-Marchegiani,Luca-Marchegiani,aa3ed24e
29,Andrea Barzagli,/en/players/7c0000fd/Andrea-Barzagli,Andrea-Barzagli,7c0000fd
30,Mario Santana,/en/players/a48abd4a/Mario-Santana,Mario-Santana,a48abd4a
31,Franco Semioli,/en/players/e7c40d46/Franco-Semioli,Franco-Semioli,e7c40d46
32,Amauri,/en/players/b6d4bf9d/Amauri,Amauri,b6d4bf9d
33,Roberto Baronio,/en/players/6888b53a/Roberto-Baronio,Roberto-Baronio,6888b53a
34,Luigi Sala,/en/players/d447541e/Luigi-Sala,Luigi-Sala,d447541e
35,Andrea Zanchetta,/en/players/7d187d25/Andrea-Zanchetta,Andrea-Zanchetta,7d187d25
36,Giuseppe Sculli,/en/players/cef60dc5/Giuseppe-Sculli,Giuseppe-Sculli,cef60dc5
37,Marco Malagò,/en/players/bbcfbfed/Marco-Malago,Marco-Malago,bbcfbfed
38,Stefano Morrone,/en/players/7cbeee73/Stefano-Morrone,Stefano-Morrone,7cbeee73
39,Giorgio Frezzolini,/en/players/0b969bc1/Giorgio-Frezzolini,Giorgio-Frezzolini,0b969bc1
40,Simone Bonomi,/en/players/072942f5/Simone-Bonomi,Simone-Bonomi,072942f5
41,César Cervo Luca,/en/players/d65f1e98/Cesar-Cervo-Luca,Cesar-Cervo-Luca,d65f1e98
42,Mauricio Pinilla,/en/players/33bd231e/Mauricio-Pinilla,Mauricio-Pinilla,33bd231e
43,Higo Seara Santos de Oliveira,/en/players/421db1d6/Higo-Seara-Santos-de-Oliveira,Higo-Seara-Santos-de-Oliveira,421db1d6
44,﻿Luca Marchegiani,/en/players/aa3ed24e/Luca-Marchegiani,Luca-Marchegiani,aa3ed24e
45,Davide Mandelli,/en/players/080c7e87/Davide-Mandelli,Davide-Mandelli,080c7e87
46,Alessandro Potenza,/en/players/58e1cadb/Alessandro-Potenza,Alessandro-Potenza,58e1cadb
47,Simone Tiribocchi,/en/players/34d0649a/Simone-Tiribocchi,Simone-Tiribocchi,34d0649a
48,Paolo Sammarco,/en/players/3c1e4e84/Paolo-Sammarco,Paolo-Sammarco,3c1e4e84
49,Mattia Marchesetti,/en/players/8a2aa7e1/Mattia-Marchesetti,Mattia-Marchesetti,8a2aa7e1
50,Massimiliano Fusani,/en/players/4dcbda67/Massimiliano-Fusani,Massimiliano-Fusani,4dcbda67
51,Sergio Marcon,/en/players/5dae3627/Sergio-Marcon,Sergio-Marcon,5dae3627
52,Riccardo Allegretti,/en/players/52ddad74/Riccardo-Allegretti,Riccardo-Allegretti,52ddad74
53,Davide Succi,/en/players/fc8f7e20/Davide-Succi,Davide-Succi,fc8f7e20
54,﻿Salvatore Lanna,/en/players/2a630473/Salvatore-Lanna,Salvatore-Lanna,2a630473
55,Alberto Fontana,/en/players/1942d36b/Alberto-Fontana,Alberto-Fontana,1942d36b
56,Matteo Brighi,/en/players/d417b306/Matteo-Brighi,Matteo-Brighi,d417b306
57,Giuseppe Scurto,/en/players/59a55575/Giuseppe-Scurto,Giuseppe-Scurto,59a55575
58,Victor Obinna,/en/players/c21b9d9d/Victor-Obinna,Victor-Obinna,c21b9d9d
59,Lorenzo Squizzi,/en/players/e9285c4a/Lorenzo-Squizzi,Lorenzo-Squizzi,e9285c4a
60,Andrea Mantovani,/en/players/edd0f995/Andrea-Mantovani,Andrea-Mantovani,edd0f995
61,Giuseppe Gemiti,/en/players/dd67558e/Giuseppe-Gemiti,Giuseppe-Gemiti,dd67558e
62,﻿Davide Mandelli,/en/players/080c7e87/Davide-Mandelli,Davide-Mandelli,080c7e87
63,Vincenzo Sicignano,/en/players/acb7cc4a/Vincenzo-Sicignano,Vincenzo-Sicignano,acb7cc4a
64,Erjon Bogdani,/en/players/b7b545b5/Erjon-Bogdani,Erjon-Bogdani,b7b545b5
65,Vincenzo Italiano,/en/players/accda0f5/Vincenzo-Italiano,Vincenzo-Italiano,accda0f5
66,Michele Marcolini,/en/players/fefecf08/Michele-Marcolini,Michele-Marcolini,fefecf08
67,Giovanni Marchese,/en/players/55142846/Giovanni-Marchese,Giovanni-Marchese,55142846
68,Kamil Kosowski,/en/players/efdefe4c/Kamil-Kosowski,Kamil-Kosowski,efdefe4c
69,Federico Giunti,/en/players/96dca9f2/Federico-Giunti,Federico-Giunti,96dca9f2
70,Denis Godeas,/en/players/fab28911/Denis-Godeas,Denis-Godeas,fab28911
71,Cesare Rickler,/en/players/18e5e0f2/Cesare-Rickler,Cesare-Rickler,18e5e0f2
72,Salvatore Bruno,/en/players/397033b8/Salvatore-Bruno,Salvatore-Bruno,397033b8
73,César Prates,/en/players/ceb38166/Cesar-Prates,Cesar-Prates,ceb38166
74,Giuseppe Cozzolino,/en/players/f6af70f5/Giuseppe-Cozzolino,Giuseppe-Cozzolino,f6af70f5
75,Michele Troiano,/en/players/103450c8/Michele-Troiano,Michele-Troiano,103450c8
76,Xhulian Rrudho,/en/players/dafe73bb/Xhulian-Rrudho,Xhulian-Rrudho,dafe73bb
77,Stefano Garzon,/en/players/544dab5f/Stefano-Garzon,Stefano-Garzon,544dab5f
78,﻿Lorenzo Squizzi,/en/players/e9285c4a/Lorenzo-Squizzi,Lorenzo-Squizzi,e9285c4a
79,Simone Bentivoglio,/en/players/7a8ecf0b/Simone-Bentivoglio,Simone-Bentivoglio,7a8ecf0b
80,Maurizio Ciaramitaro,/en/players/f6b68943/Maurizio-Ciaramitaro,Maurizio-Ciaramitaro,f6b68943
81,Antimo Iunco,/en/players/d8acb909/Antimo-Iunco,Antimo-Iunco,d8acb909
82,Mirco Gasparetto,/en/players/787ee38b/Mirco-Gasparetto,Mirco-Gasparetto,787ee38b
83,Aleandro Rosi,/en/players/1b729ba2/Aleandro-Rosi,Aleandro-Rosi,1b729ba2
84,Tommaso Chiecchi,/en/players/36253895/Tommaso-Chiecchi,Tommaso-Chiecchi,36253895
85,Luca Rigoni,/en/players/4dba2a97/Luca-Rigoni,Luca-Rigoni,4dba2a97
86,Giuseppe Greco,/en/players/0c3c4de8/Giuseppe-Greco,Giuseppe-Greco,0c3c4de8
87,Rubén Maldonado,/en/players/9cef03a0/Ruben-Maldonado,Ruben-Maldonado,9cef03a0
88,Marino Defendi,/en/players/87ae0c78/Marino-Defendi,Marino-Defendi,87ae0c78
89,Gabriele Aldegani,/en/players/43dffc6b/Gabriele-Aldegani,Gabriele-Aldegani,43dffc6b
90,Mattia Passarini,/en/players/e6c6711e/Mattia-Passarini,Mattia-Passarini,e6c6711e
91,﻿Sergio Pellissier,/en/players/878ee034/Sergio-Pellissier,Sergio-Pellissier,878ee034
92,Stefano Sorrentino,/en/players/048877f5/Stefano-Sorrentino,Stefano-Sorrentino,048877f5
93,Mario Yepes,/en/players/a7562b55/Mario-Yepes,Mario-Yepes,a7562b55
94,Giampiero Pinzi,/en/players/8857991f/Giampiero-Pinzi,Giampiero-Pinzi,8857991f
95,Nicolas Frey,/en/players/6378443d/Nicolas-Frey,Nicolas-Frey,6378443d
96,Santiago Morero,/en/players/33176ade/Santiago-Morero,Santiago-Morero,33176ade
97,Mauro Esposito,/en/players/ef9aecbb/Mauro-Esposito,Mauro-Esposito,ef9aecbb
98,Antonio Langella,/en/players/a94cb87a/Antonio-Langella,Antonio-Langella,a94cb87a
99,Francesco Scardina,/en/players/61c18f85/Francesco-Scardina,Francesco-Scardina,61c18f85
100,Stephen Makinwa,/en/players/9bafb175/Stephen-Makinwa,Stephen-Makinwa,9bafb175
101,Gennaro Sardo,/en/players/efffc3d5/Gennaro-Sardo,Gennaro-Sardo,efffc3d5
102,Giuseppe Colucci,/en/players/e41ba477/Giuseppe-Colucci,Giuseppe-Colucci,e41ba477
103,Bogdan Pătrașcu,/en/players/06724380/Bogdan-Patrascu,Bogdan-Patrascu,06724380
104,Emanuele D'Anna,/en/players/327fbf35/Emanuele-DAnna,Emanuele-DAnna,327fbf35
105,Kerlon,/en/players/83133bfc/Kerlon,Kerlon,83133bfc
106,Yonese Hanine,/en/players/27c67977/Yonese-Hanine,Yonese-Hanine,27c67977
107,Andrea Burato,/en/players/ae19335d/Andrea-Burato,Andrea-Burato,ae19335d
108,Valerio Anastasi,/en/players/f23b66a4/Valerio-Anastasi,Valerio-Anastasi,f23b66a4
109,Simone Grippo,/en/players/8f2d246e/Simone-Grippo,Simone-Grippo,8f2d246e
110,﻿Stefano Sorrentino,/en/players/048877f5/Stefano-Sorrentino,Stefano-Sorrentino,048877f5
111,Manuel Iori,/en/players/b5463606/Manuel-Iori,Manuel-Iori,b5463606
112,Pablo Granoche,/en/players/468009df/Pablo-Granoche,Pablo-Granoche,468009df
113,Elvis Abbruscato,/en/players/3b0bc99c/Elvis-Abbruscato,Elvis-Abbruscato,3b0bc99c
114,Luca Ariatti,/en/players/ada8cf01/Luca-Ariatti,Luca-Ariatti,ada8cf01
115,Bojan Jokić,/en/players/8ac44cc2/Bojan-Jokic,Bojan-Jokic,8ac44cc2
116,Alessandro Sbaffo,/en/players/d7033172/Alessandro-Sbaffo,Alessandro-Sbaffo,d7033172
117,Boštjan Cesar,/en/players/c1d18f10/Bostjan-Cesar,Bostjan-Cesar,c1d18f10
118,Marco Andreolli,/en/players/13d820de/Marco-Andreolli,Marco-Andreolli,13d820de
119,Kévin Constant,/en/players/062b01b9/Kevin-Constant,Kevin-Constant,062b01b9
120,Gelson Fernandes,/en/players/8e58987d/Gelson-Fernandes,Gelson-Fernandes,8e58987d
121,Mariano Bogliacino,/en/players/ab028814/Mariano-Bogliacino,Mariano-Bogliacino,ab028814
122,Cyril Théréau,/en/players/4d3ab428/Cyril-Thereau,Cyril-Thereau,4d3ab428
123,Roberto Guana,/en/players/65fcaf78/Roberto-Guana,Roberto-Guana,65fcaf78
124,Nico Pulzetti,/en/players/d3b19afe/Nico-Pulzetti,Nico-Pulzetti,d3b19afe
125,Miloš Dimitrijević,/en/players/df1ea4bb/Milos-Dimitrijevic,Milos-Dimitrijevic,df1ea4bb
126,Fernando Uribe,/en/players/cec4c774/Fernando-Uribe,Fernando-Uribe,cec4c774
127,Michael Bradley,/en/players/fd5e3a73/Michael-Bradley,Michael-Bradley,fd5e3a73
128,Alberto Paloschi,/en/players/b5cae4e6/Alberto-Paloschi,Alberto-Paloschi,b5cae4e6
129,Përparim Hetemaj,/en/players/90b70194/Perparim-Hetemaj,Perparim-Hetemaj,90b70194
130,Boukary Dramé,/en/players/a5cd894b/Boukary-Drame,Boukary-Drame,a5cd894b
131,Francesco Acerbi,/en/players/b96b595c/Francesco-Acerbi,Francesco-Acerbi,b96b595c
132,Rinaldo Cruzado,/en/players/b737e5d4/Rinaldo-Cruzado,Rinaldo-Cruzado,b737e5d4
133,Kamil Vacek,/en/players/12aca697/Kamil-Vacek,Kamil-Vacek,12aca697
134,Davide Moscardelli,/en/players/3031dca3/Davide-Moscardelli,Davide-Moscardelli,3031dca3
135,Dario Dainelli,/en/players/3858e611/Dario-Dainelli,Dario-Dainelli,3858e611
136,Christian Puggioni,/en/players/b39dfab0/Christian-Puggioni,Christian-Puggioni,b39dfab0
137,Nikola Gulan,/en/players/24a741ac/Nikola-Gulan,Nikola-Gulan,24a741ac
138,Francesco Grandolfo,/en/players/f286bb66/Francesco-Grandolfo,Francesco-Grandolfo,f286bb66
139,﻿Cyril Théréau,/en/players/4d3ab428/Cyril-Thereau,Cyril-Thereau,4d3ab428
140,Isaac Cofie,/en/players/c6dda86e/Isaac-Cofie,Isaac-Cofie,c6dda86e
141,Adrian Stoian,/en/players/4468b31a/Adrian-Stoian,Adrian-Stoian,4468b31a
142,Paul Papp,/en/players/db51db03/Paul-Papp,Paul-Papp,db51db03
143,David Di Michele,/en/players/e0edcd05/David-Di-Michele,David-Di-Michele,e0edcd05
144,Marco Rigoni,/en/players/703d969c/Marco-Rigoni,Marco-Rigoni,703d969c
145,Felipe Seymour,/en/players/daf0a30e/Felipe-Seymour,Felipe-Seymour,daf0a30e
146,Mario Sampirisi,/en/players/cda2ec29/Mario-Sampirisi,Mario-Sampirisi,cda2ec29
147,Pavol Farkaš,/en/players/6ad89d26/Pavol-Farkas,Pavol-Farkas,6ad89d26
148,Mamadou Samassa,/en/players/f5ce7201/Mamadou-Samassa,Mamadou-Samassa,f5ce7201
149,N'Diaye Djiby,/en/players/5c00bcbd/NDiaye-Djiby,NDiaye-Djiby,5c00bcbd
150,Nikos Spyropoulos,/en/players/44343e4d/Nikos-Spyropoulos,Nikos-Spyropoulos,44343e4d
151,Ali Sowe,/en/players/84e5adcd/Ali-Sowe,Ali-Sowe,84e5adcd
152,Victor da Silva,/en/players/2e3d47d8/Victor-da-Silva,Victor-da-Silva,2e3d47d8
153,Gabriel Hauche,/en/players/e0abe95e/Gabriel-Hauche,Gabriel-Hauche,e0abe95e
154,﻿Luca Rigoni,/en/players/4dba2a97/Luca-Rigoni,Luca-Rigoni,4dba2a97
155,Ivan Radovanović,/en/players/023937a9/Ivan-Radovanovic,Ivan-Radovanovic,023937a9
156,Michael Agazzi,/en/players/0eda0ab8/Michael-Agazzi,Michael-Agazzi,0eda0ab8
157,Marcelo Estigarribia,/en/players/188a2362/Marcelo-Estigarribia,Marcelo-Estigarribia,188a2362
158,Alessandro Bernardini,/en/players/0936ba4d/Alessandro-Bernardini,Alessandro-Bernardini,0936ba4d
159,Tiberio Guarente,/en/players/f5b9b859/Tiberio-Guarente,Tiberio-Guarente,f5b9b859
160,Alessio Sestu,/en/players/02895818/Alessio-Sestu,Alessio-Sestu,02895818
161,Matteo Rubin,/en/players/0473469e/Matteo-Rubin,Matteo-Rubin,0473469e
162,Claiton,/en/players/67a3c8bc/Claiton,Claiton,67a3c8bc
163,Michele Canini,/en/players/e171f762/Michele-Canini,Michele-Canini,e171f762
164,Dejan Lazarević,/en/players/0aac0c4c/Dejan-Lazarevic,Dejan-Lazarevic,0aac0c4c
165,Manuel Pamić,/en/players/daa27071/Manuel-Pamic,Manuel-Pamic,daa27071
166,Riccardo Improta,/en/players/f6dfa5b8/Riccardo-Improta,Riccardo-Improta,f6dfa5b8
167,Maxwell Acosty,/en/players/64a674d9/Maxwell-Acosty,Maxwell-Acosty,64a674d9
168,Tomasz Kupisz,/en/players/162fc0b3/Tomasz-Kupisz,Tomasz-Kupisz,162fc0b3
169,Matteo Ardemagni,/en/players/94a2c317/Matteo-Ardemagni,Matteo-Ardemagni,94a2c317
170,Leandro Paredes,/en/players/dff153a4/Leandro-Paredes,Leandro-Paredes,dff153a4
171,Maodo Malick Mbaye,/en/players/c05405c1/Maodo-Malick-Mbaye,Maodo-Malick-Mbaye,c05405c1
172,Adrián Calello,/en/players/3f332fc1/Adrian-Calello,Adrian-Calello,3f332fc1
173,﻿Nicolas Frey,/en/players/6378443d/Nicolas-Frey,Nicolas-Frey,6378443d
174,Valter Birsa,/en/players/455a2b79/Valter-Birsa,Valter-Birsa,455a2b79
175,Albano Bizzarri,/en/players/32b9b5fa/Albano-Bizzarri,Albano-Bizzarri,32b9b5fa
176,Mariano Julio Izco,/en/players/0d2bdb4b/Mariano-Julio-Izco,Mariano-Julio-Izco,0d2bdb4b
177,Ervin Zukanović,/en/players/1253a12e/Ervin-Zukanovic,Ervin-Zukanovic,1253a12e
178,Ezequiel Schelotto,/en/players/a6e316c1/Ezequiel-Schelotto,Ezequiel-Schelotto,a6e316c1
179,Riccardo Meggiorini,/en/players/2ec0f902/Riccardo-Meggiorini,Riccardo-Meggiorini,2ec0f902
180,Alessandro Gamberini,/en/players/8ec95452/Alessandro-Gamberini,Alessandro-Gamberini,8ec95452
181,Cristiano Biraghi,/en/players/9e1577aa/Cristiano-Biraghi,Cristiano-Biraghi,9e1577aa
182,Francesco Bardi,/en/players/0acda699/Francesco-Bardi,Francesco-Bardi,0acda699
183,Maxi López,/en/players/ad469944/Maxi-Lopez,Maxi-Lopez,ad469944
184,Rubén Botta,/en/players/b11fd1e7/Ruben-Botta,Ruben-Botta,b11fd1e7
185,Anders Christiansen,/en/players/770ebf00/Anders-Christiansen,Anders-Christiansen,770ebf00
186,Federico Mattiello,/en/players/fba81826/Federico-Mattiello,Federico-Mattiello,fba81826
187,Thomas Mangani,/en/players/c801616a/Thomas-Mangani,Thomas-Mangani,c801616a
188,Giannis Fetfatzidis,/en/players/d04d34c4/Giannis-Fetfatzidis,Giannis-Fetfatzidis,d04d34c4
189,Nicola Bellomo,/en/players/e69a103f/Nicola-Bellomo,Nicola-Bellomo,e69a103f
190,Edimar Fraga,/en/players/e1bcce4c/Edimar-Fraga,Edimar-Fraga,e1bcce4c
191,Myles Anderson,/en/players/47bd43ae/Myles-Anderson,Myles-Anderson,47bd43ae
192,Lamin Jallow,/en/players/6ece223a/Lamin-Jallow,Lamin-Jallow,6ece223a
193,Nicola Pozzi,/en/players/a594bbdd/Nicola-Pozzi,Nicola-Pozzi,a594bbdd
194,Andrea Seculin,/en/players/c4f573f4/Andrea-Seculin,Andrea-Seculin,c4f573f4
195,Armando Vajushi,/en/players/007ca113/Armando-Vajushi,Armando-Vajushi,007ca113
196,﻿Albano Bizzarri,/en/players/32b9b5fa/Albano-Bizzarri,Albano-Bizzarri,32b9b5fa
197,Lucas Castro,/en/players/56b2957b/Lucas-Castro,Lucas-Castro,56b2957b
198,Massimo Gobbi,/en/players/635b0bae/Massimo-Gobbi,Massimo-Gobbi,635b0bae
199,Fabrizio Cacciatore,/en/players/00b0bb87/Fabrizio-Cacciatore,Fabrizio-Cacciatore,00b0bb87
200,Nicola Rigoni,/en/players/e327bd76/Nicola-Rigoni,Nicola-Rigoni,e327bd76
201,Roberto Inglese,/en/players/6c1f7328/Roberto-Inglese,Roberto-Inglese,6c1f7328
202,Nicolás Spolli,/en/players/9a560ebe/Nicolas-Spolli,Nicolas-Spolli,9a560ebe
203,Antonio Floro Flores,/en/players/d6846501/Antonio-Floro-Flores,Antonio-Floro-Flores,d6846501
204,Simone Pepe,/en/players/1f3674c2/Simone-Pepe,Simone-Pepe,1f3674c2
205,Paul-Jose M'Poku,/en/players/6ec1ddf1/Paul-Jose-MPoku,Paul-Jose-MPoku,6ec1ddf1
206,Filippo Costa,/en/players/00528660/Filippo-Costa,Filippo-Costa,00528660
207,Nikola Ninković,/en/players/ab1263d2/Nikola-Ninkovic,Nikola-Ninkovic,ab1263d2
208,Walter Bressan,/en/players/305dae6e/Walter-Bressan,Walter-Bressan,305dae6e
209,Filippo Damian,/en/players/ca92e4d6/Filippo-Damian,Filippo-Damian,ca92e4d6
210,Fabio Depaoli,/en/players/d97f2e8d/Fabio-Depaoli,Fabio-Depaoli,d97f2e8d
211,Jonathan de Guzmán,/en/players/1bcca8b8/Jonathan-de-Guzman,Jonathan-de-Guzman,1bcca8b8
212,Samuel Bastien,/en/players/ec30b9c8/Samuel-Bastien,Samuel-Bastien,ec30b9c8
213,Serge Gakpé,/en/players/cf4053e2/Serge-Gakpe,Serge-Gakpe,cf4053e2
214,Sofian Kiyine,/en/players/ce1806be/Sofian-Kiyine,Sofian-Kiyine,ce1806be
215,Vittorio Parigini,/en/players/75efed2e/Vittorio-Parigini,Vittorio-Parigini,75efed2e
216,Alessandro Confente,/en/players/95a3fe33/Alessandro-Confente,Alessandro-Confente,95a3fe33
217,Andrea Isufaj,/en/players/e331ffad/Andrea-Isufaj,Andrea-Isufaj,e331ffad
218,Bismark Ngissah,/en/players/a851a8b5/Bismark-Ngissah,Bismark-Ngissah,a851a8b5
219,Raul Oprut,/en/players/ae3f56c2/Raul-Oprut,Raul-Oprut,ae3f56c2
220,Cesare Pogliano,/en/players/a7b37f98/Cesare-Pogliano,Cesare-Pogliano,a7b37f98
221,Mohamed Rabbas,/en/players/d08f3f9f/Mohamed-Rabbas,Mohamed-Rabbas,d08f3f9f
222,Edoardo Sbampato,/en/players/fa119bf5/Edoardo-Sbampato,Edoardo-Sbampato,fa119bf5
223,Michele Troiani,/en/players/852a1b70/Michele-Troiani,Michele-Troiani,852a1b70
224,Nenad Tomović,/en/players/6aafdc27/Nenad-Tomovic,Nenad-Tomovic,6aafdc27
225,Manuel Pucciarelli,/en/players/a1c7b425/Manuel-Pucciarelli,Manuel-Pucciarelli,a1c7b425
226,Mattia Bani,/en/players/0821331c/Mattia-Bani,Mattia-Bani,0821331c
227,Paweł Jaroszyński,/en/players/958a601f/Pawel-Jaroszynski,Pawel-Jaroszynski,958a601f
228,Mariusz Stępiński,/en/players/7b536033/Mariusz-Stepinski,Mariusz-Stepinski,7b536033
229,Luca Garritano,/en/players/1ceeae3e/Luca-Garritano,Luca-Garritano,1ceeae3e
230,Mehdi Léris,/en/players/7d3cbc67/Mehdi-Leris,Mehdi-Leris,7d3cbc67
231,Gianluca Gaudino,/en/players/0d72fbca/Gianluca-Gaudino,Gianluca-Gaudino,0d72fbca
232,Filippo Pavoni,/en/players/a9d81384/Filippo-Pavoni,Filippo-Pavoni,a9d81384
233,Strahinja Tanasijević,/en/players/618ab91f/Strahinja-Tanasijevic,Strahinja-Tanasijevic,618ab91f
234,Emanuel Vignato,/en/players/ec5dae45/Emanuel-Vignato,Emanuel-Vignato,ec5dae45
235,Federico Barba,/en/players/c010b898/Federico-Barba,Federico-Barba,c010b898
236,Emanuele Giaccherini,/en/players/1c50f354/Emanuele-Giaccherini,Emanuele-Giaccherini,1c50f354
237,Luca Rossettini,/en/players/47a500ae/Luca-Rossettini,Luca-Rossettini,47a500ae
238,Assane Dioussé,/en/players/7f622eef/Assane-Diousse,Assane-Diousse,7f622eef
239,Joel Obi,/en/players/614c38fb/Joel-Obi,Joel-Obi,614c38fb
240,Filip Đorđević,/en/players/dfb933e0/Filip-Djordjevic,Filip-Djordjevic,dfb933e0
241,Adrian Šemper,/en/players/f02dde20/Adrian-Semper,Adrian-Semper,f02dde20
242,Sergej Grubac,/en/players/a1bedc05/Sergej-Grubac,Sergej-Grubac,a1bedc05
243,Angelo Ndrecka,/en/players/fcd20025/Angelo-Ndrecka,Angelo-Ndrecka,fcd20025
244,Lucas Piazon,/en/players/f201798c/Lucas-Piazon,Lucas-Piazon,f201798c
245,Ibrahim Karamoko,/en/players/550985aa/Ibrahim-Karamoko,Ibrahim-Karamoko,550985aa
