2002-2003,Cordoba
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Javier Jauregui,es ESP,GK,42,42,0,0,"3,780",42.0,1,0,/en/players/d654aceb/Javier-Jauregui,d654aceb,Javier-Jauregui
Daniel López Ramos,es ESP,DF,38,38,0,1,"3,323",36.9,3,0,/en/players/915cea2d/Daniel-Lopez-Ramos,915cea2d,Daniel-Lopez-Ramo
Ramón,es ESP,DF,36,34,0,2,"3,055",33.9,14,0,/en/players/6892efc4/Ramon,6892efc4,Ramo
Gorka García,es ESP,DF,37,34,1,3,"2,951",32.8,4,0,/en/players/07adf7c8/Gorka-Garcia,07adf7c8,Gorka-Garci
Ariel Montenegro,ar ARG,MF,26,25,3,10,"2,185",24.3,2,0,/en/players/d5835cca/Ariel-Montenegro,d5835cca,Ariel-Montenegro
Moisés,es ESP,FW,23,23,3,6,"2,063",22.9,5,0,/en/players/e3415193/Moises,3415193,Moi
Andrés Pato Bernal,es ESP,DF,33,22,0,0,"2,213",24.6,2,0,/en/players/7405d294/Andres-Pato-Bernal,7405d294,Andres-Pato-B
Miguel Ángel Soria,es ESP,DF,21,21,1,0,"1,854",20.6,5,1,/en/players/22ab6697/Miguel-Angel-Soria,22ab6697,Miguel-Angel-Sori
Eloy Jiménez,es ESP,FW,26,20,0,0,"1,524",16.9,5,0,/en/players/facaf56c/Eloy-Jimenez,facaf56c,Eloy-Jimenez
Francisco Lama,es ESP,MF,21,19,0,0,"1,722",19.1,7,0,/en/players/39e2db59/Francisco-Lama,39e2db59,Francisco-Lam
Dennis Șerban,ro ROU,MF,21,18,6,3,"1,523",16.9,6,0,/en/players/c8abdfcc/Dennis-Serban,c8abdfcc,Dennis-Serb
Alfonso Sanchez,,,28,17,1,3,"1,554",17.3,7,0,No detected,,
Iñaki Berruet,es ESP,DF,16,16,0,1,"1,421",15.8,6,1,/en/players/9fd5c7b8/Inaki-Berruet,9fd5c7b8,Inaki-Berruet
Adil Ramzi,ma MAR,"FW,MF",20,16,2,2,"1,371",15.2,3,1,/en/players/48316f9e/Adil-Ramzi,48316f9e,Adil-Ramzi
Daniel Platero,,,22,14,0,1,"1,345",14.9,1,0,No detected,,
Antonio Sarmiento,es ESP,MF,16,13,0,0,"1,099",12.2,5,0,/en/players/8e2af521/Antonio-Sarmiento,8e2af521,Antonio-Sarmiento
Marquez Sandro,,,13,13,0,0,"1,019",11.3,1,2,No detected,,
M Soto,,,16,11,0,0,963,10.7,5,0,No detected,,
Javi Gracia,es ESP,MF,17,9,0,0,841,9.3,3,0,/en/players/f46017c3/Javi-Gracia,f46017c3,Javi-Graci
Garrido,es ESP,DF,9,9,0,0,809,9.0,3,0,/en/players/32852179/Garrido,32852179,Garrido
Manuel Ruano,es ESP,MF,15,9,0,0,697,7.7,3,0,/en/players/67eb7267/Manuel-Ruano,67eb7267,Manuel-Ruano
Juanlu,es ESP,"FW,MF",14,8,1,1,814,9.0,0,0,/en/players/431ac3e7/Juanlu,431ac3e7,Juanlu
Whelliton,br BRA,FW,17,6,1,1,745,8.3,4,1,/en/players/40e9437f/Whelliton,40e9437f,Whellito
Marcos Márquez,es ESP,FW,13,6,0,1,586,6.5,1,0,/en/players/914f774e/Marcos-Marquez,914f774e,Marcos-Marquez
Fernando,es ESP,MF,6,6,2,1,455,5.1,2,0,/en/players/b1255243/Fernando,b1255243,Fernando
Gomez Manolo,,,8,5,0,0,493,5.5,1,0,No detected,,
Grajales Salva,,,4,3,0,0,304,3.4,0,0,No detected,,
Gonzalez Juanito,,,5,3,0,0,240,2.7,0,0,No detected,,
Alfonso Gutierrez,,,7,1,0,0,247,2.7,0,0,No detected,,
Emmanuel David,no NOR,,4,1,0,0,134,1.5,1,0,/en/players/79064d56/Emmanuel-David,79064d56,Emmanuel-David
David Feito,es ESP,DF,1,0,0,0,28,0.3,0,0,/en/players/87973eb0/David-Feito,87973eb0,David-Feito
Rafa Navarro,,,1,0,0,0,16,0.2,0,0,No detected,,
Casado Alfonso,,,1,0,0,0,8,0.1,0,0,No detected,,
