,Player,Link,Player_id,Player_name,Nationality,Position
0,﻿Javier Jauregui,/en/players/d654aceb/Javier-Jauregui,d654aceb,Javier-Jauregui,es ESP,GK
1,Daniel López Ramos,/en/players/915cea2d/Daniel-Lopez-Ramos,915cea2d,Daniel-Lopez-Ramo,es ESP,DF
2,Ramón,/en/players/6892efc4/Ramon,6892efc4,Ramo,es ESP,DF
3,Gorka García,/en/players/07adf7c8/Gorka-Garcia,07adf7c8,Gorka-Garci,es ESP,DF
4,Ariel Montenegro,/en/players/d5835cca/Ariel-Montenegro,d5835cca,Ariel-Montenegro,ar ARG,MF
5,Moisés,/en/players/e3415193/Moises,3415193,Moi,es ESP,FW
6,Andrés Pato Bernal,/en/players/7405d294/Andres-Pato-Bernal,7405d294,Andres-Pato-B,es ESP,DF
7,Miguel Ángel Soria,/en/players/22ab6697/Miguel-Angel-Soria,22ab6697,Miguel-Angel-Sori,es ESP,DF
8,Eloy Jiménez,/en/players/facaf56c/Eloy-Jimenez,facaf56c,Eloy-Jimenez,es ESP,FW
9,Francisco Lama,/en/players/39e2db59/Francisco-Lama,39e2db59,Francisco-Lam,es ESP,MF
10,Dennis Șerban,/en/players/c8abdfcc/Dennis-Serban,c8abdfcc,Dennis-Serb,ro ROU,MF
12,Iñaki Berruet,/en/players/9fd5c7b8/Inaki-Berruet,9fd5c7b8,Inaki-Berruet,es ESP,DF
13,Adil Ramzi,/en/players/48316f9e/Adil-Ramzi,48316f9e,Adil-Ramzi,ma MAR,"FW,MF"
14,Antonio Sarmiento,/en/players/8e2af521/Antonio-Sarmiento,8e2af521,Antonio-Sarmiento,es ESP,MF
15,Javi Gracia,/en/players/f46017c3/Javi-Gracia,f46017c3,Javi-Graci,es ESP,MF
16,Garrido,/en/players/32852179/Garrido,32852179,Garrido,es ESP,DF
17,Manuel Ruano,/en/players/67eb7267/Manuel-Ruano,67eb7267,Manuel-Ruano,es ESP,MF
18,Juanlu,/en/players/431ac3e7/Juanlu,431ac3e7,Juanlu,es ESP,"FW,MF"
19,Whelliton,/en/players/40e9437f/Whelliton,40e9437f,Whellito,br BRA,FW
20,Marcos Márquez,/en/players/914f774e/Marcos-Marquez,914f774e,Marcos-Marquez,es ESP,FW
21,Fernando,/en/players/b1255243/Fernando,b1255243,Fernando,es ESP,MF
23,David Feito,/en/players/87973eb0/David-Feito,87973eb0,David-Feito,es ESP,DF
24,﻿Silvio González,/en/players/6db4e9a5/Silvio-Gonzalez,6db4e9a5,Silvio-Gonzalez,ar ARG,FW
25,Pablo Sierra,/en/players/224f3a5f/Pablo-Sierra,224f3a5f,Pablo-Si,es ESP,MF
26,Juanmi Gelabert,/en/players/2603ea8e/Juanmi-Gelabert,2603ea8e,Juanmi-Gelabert,es ESP,DF
27,Iñigo Larrainzar,/en/players/4c7b1e6c/Inigo-Larrainzar,4c7b1e6c,Inigo-Larrainz,es ESP,DF
28,Nicolás Olivera,/en/players/691fd00c/Nicolas-Olivera,691fd00c,Nicolas-Oliv,uy URU,"FW,MF"
29,Pablo Villa,/en/players/c6b66eea/Pablo-Villa,c6b66eea,Pablo-Vi,es ESP,FW
30,Christer George,/en/players/07bd582b/Christer-George,07bd582b,Christer-Georg,no NOR,MF
31,Andrés Fleurquin,/en/players/bf3705e6/Andres-Fleurquin,bf3705e6,Andres-Fleurqui,uy URU,MF
32,Txiki,/en/players/ec52d35e/Txiki,c52d35e,Txiki,es ESP,MF
33,Dante López,/en/players/c0ba22cc/Dante-Lopez,c0ba22cc,Dante-Lopez,py PAR,FW
34,Xavi Valero,/en/players/3db74cf4/Xavi-Valero,3db74cf4,Xavi-Valero,es ESP,GK
36,Sebastián Saja,/en/players/50a2cb6d/Sebastian-Saja,50a2cb6d,Sebastian-Saj,ar ARG,GK
37,Cristian Álvarez,/en/players/c7c82f11/Cristian-Alvarez,c7c82f11,Cristian-Alvarez,ar ARG,"DF,MF"
38,Mate Bilić,/en/players/37e6a4eb/Mate-Bilic,37e6a4eb,Mate-Bilic,hr CRO,FW
39,Juan Ramón Ruano,/en/players/fe3bdf87/Juan-Ramon-Ruano,fe3bdf87,Juan-Ramon-Ruano,es ESP,MF
40,Marc Bertrán,/en/players/89a12cef/Marc-Bertran,89a12cef,Marc-Bert,es ESP,DF
41,Fernando Marchiori,/en/players/dae6e39f/Fernando-Marchiori,dae6e39f,Fernando-Marchiori,br BRA,MF
42,Alessandro Pierini,/en/players/a8e313f0/Alessandro-Pierini,8e313f0,Alessandro-Pierini,it ITA,DF
43,Leopoldo Jiménez,/en/players/72582bf3/Leopoldo-Jimenez,72582bf3,Leopoldo-Jimenez,ve VEN,MF
44,Fernando Cáceres,/en/players/fab1ce6d/Fernando-Caceres,fab1ce6d,Fernando-Cac,ar ARG,DF
45,Boris,/en/players/6f531b7d/Boris,6f531b7d,Bori,es ESP,DF
46,Jonay Hernández,/en/players/446038aa/Jonay-Hernandez,446038aa,Jonay-Hernandez,ve VEN,DF
47,Anderson Costa,/en/players/589fcba7/Anderson-Costa,589fcba7,Anderson-Cost,br BRA,FW
48,Fredrik Söderström,/en/players/4a09c714/Fredrik-Soderstrom,4a09c714,Fredrik-Soderstrom,se SWE,MF
49,Óscar Pérez,/en/players/a4ae5f6a/Oscar-Perez,4ae5f6a,Oscar-Perez,es ESP,MF
50,Ángel Guirado,/en/players/2fde6ff7/Angel-Guirado,2fde6ff7,Angel-Guirado,ph PHI,"FW,MF"
51,Ángel Pérez,/en/players/a706bad3/Angel-Perez,706bad3,Angel-Perez,es ESP,DF
52,Sebastián Gómez,/en/players/75ee086f/Sebastian-Gomez,75ee086f,Sebastian-Gomez,ad AND,"FW,GK"
53,Jorge Pérez Sáenz,/en/players/70355cf3/Jorge-Perez-Saenz,70355cf3,Jorge-Perez-Saenz,es ESP,MF
54,Germán Rojas,/en/players/811fcf99/German-Rojas,811fcf99,German-Roj,es ESP,DF
55,Fali,/en/players/65c75bfe/Fali,65c75bfe,Fali,es ESP,"DF,MF"
56,Asen,/en/players/5725f8c6/Asen,5725f8c6,A,es ESP,FW
57,Ito,/en/players/dc620005/Ito,dc620005,Ito,es ESP,MF
58,Pablo Ruiz,/en/players/9fb57e68/Pablo-Ruiz,9fb57e68,Pablo-Ruiz,es ESP,DF
59,Diego Reyes Muñoz,/en/players/f52444a7/Diego-Reyes-Munoz,f52444a7,Diego-Reyes-Munoz,es ESP,DF
60,Dani González,/en/players/3f5737da/Dani-Gonzalez,3f5737da,Dani-Gonzalez,es ESP,FW
61,David Valle,/en/players/9870d851/David-Valle,9870d851,David-V,es ESP,GK
62,Arthuro,/en/players/af5bfaa6/Arthuro,f5bfaa6,Arthuro,br BRA,FW
63,José Acciari,/en/players/9e98922b/Jose-Acciari,9e98922b,Jose-Acciari,ar ARG,MF
64,Juanlu,/en/players/94b88487/Juanlu,94b88487,Juanlu,es ESP,MF
65,Julio Iglesias,/en/players/7b1bc63c/Julio-Iglesias,7b1bc63c,Julio-Iglesi,es ESP,GK
66,Endika Bordas,/en/players/ce394cc6/Endika-Bordas,ce394cc6,Endika-Bord,es ESP,MF
67,Javi Moreno,/en/players/64497d05/Javi-Moreno,64497d05,Javi-Moreno,es ESP,FW
68,Mario Gómez Atanet,/en/players/f8f74950/Mario-Gomez-Atanet,f8f74950,Mario-Gomez-Atanet,es ESP,DF
70,Rubén Párraga,/en/players/c8a5798c/Ruben-Parraga,c8a5798c,Ruben-Parrag,es ESP,DF
71,Guzmán Casaseca,/en/players/f05d4004/Guzman-Casaseca,f05d4004,Guzman-Casasec,es ESP,MF
72,Julio Pineda,/en/players/09fc23e7/Julio-Pineda,09fc23e7,Julio-Pined,es ESP,FW
73,Antonio González,/en/players/89f9eead/Antonio-Gonzalez,89f9eead,Antonio-Gonzalez,es ESP,DF
74,Javi Flores,/en/players/867f9ede/Javi-Flores,867f9ede,Javi-Flo,es ESP,MF
75,Raúl Navas,/en/players/7bb77368/Raul-Navas,7bb77368,Raul-Nav,es ESP,GK
76,David Arteaga,/en/players/86d9a411/David-Arteaga,86d9a411,David-Arteag,es ESP,MF
77,Gaspar,/en/players/75e5329b/Gaspar,75e5329b,G,es ESP,DF
78,Santiago Carpintero,/en/players/139b88a8/Santiago-Carpintero,139b88a8,Santiago-Carpintero,es ESP,MF
79,Juan Carlos Ceballos,/en/players/ac304dce/Juan-Carlos-Ceballos,c304dce,Juan-Carlos-Ceballo,es ESP,DF
80,Natalio,/en/players/239425b9/Natalio,239425b9,Natalio,es ESP,FW
81,Yordi,/en/players/8cbb78fb/Yordi,8cbb78fb,Yordi,es ESP,FW
82,José Vega Díez,/en/players/c9e78e4a/Jose-Vega-Diez,c9e78e4a,Jose-Vega-Diez,es ESP,MF
83,Gustavo Oberman,/en/players/d524c525/Gustavo-Oberman,d524c525,Gustavo-Oberm,ar ARG,"FW,MF"
84,Gastón Casas,/en/players/66258864/Gaston-Casas,66258864,Gaston-C,ar ARG,FW
85,Pepe Díaz,/en/players/d1af5864/Pepe-Diaz,d1af5864,Pepe-Diaz,es ESP,FW
86,Javier Casas,/en/players/269e763d/Javier-Casas,269e763d,Javier-C,es ESP,DF
87,Fernando,/en/players/97e5a04b/Fernando,97e5a04b,Fernando,es ESP,GK
88,Javi Pérez,/en/players/13cd3035/Javi-Perez,13cd3035,Javi-Perez,es ESP,DF
89,﻿Agus,/en/players/ef7a542c/Agus,f7a542c,Agu,es ESP,"DF,FW"
90,Gerardo,/en/players/07c345de/Gerardo,07c345de,Gerardo,es ESP,"DF,MF"
91,Jesús Rueda,/en/players/9d8ba8ec/Jesus-Rueda,9d8ba8ec,Jesus-Rued,es ESP,"DF,MF"
92,Juan Rafael Fuentes,/en/players/5b54a75f/Juan-Rafael-Fuentes,5b54a75f,Juan-Rafael-Fuent,es ESP,DF
93,Jorge Luque,/en/players/8ca3ef48/Jorge-Luque,8ca3ef48,Jorge-Luqu,es ESP,MF
94,Juanjo Expósito,/en/players/f0a0b756/Juanjo-Exposito,f0a0b756,Juanjo-Exposito,es ESP,FW
95,Diego Scotti,/en/players/7026c7b7/Diego-Scotti,7026c7b7,Diego-Scotti,uy URU,MF
96,David Lopes,/en/players/aa824b97/David-Lopes,824b97,David-Lo,br BRA,DF
97,Richy,/en/players/1d5089f0/Richy,1d5089f0,Rich,es ESP,DF
98,Mikel Dañobeitia,/en/players/79ef0c96/Mikel-Danobeitia,79ef0c96,Mikel-Danobeiti,es ESP,"DF,FW"
99,Alberto García,/en/players/17d9e354/Alberto-Garcia,17d9e354,Alberto-Garci,es ESP,GK
100,Javier Herreros,/en/players/d63b7912/Javier-Herreros,d63b7912,Javier-Herrero,es ESP,DF
101,Damián Lizio,/en/players/152df1c3/Damian-Lizio,152df1c3,Damian-Lizio,bo BOL,"FW,MF"
102,András Simon,/en/players/84bfcad5/Andras-Simon,84bfcad5,Andras-Simo,hu HUN,FW
103,Lauren,/en/players/0c662413/Lauren,0c662413,Lau,cm CMR,DF
104,José Cabrera,/en/players/c7bf7830/Jose-Cabrera,c7bf7830,Jose-Cab,es ESP,MF
105,Gustavo Savoia,/en/players/220cc268/Gustavo-Savoia,220cc268,Gustavo-Savoi,ar ARG,FW
106,﻿Miguel Ángel Tena,/en/players/e6389c2b/Miguel-Angel-Tena,6389c2b,Miguel-Angel-T,es ESP,DF
107,David de Coz,/en/players/bf33fc94/David-de-Coz,bf33fc94,David-de-Coz,es ESP,DF
108,Samuel Camille,/en/players/5279c822/Samuel-Camille,5279c822,Samuel-Cami,mq MTQ,DF
109,Juanmi Callejón,/en/players/60bb7e62/Juanmi-Callejon,60bb7e62,Juanmi-Callejo,es ESP,MF
110,Fernando Usero,/en/players/a6eab305/Fernando-Usero,6eab305,Fernando-Usero,es ESP,MF
111,Oriol Riera,/en/players/ed742ed9/Oriol-Riera,d742ed9,Oriol-Ri,es ESP,FW
112,Alberto Aguilar,/en/players/eee1627a/Alberto-Aguilar,1627a,Alberto-Agui,es ESP,"DF,MF"
113,Jonathan Sesma,/en/players/7484a7cc/Jonathan-Sesma,7484a7cc,Jonathan-Sesm,es ESP,"FW,MF"
